seed	cohort	lineage_id	scenario_id	passage_id	chromosome_number	endpoint_state	reseeded_state	reseed_mode	boundary_scale
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	58	207.843184815147	18.7826734337735	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	59	53.3693785894646	4.82296116805985	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	60	12.36712134239	1.1176099023721	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	61	2.5901202636055	0.234067732886069	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	62	0.494953166293019	0.0447286433556251	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	63	0.085656848598166	0.0077407619403852	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	64	0.0324417936914141	0.00293174691801239	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	65	0.00757173726005515	0.000684253700252129	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	66	0.0871571955994725	0.00787634746746392	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	67	0.0252958873053184	0.00228597531786238	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	68	0.35132528931145	0.0317490717053431	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	69	0.0996083933013826	0.00900155530385426	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	70	1.26880982238685	0.114661640527939	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	71	0.348829873635622	0.0315235623735732	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	72	4.09417353069206	0.369988193149475	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	73	1.08699331431429	0.0982309834485015	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	74	11.8043305804165	1.06675081308758	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	75	3.01803231769294	0.272737908083046	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	76	30.4126029084073	2.74837007144445	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	77	7.47459645406743	0.675475139446376	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	78	70.0228865359718	6.32792945251044	downsample_to_observed_inoculum	0.0903694458419631
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	79	16.5279217109935	1.49361912594184	downsample_to_observed_inoculum	0.0903694458419631
