seed	cohort	lineage_id	scenario_id	passage_id	passage_index	passage_duration	endpoint_day	selected_day	closest_day_diagnostic	predicted_initial_cells	predicted_final_cells	observed_initial_cells	observed_final_cells	predicted_growth	observed_growth	passage_recorded	available_cells	required_cells	supply_ratio	reseed_mode	boundary_scale	cell_number_before	cell_number_after	cumulative_time
340	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	1	3	3	3	3	614919	4438059.74755425	614919	7782898	0.658827338102431	0.846064496523974	TRUE	4438059.74755425	401065	11.0656869773085	downsample_to_observed_inoculum	0.0903694458419631	4438059.74755425	401065	3
340	2N	C	2N-C	SUM-159_NLS_2N_C_A2_seed	2	2	2	2	2	401065	1498208.56738004	401065	4009244	0.65895093800627	1.15111723245741	TRUE	1498208.56738004	749542	1.99883204327448	downsample_to_observed_inoculum	0.500292159796379	1498208.56738004	749542	5
340	2N	C	2N-C	SUM-159_NLS_2N_C_A3_seed	3	1	1	1	1	749542	1448804.90026861	749542	6146386	0.659031935527361	2.10415719246389	TRUE	1448804.90026861	398961	3.63144492887428	downsample_to_observed_inoculum	0.2753724810884	1448804.90026861	398961	6
340	2N	C	2N-C	SUM-159_NLS_2N_C_A4_seed	4	3	3	3	3	398961	2882222.54428411	398961	5884151	0.659151108174455	0.897051358818264	TRUE	2882222.54428411	807037	3.57136357352155	downsample_to_observed_inoculum	0.280005095928653	2882222.54428411	807037	9
340	2N	C	2N-C	SUM-159_NLS_2N_C_A5_seed	5	2	2	2	2	807037	3016945.73749936	807037	7320131	0.659315368686839	1.10250699346418	TRUE	3016945.73749936	352684	8.55424611691872	downsample_to_observed_inoculum	0.116901008730879	3016945.73749936	352684	11
340	2N	C	2N-C	SUM-159_NLS_2N_C_A6_seed	6	3	3	3	3	352684	2550596.42776306	352684	4501460	0.659503344054468	0.848861531900473	TRUE	2550596.42776306	692047	3.68558266673081	downsample_to_observed_inoculum	0.27132751871959	2550596.42776306	692047	14
340	2N	C	2N-C	SUM-159_NLS_2N_C_A7_seed	7	2	2	2	2	692047	2589140.52083249	692047	6053832	0.659713690997965	1.08439643328122	TRUE	2589140.52083249	1127468	2.29642040468775	downsample_to_observed_inoculum	0.435460335554705	2589140.52083249	1127468	16
340	2N	C	2N-C	SUM-159_NLS_2N_C_A8_seed	8	3	3	3	3	1127468	8164800.678423	1127468	10859596	0.659952634600515	0.755024900819988	TRUE	8164800.678423	839992	9.72009337996433	downsample_to_observed_inoculum	0.102879670072025	8164800.678423	839991.999999999	19
340	2N	C	2N-C	SUM-159_NLS_2N_C_A9_seed	9	2	2	2	2	839991.999999999	3145850.05380461	839992	7082437	0.660223526004629	1.06599048425925	TRUE	3145850.05380461	797221	3.9460200544198	downsample_to_observed_inoculum	0.253419898076781	3145850.05380461	797221	21
340	2N	C	2N-C	SUM-159_NLS_2N_C_A10_seed	10	3	3	3	3	797221	5783268.24157838	797221	10161940	0.660530770465227	0.848424239199109	TRUE	5783268.24157838	372317	15.5331833936629	downsample_to_observed_inoculum	0.0643783038322958	5783268.24157838	372317	24
340	2N	C	2N-C	SUM-159_NLS_2N_C_A11_seed	11	2	2	2	2	372317	1396186.31781234	372317	4017658	0.660877048980784	1.18935439142098	TRUE	1396186.31781234	441031	3.16573283468133	downsample_to_observed_inoculum	0.315882625673515	1396186.31781234	441031	26
