seed	cohort	lineage_id	scenario_id	passage_id	passage_recorded	reseed_mode	available_cells	required_cells	supply_ratio	boundary_scale	cell_number_before	cell_number_after	n_state_components	max_abs_state_difference	insufficient_state_identical	proportional_downsample_exact	boundary_scale_at_most_one
340	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A17_seed	TRUE	carry_forward_insufficient	367733.729444839	578151	0.636051359324535	1	367733.729444839	367733.729444839	133	0	TRUE	NA	TRUE
340	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A18_seed	TRUE	carry_forward_insufficient	470694.417409829	1129568	0.41670303816134	1	470694.417409829	470694.417409829	133	0	TRUE	NA	TRUE
340	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A19_seed	TRUE	downsample_to_observed_inoculum	603202.973854638	588177	1.02554668722959	0.975089688701934	603202.973854638	588177.000000001	133	0	NA	TRUE	TRUE
340	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A20_seed	TRUE	downsample_to_observed_inoculum	754563.170829553	585949	1.28776253706304	0.776540682943508	754563.170829553	585949	133	0	NA	TRUE	TRUE
340	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A21_seed	TRUE	downsample_to_observed_inoculum	752431.647423924	502401	1.49767147641809	0.667703175059229	752431.647423924	502401	133	0	NA	TRUE	TRUE
340	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A22_seed	TRUE	carry_forward_insufficient	583984.188879108	694004	0.841470926506343	1	583984.188879108	583984.188879108	133	0	TRUE	NA	TRUE
340	2N	O1	2N-O1	SUM-159_NLS_2N_O1_A23_seed	TRUE	terminal_no_reseed	750944.507555625	NA	NA	1	750944.507555625	750944.507555625	133	0	NA	NA	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A1_seed	TRUE	downsample_to_observed_inoculum	4190067.40013469	366708	11.4261685050086	0.0875184012524983	4190067.40013469	366708	133	0	NA	TRUE	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A2_seed	TRUE	downsample_to_observed_inoculum	9893953.71809844	402467	24.583266996048	0.0406780758700933	9893953.71809844	402466.999999999	133	0	NA	TRUE	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A3_seed	TRUE	downsample_to_observed_inoculum	10873845.1431575	523768	20.7608046752712	0.0481676898194186	10873845.1431575	523768	133	0	NA	TRUE	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A4_seed	TRUE	downsample_to_observed_inoculum	14171891.6869204	809842	17.4995760740002	0.0571442414245532	14171891.6869204	809841.999999999	133	0	NA	TRUE	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A5_seed	TRUE	downsample_to_observed_inoculum	21941615.2365536	480296	45.6835269012308	0.0218897284826986	21941615.2365536	480296	133	0	NA	TRUE	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A6_seed	TRUE	downsample_to_observed_inoculum	12951099.1928158	420697	30.7848622472131	0.0324834976349628	12951099.1928158	420697	133	0	NA	TRUE	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A7_seed	TRUE	carry_forward_insufficient	222795.682647718	291683	0.763828137559328	1	222795.682647718	222795.682647718	133	0	TRUE	NA	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A8_seed	TRUE	carry_forward_insufficient	142545.654187155	385434	0.369831551412578	1	142545.654187155	142545.654187155	133	0	TRUE	NA	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A9_seed	TRUE	carry_forward_insufficient	82759.5297528916	675067	0.122594542101586	1	82759.5297528916	82759.5297528916	133	0	TRUE	NA	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A10_seed	TRUE	carry_forward_insufficient	71425.3665486064	520225	0.137297066747285	1	71425.3665486064	71425.3665486064	133	0	TRUE	NA	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A11_seed	TRUE	carry_forward_insufficient	73453.4448672973	364269	0.201646159479114	1	73453.4448672973	73453.4448672973	133	0	TRUE	NA	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A12_seed	TRUE	carry_forward_insufficient	90658.9474464626	563670	0.160836921330677	1	90658.9474464626	90658.9474464626	133	0	TRUE	NA	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A13_seed	TRUE	carry_forward_insufficient	116477.23769857	455615	0.255648382293318	1	116477.23769857	116477.23769857	133	0	TRUE	NA	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A14_seed	TRUE	carry_forward_insufficient	160712.771238957	915685	0.175510979473243	1	160712.771238957	160712.771238957	133	0	TRUE	NA	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A15_seed	TRUE	carry_forward_insufficient	194372.095515994	467868	0.415442166414447	1	194372.095515994	194372.095515994	133	0	TRUE	NA	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A16_seed	TRUE	carry_forward_insufficient	300463.094786909	363155	0.827368740033619	1	300463.094786909	300463.094786909	133	0	TRUE	NA	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A17_seed	TRUE	carry_forward_insufficient	423493.987503183	642762	0.658865937163651	1	423493.987503183	423493.987503183	133	0	TRUE	NA	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A18_seed	TRUE	carry_forward_insufficient	542066.815802556	1088351	0.498062496200726	1	542066.815802556	542066.815802556	133	0	TRUE	NA	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A19_seed	TRUE	downsample_to_observed_inoculum	694667.909687043	568126	1.22273564259872	0.817838267865214	694667.909687043	568126	133	0	NA	TRUE	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A20_seed	TRUE	downsample_to_observed_inoculum	728840.058109591	524681	1.38911082754968	0.719884965380301	728840.058109591	524681	133	0	NA	TRUE	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A21_seed	TRUE	downsample_to_observed_inoculum	673755.90297759	567012	1.18825686754	0.841568879017093	673755.90297759	567012	133	0	NA	TRUE	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A22_seed	TRUE	downsample_to_observed_inoculum	659087.140669742	571468	1.15332291689078	0.867059854057072	659087.140669742	571468.000000001	133	0	NA	TRUE	TRUE
340	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A23_seed	TRUE	terminal_no_reseed	734849.959644401	NA	NA	1	734849.959644401	734849.959644401	133	0	NA	NA	TRUE
