context	cohort	stream	entity_id	time_start_day	time_end_day	measurement_level	used_in_objective	source_file	n_observations	display_label
in_vivo	2N	burden	SUM159-2N-0-O_harvest	0	56	trajectory	TRUE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	11	Tumor burden
in_vivo	2N	burden	SUM159-2N-0-R_harvest	0	56	trajectory	TRUE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	11	Tumor burden
in_vivo	2N	burden	SUM159-2N-0-L_harvest	0	56	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	11	Tumor burden
in_vivo	2N	burden	SUM159-2N-0-RL_harvest	0	56	trajectory	TRUE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	11	Tumor burden
in_vivo	2N	burden	SUM159-2N-0-RR_harvest	0	56	trajectory	TRUE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	11	Tumor burden
in_vivo	2N	burden	SUM159-2N-30-0_harvest	0	63	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	13	Tumor burden
in_vivo	2N	burden	SUM159-2N-30-R_harvest	0	63	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	13	Tumor burden
in_vivo	2N	burden	SUM159-2N-30-L_harvest	0	63	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	13	Tumor burden
in_vivo	2N	burden	SUM159-2N-30-RL_harvest	0	63	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	13	Tumor burden
in_vivo	2N	burden	SUM159-2N-30-RR_harvest	0	63	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	13	Tumor burden
in_vivo	2N	burden	SUM159-2N-60-0_harvest	0	63	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	13	Tumor burden
in_vivo	2N	burden	SUM159-2N-60-R_harvest	0	63	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	13	Tumor burden
in_vivo	2N	burden	SUM159-2N-60-L_harvest	0	63	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	13	Tumor burden
in_vivo	2N	burden	SUM159-2N-60-RL_harvest	0	63	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	13	Tumor burden
in_vivo	2N	burden	SUM159-2N-60-RR_harvest	0	63	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	13	Tumor burden
in_vivo	2N	burden	SUM159-2N-120-0_harvest	0	63	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	13	Tumor burden
in_vivo	2N	burden	SUM159-2N-120-R_harvest	0	63	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	13	Tumor burden
in_vivo	2N	burden	SUM159-2N-120-L_harvest	0	63	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	13	Tumor burden
in_vivo	2N	burden	SUM159-2N-120-RL_harvest	0	63	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	13	Tumor burden
in_vivo	2N	burden	SUM159-2N-120-RR_harvest	0	63	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	13	Tumor burden
in_vivo	4N	burden	SUM159-4N-0-0_harvest	0	91	trajectory	TRUE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	21	Tumor burden
in_vivo	4N	burden	SUM159-4N-0-R_harvest	0	77	trajectory	TRUE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	17	Tumor burden
in_vivo	4N	burden	SUM159-4N-0-L_harvest	0	77	trajectory	TRUE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	17	Tumor burden
in_vivo	4N	burden	SUM159-4N-0-RL_harvest	0	102	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	24	Tumor burden
in_vivo	4N	burden	SUM159-4N-0-RR_harvest	0	91	trajectory	TRUE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	21	Tumor burden
in_vivo	4N	burden	SUM159-4N-30-0_harvest	0	77	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	17	Tumor burden
in_vivo	4N	burden	SUM159-4N-30-R_harvest	0	102	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	24	Tumor burden
in_vivo	4N	burden	SUM159-4N-30-L_harvest	0	91	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	21	Tumor burden
in_vivo	4N	burden	SUM159-4N-30-RL_harvest	0	91	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	21	Tumor burden
in_vivo	4N	burden	SUM159-4N-30-RR_harvest	0	77	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	17	Tumor burden
in_vivo	4N	burden	SUM159-4N-60-0_harvest	0	77	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	17	Tumor burden
in_vivo	4N	burden	SUM159-4N-60-R_harvest	0	91	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	21	Tumor burden
in_vivo	4N	burden	SUM159-4N-60-L_harvest	0	102	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	24	Tumor burden
in_vivo	4N	burden	SUM159-4N-60-RL_harvest	0	91	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	21	Tumor burden
in_vivo	4N	burden	SUM159-4N-60-RR_harvest	0	77	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	17	Tumor burden
in_vivo	4N	burden	SUM159-4N-120-0_harvest	0	91	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	21	Tumor burden
in_vivo	4N	burden	SUM159-4N-120-R_harvest	0	123	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	30	Tumor burden
in_vivo	4N	burden	SUM159-4N-120-L_harvest	0	123	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	30	Tumor burden
in_vivo	4N	burden	SUM159-4N-120-RL_harvest	0	84	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	19	Tumor burden
in_vivo	4N	burden	SUM159-4N-120-RR_harvest	0	84	trajectory	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	19	Tumor burden
in_vivo	2N	ploidy	SUM159-2N-0-O_harvest	56	56	endpoint_distribution	TRUE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/all_ploidy.csv	604	Terminal ploidy
in_vivo	2N	ploidy	SUM159-2N-0-RL_harvest	56	56	endpoint_distribution	TRUE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/all_ploidy.csv	547	Terminal ploidy
in_vivo	2N	ploidy	SUM159-2N-0-RR_harvest	56	56	endpoint_distribution	TRUE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/all_ploidy.csv	2274	Terminal ploidy
in_vivo	2N	ploidy	SUM159-2N-0-R_harvest	56	56	endpoint_distribution	TRUE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/all_ploidy.csv	303	Terminal ploidy
in_vivo	2N	ploidy	SUM159-2N-120-RL_harvest	63	63	endpoint_distribution	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/all_ploidy.csv	1704	Terminal ploidy
in_vivo	2N	ploidy	SUM159-2N-120-R_harvest	63	63	endpoint_distribution	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/all_ploidy.csv	518	Terminal ploidy
in_vivo	2N	ploidy	SUM159-2N-30-0_harvest	63	63	endpoint_distribution	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/all_ploidy.csv	431	Terminal ploidy
in_vivo	2N	ploidy	SUM159-2N-30-L_harvest	63	63	endpoint_distribution	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/all_ploidy.csv	806	Terminal ploidy
