cohort	segment_id	parent_segment_id	depth	oxygen_pct	data_ids	n_data_ids	duration_days	duration_source	initial_cells	final_cells
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	14	0	SUM-159_NLS_2N_O1_A13_seed;SUM-159_NLS_2N_O2_A13_seed	2	6	observed_median	601545	8159287.5
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	15	0	SUM-159_NLS_2N_O1_A14_seed;SUM-159_NLS_2N_O2_A14_seed	2	7	observed_median	470653.5	6028816
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	16	0	SUM-159_NLS_2N_O1_A15_seed;SUM-159_NLS_2N_O2_A15_seed	2	4	observed_median	819326.5	5558719.5
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	17	0	SUM-159_NLS_2N_O1_A16_seed;SUM-159_NLS_2N_O2_A16_seed	2	9	observed_median	459513.5	6778519
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	18	0	SUM-159_NLS_2N_O1_A17_seed;SUM-159_NLS_2N_O2_A17_seed	2	7	observed_median	378750.5	7432977.5
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	19	0	SUM-159_NLS_2N_O1_A18_seed;SUM-159_NLS_2N_O2_A18_seed	2	5	observed_median	610456.5	10015164.5
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	20	0	SUM-159_NLS_2N_O1_A19_seed;SUM-159_NLS_2N_O2_A19_seed	2	5	observed_median	1108959.5	12336682
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	21	0	SUM-159_NLS_2N_O1_A20_seed;SUM-159_NLS_2N_O2_A20_seed	2	5	observed_median	578151.5	5092522.5
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	22	0	SUM-159_NLS_2N_O1_A21_seed;SUM-159_NLS_2N_O2_A21_seed	2	5	observed_median	555315	5850580.5
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	23	0	SUM-159_NLS_2N_O1_A22_seed;SUM-159_NLS_2N_O2_A22_seed	2	3	observed_median	534706.5	3883306
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	24	0	SUM-159_NLS_2N_O1_A23_seed;SUM-159_NLS_2N_O2_A23_seed	2	5	observed_median	632736	7160611.5
4N	20.5		0	20.5	SUM-159_NLS_4N_A2_seed	1	14	fallback_14d	NA	NA
4N	20.5_20.5	20.5	1	20.5	SUM-159_NLS_4N_A3_seed;SUM-159_NLS_4N_dp_seed;SUM-159_NLS_4N_MRCA_seed	3	14	fallback_14d	NA	NA
4N	20.5_20.5_20.5	20.5_20.5	2	20.5	SUM-159_NLS_4N_A3M_seed;SUM-159_NLS_4N_C_A1_seed	2	3	observed_median	987937	6428954
4N	20.5_20.5_2	20.5_20.5	2	2	SUM-159_NLS_4N_O1_A1_seed;SUM-159_NLS_4N_O2_A1_seed	2	3	observed_median	1349035.5	5147580.5
