cohort	segment_id	passage_id	sample_name	oxygen_pct	cumulative_end_day	grid_index	ploidy	density	log_density
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	36	1.9070351758794	1.94575384976119	0.66564948540413
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	37	1.94723618090452	1.59030148670692	0.463923612538705
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	38	1.98743718592965	1.22611102901084	0.20384739541258
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	39	2.02763819095477	0.890924409973931	-0.115495692400976
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	40	2.0678391959799	0.631328228141811	-0.459929380301525
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	41	2.10804020100502	0.406178646310586	-0.900962200615539
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	42	2.14824120603015	0.25490931784125	-1.36684741337901
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	43	2.18844221105528	0.153756665063356	-1.87238402322953
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	44	2.2286432160804	0.0851121592145408	-2.46378537212243
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	45	2.26884422110553	0.0473434045124859	-3.05032776129106
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	46	2.30904522613065	0.025780173570104	-3.65814954875117
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	47	2.34924623115578	0.0141990650304155	-4.25457915947115
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	48	2.3894472361809	0.0072244825181493	-4.93027967133431
