cohort	segment_id	parent_segment_id	passage_id	oxygen_pct	cumulative_start_day	cumulative_end_day	passage_duration	observed_growth	initial_cells	final_cells	n_kary	n_flow	flow_sample_name
2N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	SUM-159_NLS_2N_C_A9_seed	20.5	47	49	2	1.06599048425925	839992	7082437	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	SUM-159_NLS_2N_O1_A9_seed	0	65	72	7	0.435214147229313	433335	8047333	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	SUM-159_NLS_2N_O2_A9_seed	0	65	72	7	0.399949129792322	385434	5507477	0	0	NA
2N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	SUM-159_NLS_2N_C_A10_seed	20.5	49	52	3	0.848424239199109	797221	10161940	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	SUM-159_NLS_2N_O1_A10_seed	0	72	77	5	0.50185981787835	745247	8643308	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	SUM-159_NLS_2N_O2_A10_seed	0	72	77	5	0.459209606978143	675067	6544585	0	0	NA
2N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	SUM-159_NLS_2N_C_A11_seed	20.5	52	54	2	1.18935439142098	372317	4017658	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	SUM-159_NLS_2N_O1_A11_seed	0	77	82	5	0.502224726321462	491262	5817161	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	SUM-159_NLS_2N_O2_A11_seed	0	77	82	5	0.477939108571687	520225	5685713	0	0	NA
2N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	SUM-159_NLS_2N_C_A12_seed	20.5	54	57	3	0.899202900591717	441031	6546749	0	200	SUM-159_NLS_2N_C_A12
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	SUM-159_NLS_2N_O1_A12_seed	0	82	89	7	0.432618047777567	414398	8287951	0	200	SUM-159_NLS_2N_O1_A12
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	SUM-159_NLS_2N_O2_A12_seed	0	82	89	7	0.43743905615452	364269	7249729	0	200	SUM-159_NLS_2N_O2_A12
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A13_seed	0	89	95	6	0.42734132525493	639420	7866870	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A13_seed	0	89	95	6	0.455260826116619	563670	8451705	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A14_seed	0	95	102	7	0.359204449551509	485692	5816047	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A14_seed	0	95	102	7	0.398345550086726	455615	6241585	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A15_seed	0	102	106	4	0.47893581972953	722968	4910388	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A15_seed	0	102	106	4	0.47844219096022	915685	6207051	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A16_seed	0	106	115	9	0.313471183522771	451159	8159844	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A16_seed	0	106	115	9	0.265837402863243	467868	5397194	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A17_seed	0	115	122	7	0.437413363577022	394346	7737649	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A17_seed	0	115	122	7	0.438440022649343	363155	7128306	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A18_seed	0	122	127	5	0.571675739310715	578151	10139372	0	200	SUM-159_NLS_2N_O1_A18
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A18_seed	0	122	127	5	0.547427136693007	642762	9890957	0	200	SUM-159_NLS_2N_O2_A18
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A19_seed	0	127	132	5	0.514139394650451	1129568	13953612	20	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A19_seed	0	127	132	5	0.470226829493655	1088351	10719752	20	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A20_seed	0	132	137	5	0.426979996229704	588177	5379370	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A20_seed	0	132	137	5	0.410942181415078	568126	4805675	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A21_seed	0	137	142	5	0.474305889804198	585949	6572434	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A21_seed	0	137	142	5	0.445568191284352	524681	5128727	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A22_seed	0	142	145	3	0.706725131849525	502401	4186306	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A22_seed	0	142	145	3	0.614274361025784	567012	3580306	0	0	NA
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O1_A23_seed	0	145	150	5	0.450464700528303	694004	7355557	0	200	SUM-159_NLS_2N_O1_A23
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_2N_O2_A23_seed	0	145	150	5	0.480890952237371	571468	6965666	0	200	SUM-159_NLS_2N_O2_A23
4N	20.5		SUM-159_NLS_4N_A2_seed	20.5	0	14	NA	NA	NA	NA	20	0	NA
4N	20.5_20.5	20.5	SUM-159_NLS_4N_A3_seed	20.5	14	28	NA	NA	NA	NA	0	0	NA
4N	20.5_20.5	20.5	SUM-159_NLS_4N_dp_seed	20.5	14	28	NA	NA	NA	NA	0	0	NA
4N	20.5_20.5	20.5	SUM-159_NLS_4N_MRCA_seed	20.5	14	28	NA	NA	NA	NA	0	0	NA
4N	20.5_20.5_20.5	20.5_20.5	SUM-159_NLS_4N_A3M_seed	20.5	28	31	NA	NA	NA	NA	0	0	NA
4N	20.5_20.5_20.5	20.5_20.5	SUM-159_NLS_4N_C_A1_seed	20.5	28	31	3	0.624316066168315	987937	6428954	0	200	SUM-159_NLS_4N_C_A1_
4N	20.5_20.5_2	20.5_20.5	SUM-159_NLS_4N_O1_A1_seed	2	28	31	3	0.431681228435326	1496747	5464856	0	0	NA
4N	20.5_20.5_2	20.5_20.5	SUM-159_NLS_4N_O2_A1_seed	2	28	31	3	0.463828443588774	1201324	4830305	0	0	NA
4N	20.5_20.5_20.5_20.5	20.5_20.5_20.5	SUM-159_NLS_4N_A4M_seed	20.5	31	33	NA	NA	NA	NA	16	0	NA
