cohort	segment_id	parent_segment_id	passage_id	oxygen_pct	cumulative_start_day	cumulative_end_day	passage_duration	observed_growth	initial_cells	final_cells	n_kary	n_flow	flow_sample_name
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A14_seed	0	87	97	10	0.272623788377641	465640	6448783	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A15_seed	0	97	108	12	0.276107884181598	296317	6271662	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A15_seed	0	97	108	10	0.237448883551057	613799	6452125	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A16_seed	0	108	122	14	0.225290065289268	403258	8329168	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A16_seed	0	108	122	14	0.230244946562098	341989	7310998	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	122	127	5	0.416428545920834	824339	6259408	20	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	122	127	5	0.404951920436638	841049	6008764	20	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A18_seed	0	127	132	5	0.368994265221723	627166	4309957	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A18_seed	0	127	132	5	0.374051598849834	584835	4143976	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A19_seed	0	132	138	7	0.315246218861754	601545	5339267	0	200	SUM-159_NLS_4N_O1_A19
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A19_seed	0	132	138	5	0.352988535564483	636078	3730692	0	200	SUM-159_NLS_4N_O2_A19
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A20_seed	0	138	141	3	0.588293480836589	812086	4743292	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A20_seed	0	138	141	3	0.517244018805238	981409	4631895	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A21_seed	0	141	146	5	0.484315596857106	607115	7502229	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A21_seed	0	141	146	5	0.463676864723335	678409	7452472	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A22_seed	0	146	151	5	0.471867487676023	618254	7237475	0	200	SUM-159_NLS_4N_O1_A22
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A22_seed	0	146	151	5	0.485008191637359	559214	6963438	0	200	SUM-159_NLS_4N_O2_A22
