harvest	treatment_day	ploidy	label	cell_count	cell_count_int
SUM159-2N-0-O_harvest	25	1	live	0.000130766084853809	0
SUM159-2N-0-O_harvest	25	1.04545454545455	live	0.00591217456432509	0
SUM159-2N-0-O_harvest	25	1.09090909090909	live	0.111569429996949	0
SUM159-2N-0-O_harvest	25	1.13636363636364	live	1.24873032319858	1
SUM159-2N-0-O_harvest	25	1.18181818181818	live	9.59776767362453	10
SUM159-2N-0-O_harvest	25	1.22727272727273	live	54.9937743705572	55
SUM159-2N-0-O_harvest	25	1.27272727272727	live	247.752919373326	248
SUM159-2N-0-O_harvest	25	1.31818181818182	live	911.289022602308	911
SUM159-2N-0-O_harvest	25	1.36363636363636	live	2815.27165692231	2815
SUM159-2N-0-O_harvest	25	1.40909090909091	live	7468.6001807793	7469
SUM159-2N-0-O_harvest	25	1.45454545454545	live	17321.6206625415	17322
SUM159-2N-0-O_harvest	25	1.5	live	35644.9259753519	35645
SUM159-2N-0-O_harvest	25	1.54545454545455	live	65899.4179691822	65899
SUM159-2N-0-O_harvest	25	1.59090909090909	live	110625.824757785	110626
SUM159-2N-0-O_harvest	25	1.63636363636364	live	170166.203403515	170166
SUM159-2N-0-O_harvest	25	1.68181818181818	live	241732.193459596	241732
SUM159-2N-0-O_harvest	25	1.72727272727273	live	319373.235150095	319373
SUM159-2N-0-O_harvest	25	1.77272727272727	live	395067.551214455	395068
SUM159-2N-0-O_harvest	25	1.81818181818182	live	460147.304600726	460147
SUM159-2N-0-O_harvest	25	1.86363636363636	live	505907.876856613	505908
SUM159-2N-0-O_harvest	25	1.90909090909091	live	525077.792878646	525078
SUM159-2N-0-O_harvest	25	1.95454545454545	live	517158.74540455	517159
SUM159-2N-0-O_harvest	25	2	live	562397.96170955	562398
SUM159-2N-0-O_harvest	25	2.04545454545455	live	482265.733759719	482266
SUM159-2N-0-O_harvest	25	2.09090909090909	live	464201.577237797	464202
SUM159-2N-0-O_harvest	25	2.13636363636364	live	433762.184754744	433762
SUM159-2N-0-O_harvest	25	2.18181818181818	live	393715.568798092	393716
SUM159-2N-0-O_harvest	25	2.22727272727273	live	351030.470798022	351030
SUM159-2N-0-O_harvest	25	2.27272727272727	live	310737.008867288	310737
SUM159-2N-0-O_harvest	25	2.31818181818182	live	274149.702110387	274150
SUM159-2N-0-O_harvest	25	2.36363636363636	live	240782.168139221	240782
SUM159-2N-0-O_harvest	25	2.40909090909091	live	210193.502668541	210194
SUM159-2N-0-O_harvest	25	2.45454545454545	live	182413.260143573	182413
SUM159-2N-0-O_harvest	25	2.5	live	157613.98405643	157614
SUM159-2N-0-O_harvest	25	2.54545454545455	live	135813.45248691	135813
SUM159-2N-0-O_harvest	25	2.59090909090909	live	116826.63560549	116827
SUM159-2N-0-O_harvest	25	2.63636363636364	live	100357.844683686	100358
SUM159-2N-0-O_harvest	25	2.68181818181818	live	86097.812262483	86098
SUM159-2N-0-O_harvest	25	2.72727272727273	live	73771.8326870899	73772
SUM159-2N-0-O_harvest	25	2.77272727272727	live	63145.3854670401	63145
SUM159-2N-0-O_harvest	25	2.81818181818182	live	54013.289995378	54013
SUM159-2N-0-O_harvest	25	2.86363636363636	live	46188.3851502586	46188
SUM159-2N-0-O_harvest	25	2.90909090909091	live	39498.758466073	39499
SUM159-2N-0-O_harvest	25	2.95454545454545	live	33786.328341721	33786
SUM159-2N-0-O_harvest	25	3	live	28911.7148009197	28912
SUM159-2N-0-O_harvest	25	3.04545454545455	live	24750.4796575943	24750
SUM159-2N-0-O_harvest	25	3.09090909090909	live	21199.3567406707	21199
SUM159-2N-0-O_harvest	25	3.13636363636364	live	18165.1561760732	18165
SUM159-2N-0-O_harvest	25	3.18181818181818	live	15575.8754850231	15576
SUM159-2N-0-O_harvest	25	3.22727272727273	live	13360.77929539	13361
SUM159-2N-0-O_harvest	25	3.27272727272727	live	11472.0659239314	11472
SUM159-2N-0-O_harvest	25	3.31818181818182	live	9852.88353290544	9853
SUM159-2N-0-O_harvest	25	3.36363636363636	live	8474.68478603915	8475
SUM159-2N-0-O_harvest	25	3.40909090909091	live	7288.35039643664	7288
SUM159-2N-0-O_harvest	25	3.45454545454545	live	6281.76857389867	6282
SUM159-2N-0-O_harvest	25	3.5	live	5409.24066167598	5409
SUM159-2N-0-O_harvest	25	3.54545454545455	live	4673.1676835577	4673
SUM159-2N-0-O_harvest	25	3.59090909090909	live	4028.17476528486	4028
SUM159-2N-0-O_harvest	25	3.63636363636364	live	3489.35390509688	3489
SUM159-2N-0-O_harvest	25	3.68181818181818	live	3009.76603022793	3010
SUM159-2N-0-O_harvest	25	3.72727272727273	live	2614.97254899479	2615
SUM159-2N-0-O_harvest	25	3.77272727272727	live	2256.28790336802	2256
SUM159-2N-0-O_harvest	25	3.81818181818182	live	1966.48586273464	1966
SUM159-2N-0-O_harvest	25	3.86363636363636	live	1697.02683969468	1697
SUM159-2N-0-O_harvest	25	3.90909090909091	live	1483.53619363176	1484
SUM159-2N-0-O_harvest	25	3.95454545454545	live	1280.62322841332	1281
SUM159-2N-0-O_harvest	25	4	live	1133.12207343755	1133
SUM159-2N-0-O_harvest	25	4.04545454545455	live	969.616373450833	970
SUM159-2N-0-O_harvest	25	4.09090909090909	live	854.028358498145	854
SUM159-2N-0-O_harvest	25	4.13636363636364	live	736.582056121144	737
SUM159-2N-0-O_harvest	25	4.18181818181818	live	652.218768600307	652
SUM159-2N-0-O_harvest	25	4.22727272727273	live	561.394723264666	561
SUM159-2N-0-O_harvest	25	4.27272727272727	live	499.675348594661	500
SUM159-2N-0-O_harvest	25	4.31818181818182	live	429.281534715395	429
SUM159-2N-0-O_harvest	25	4.36363636363636	live	383.793534260392	384
SUM159-2N-0-O_harvest	25	4.40909090909091	live	329.40431984223	329
SUM159-2N-0-O_harvest	25	4.45454545454545	live	295.651490836426	296
SUM159-2N-0-O_harvest	25	4.5	live	253.724951924482	254
SUM159-2N-0-O_harvest	25	4.54545454545455	live	228.570525468477	229
SUM159-2N-0-O_harvest	25	4.59090909090909	live	196.131976137295	196
SUM159-2N-0-O_harvest	25	4.63636363636364	live	177.292670676827	177
SUM159-2N-0-O_harvest	25	4.68181818181818	live	151.992272194095	152
SUM159-2N-0-O_harvest	25	4.72727272727273	live	137.811391872365	138
SUM159-2N-0-O_harvest	25	4.77272727272727	live	117.965972812216	118
SUM159-2N-0-O_harvest	25	4.81818181818182	live	107.281688747324	107
SUM159-2N-0-O_harvest	25	4.86363636363636	live	91.7117797092745	92
SUM159-2N-0-O_harvest	25	4.90909090909091	live	83.684023187155	84
SUM159-2N-0-O_harvest	25	4.95454545454545	live	71.4900904842263	71
SUM159-2N-0-O_harvest	25	5	live	65.4667413675071	65
SUM159-2N-0-O_harvest	25	5.04545454545455	live	55.9135677479477	56
SUM159-2N-0-O_harvest	25	5.09090909090909	live	51.3837786949681	51
SUM159-2N-0-O_harvest	25	5.13636363636364	live	43.8782847311146	44
SUM159-2N-0-O_harvest	25	5.18181818181818	live	40.4581902782681	40
SUM159-2N-0-O_harvest	25	5.22727272727273	live	34.5400649740925	35
SUM159-2N-0-O_harvest	25	5.27272727272727	live	31.9488413867328	32
SUM159-2N-0-O_harvest	25	5.31818181818182	live	27.2666090843957	27
SUM159-2N-0-O_harvest	25	5.36363636363636	live	25.2973844965294	25
SUM159-2N-0-O_harvest	25	5.40909090909091	live	21.5812499583052	22
SUM159-2N-0-O_harvest	25	5.45454545454545	live	20.0792096364363	20
SUM159-2N-0-O_harvest	25	5.5	live	17.1205075833351	17
SUM159-2N-0-O_harvest	25	5.54545454545455	live	15.9696093475835	16
SUM159-2N-0-O_harvest	25	5.59090909090909	live	13.6068790903824	14
SUM159-2N-0-O_harvest	25	5.63636363636364	live	12.7212041844307	13
SUM159-2N-0-O_harvest	25	5.68181818181818	live	10.8298221038658	11
SUM159-2N-0-O_harvest	25	5.72727272727273	live	10.14646772381	10
SUM159-2N-0-O_harvest	25	5.77272727272727	live	8.63006292032589	9
SUM159-2N-0-O_harvest	25	5.81818181818182	live	8.10278554915752	8
SUM159-2N-0-O_harvest	25	5.86363636363636	live	6.88609473071058	7
SUM159-2N-0-O_harvest	25	5.90909090909091	live	6.48011204574517	6
SUM159-2N-0-O_harvest	25	5.95454545454545	live	5.50349523782392	6
SUM159-2N-0-O_harvest	25	6	live	5.19187210532228	5
SUM159-2N-0-O_harvest	25	6.04545454545455	live	4.40747425285234	4
SUM159-2N-0-O_harvest	25	6.09090909090909	live	4.16889220712496	4
SUM159-2N-0-O_harvest	25	6.13636363636364	live	3.53815528105839	4
SUM159-2N-0-O_harvest	25	6.18181818181818	live	3.3557106407883	3
SUM159-2N-0-O_harvest	25	6.22727272727273	live	2.84761227457302	3
SUM159-2N-0-O_harvest	25	6.27272727272727	live	2.70800055966357	3
SUM159-2N-0-O_harvest	25	6.31818181818182	live	2.29777564744514	2
SUM159-2N-0-O_harvest	25	6.36363636363636	live	2.19074056755151	2
SUM159-2N-0-O_harvest	25	6.40909090909091	live	1.85867264386905	2
SUM159-2N-0-O_harvest	25	6.45454545454545	live	1.77634440835237	2
SUM159-2N-0-O_harvest	25	6.5	live	1.50686094548842	2
SUM159-2N-0-O_harvest	25	6.54545454545455	live	1.44335167236078	1
SUM159-2N-0-O_harvest	25	6.59090909090909	live	1.2240576349309	1
SUM159-2N-0-O_harvest	25	6.63636363636364	live	1.17485328467143	1
SUM159-2N-0-O_harvest	25	6.68181818181818	live	0.996001513391965	1
SUM159-2N-0-O_harvest	25	6.72727272727273	live	0.957809001954191	1
SUM159-2N-0-O_harvest	25	6.77272727272727	live	0.811553366018656	1
SUM159-2N-0-O_harvest	25	6.81818181818182	live	0.781773120272359	1
SUM159-2N-0-O_harvest	25	6.86363636363636	live	0.661994298712541	1
SUM159-2N-0-O_harvest	25	6.90909090909091	live	0.638818468891943	1
SUM159-2N-0-O_harvest	25	6.95454545454545	live	0.540478634180133	1
SUM159-2N-0-O_harvest	25	7	live	0.522363128996826	1
SUM159-2N-0-O_harvest	25	1.04545454545455	O2_dead	3.14340754763439e-06	0
SUM159-2N-0-O_harvest	25	1.09090909090909	O2_dead	6.79932671634209e-05	0
SUM159-2N-0-O_harvest	25	1.13636363636364	O2_dead	0.000870645529110079	0
SUM159-2N-0-O_harvest	25	1.18181818181818	O2_dead	0.00764305430653895	0
SUM159-2N-0-O_harvest	25	1.22727272727273	O2_dead	0.049943183567535	0
SUM159-2N-0-O_harvest	25	1.27272727272727	O2_dead	0.256239961221166	0
SUM159-2N-0-O_harvest	25	1.31818181818182	O2_dead	1.07199655338594	1
SUM159-2N-0-O_harvest	25	1.36363636363636	O2_dead	3.76221126051801	4
SUM159-2N-0-O_harvest	25	1.40909090909091	O2_dead	11.3251889089656	11
SUM159-2N-0-O_harvest	25	1.45454545454545	O2_dead	29.7706686819268	30
SUM159-2N-0-O_harvest	25	1.5	O2_dead	69.3595247628309	69
SUM159-2N-0-O_harvest	25	1.54545454545455	O2_dead	145.007846817052	145
SUM159-2N-0-O_harvest	25	1.59090909090909	O2_dead	274.906683509049	275
SUM159-2N-0-O_harvest	25	1.63636363636364	O2_dead	476.823623461024	477
SUM159-2N-0-O_harvest	25	1.68181818181818	O2_dead	762.938656197552	763
SUM159-2N-0-O_harvest	25	1.72727272727273	O2_dead	1135.81102773099	1136
SUM159-2N-0-O_harvest	25	1.77272727272727	O2_dead	1584.86395205755	1585
SUM159-2N-0-O_harvest	25	1.81818181818182	O2_dead	2070.8264869822	2071
SUM159-2N-0-O_harvest	25	1.86363636363636	O2_dead	2493.18598292454	2493
SUM159-2N-0-O_harvest	25	1.90909090909091	O2_dead	2701.64144683536	2702
SUM159-2N-0-O_harvest	25	1.95454545454545	O2_dead	2629.31766796646	2629
SUM159-2N-0-O_harvest	25	2	O2_dead	6663.70516718738	6664
SUM159-2N-0-O_harvest	25	2.04545454545455	O2_dead	2673.83555413314	2674
SUM159-2N-0-O_harvest	25	2.09090909090909	O2_dead	2889.3795585438	2889
SUM159-2N-0-O_harvest	25	2.13636363636364	O2_dead	2883.8851743026	2884
SUM159-2N-0-O_harvest	25	2.18181818181818	O2_dead	2646.08185849122	2646
SUM159-2N-0-O_harvest	25	2.22727272727273	O2_dead	2305.62811567388	2306
SUM159-2N-0-O_harvest	25	2.27272727272727	O2_dead	1982.92405356633	1983
SUM159-2N-0-O_harvest	25	2.31818181818182	O2_dead	1718.37258147753	1718
SUM159-2N-0-O_harvest	25	2.36363636363636	O2_dead	1499.86804956263	1500
