id,cellLine,passaged_from_id1,passage_id,passage,adjPass,date,num_date,correctedCount,label_value,sublabel_value,oxygen_pct,g,intercept
SUM-159_NLS_2N_O1_A10_seedT1,SUM-159,SUM-159_NLS_2N_O1_A10_seed,SUM-159_NLS_2N_O1_A10_seed,18,10,2025-05-26,3,5057432,2N,"starvation
line 1",0,0.50185981787835,837703.301386358
SUM-159_NLS_2N_O1_A10_seedT2,SUM-159,SUM-159_NLS_2N_O1_A10_seed,SUM-159_NLS_2N_O1_A10_seed,18,10,2025-05-28,5,8643308,2N,"starvation
line 1",0,0.50185981787835,837703.301386358
SUM-159_NLS_2N_O1_A11_seed,SUM-159,SUM-159_NLS_2N_O1_A10_seedT2,SUM-159_NLS_2N_O1_A11_seed,19,11,2025-05-30,0,491262,2N,"starvation
line 1",0,0.502224726321462,531681.588479855
SUM-159_NLS_2N_O1_A11_seedT1,SUM-159,SUM-159_NLS_2N_O1_A11_seed,SUM-159_NLS_2N_O1_A11_seed,19,11,2025-06-02,3,2923062,2N,"starvation
line 1",0,0.502224726321462,531681.588479855
SUM-159_NLS_2N_O1_A11_seedT2,SUM-159,SUM-159_NLS_2N_O1_A11_seed,SUM-159_NLS_2N_O1_A11_seed,19,11,2025-06-04,5,5817161,2N,"starvation
line 1",0,0.502224726321462,531681.588479855
SUM-159_NLS_2N_O1_A12_seed,SUM-159,SUM-159_NLS_2N_O1_A11_seedT2,SUM-159_NLS_2N_O1_A12_seed,20,12,2025-06-06,0,414398,2N,"starvation
line 1",0,0.432618047777567,471237.500251256
SUM-159_NLS_2N_O1_A12_seedT1,SUM-159,SUM-159_NLS_2N_O1_A12_seed,SUM-159_NLS_2N_O1_A12_seed,20,12,2025-06-09,3,2025201,2N,"starvation
line 1",0,0.432618047777567,471237.500251256
SUM-159_NLS_2N_O1_A12_seedT2,SUM-159,SUM-159_NLS_2N_O1_A12_seed,SUM-159_NLS_2N_O1_A12_seed,20,12,2025-06-11,5,4665314,2N,"starvation
line 1",0,0.432618047777567,471237.500251256
SUM-159_NLS_2N_O1_A12_seedT3,SUM-159,SUM-159_NLS_2N_O1_A12_seed,SUM-159_NLS_2N_O1_A12_seed,20,12,2025-06-13,7,8287951,2N,"starvation
line 1",0,0.432618047777567,471237.500251256
SUM-159_NLS_2N_O1_A13_seed,SUM-159,SUM-159_NLS_2N_O1_A12_seedT3,SUM-159_NLS_2N_O1_A13_seed,21,13,2025-06-14,0,639420,2N,"starvation
line 1",0,0.42734132525493,573738.478666897
SUM-159_NLS_2N_O1_A13_seedT1,SUM-159,SUM-159_NLS_2N_O1_A13_seed,SUM-159_NLS_2N_O1_A13_seed,21,13,2025-06-16,2,1146277,2N,"starvation
line 1",0,0.42734132525493,573738.478666897
SUM-159_NLS_2N_O1_A13_seedT3,SUM-159,SUM-159_NLS_2N_O1_A13_seed,SUM-159_NLS_2N_O1_A13_seed,21,13,2025-06-20,6,7866870,2N,"starvation
line 1",0,0.42734132525493,573738.478666897
SUM-159_NLS_2N_O1_A14_seed,SUM-159,SUM-159_NLS_2N_O1_A13_seedT3,SUM-159_NLS_2N_O1_A14_seed,22,14,2025-06-25,0,485692,2N,"starvation
line 1",0,0.359204449551509,432597.637303359
SUM-159_NLS_2N_O1_A14_seedT1,SUM-159,SUM-159_NLS_2N_O1_A14_seed,SUM-159_NLS_2N_O1_A14_seed,22,14,2025-06-27,2,773839,2N,"starvation
line 1",0,0.359204449551509,432597.637303359
