"sample_name","grid_index","ploidy","log_density"
"Sample_SUM159_2N_C_A1_",74,3.43467336683417,-5.32653223282241
"Sample_SUM159_2N_C_A1_",75,3.4748743718593,-4.9387571228434
"Sample_SUM159_2N_C_A1_",76,3.51507537688442,-4.85753405003115
"Sample_SUM159_2N_C_A1_",77,3.55527638190955,-4.91978379185575
"Sample_SUM159_2N_C_A1_",78,3.59547738693467,-4.78795237605073
"Sample_SUM159_2N_C_A1_",79,3.6356783919598,-4.66665719821652
"Sample_SUM159_2N_C_A1_",80,3.67587939698492,-4.81216164877879
"Sample_SUM159_2N_C_A1_",81,3.71608040201005,-4.85258724124195
"Sample_SUM159_2N_C_A1_",82,3.75628140703518,-4.97565740418166
"Sample_SUM159_2N_C_A1_",83,3.7964824120603,-5.12365884346526
"Sample_SUM159_2N_C_A1_",84,3.83668341708543,-5.24803788515684
"Sample_SUM159_2N_C_A1_",85,3.87688442211055,-5.43566109472239
"Sample_SUM159_2N_C_A1_",86,3.91708542713568,-5.82984002719324
"Sample_SUM159_2N_C_A1_",87,3.9572864321608,-5.99288909457725
"Sample_SUM159_2N_C_A1_",88,3.99748743718593,-6.17923802560122
"Sample_SUM159_2N_C_A1_",89,4.03768844221106,-6.83525611069927
"Sample_SUM159_2N_C_A1_",90,4.07788944723618,-7.21155895828345
"Sample_SUM159_2N_C_A1_",91,4.11809045226131,-7.26580638035572
"Sample_SUM159_2N_C_A1_",92,4.15829145728643,-7.46246790249344
"Sample_SUM159_2N_C_A1_",93,4.19849246231156,-8.37454972323878
"Sample_SUM159_2N_C_A1_",94,4.23869346733668,-8.58764378531667
"Sample_SUM159_2N_C_A1_",95,4.27889447236181,-10.6656830839133
"Sample_SUM159_2N_C_A1_",96,4.31909547738693,-8.47227089987975
"Sample_SUM159_2N_C_A1_",97,4.35929648241206,-10.0716299038445
"Sample_SUM159_2N_C_A1_",98,4.39949748743719,-10.7280065596445
"Sample_SUM159_2N_C_A1_",99,4.43969849246231,-9.58420058288795
"Sample_SUM159_2N_C_A1_",100,4.47989949748744,-10.2755242202465
"Sample_SUM159_2N_C_A1_",101,4.52010050251256,-16.6363879843469
"Sample_SUM159_2N_C_A1_",102,4.56030150753769,-27.6317065808329
"Sample_SUM159_2N_C_A1_",103,4.60050251256281,-27.6317065808329
"Sample_SUM159_2N_C_A1_",104,4.64070351758794,-27.6317065808329
"Sample_SUM159_2N_C_A1_",105,4.68090452261307,-27.6317065808329
"Sample_SUM159_2N_C_A1_",106,4.72110552763819,-27.6317065808329
"Sample_SUM159_2N_C_A1_",107,4.76130653266332,-27.6317065808329
"Sample_SUM159_2N_C_A1_",108,4.80150753768844,-27.6317065808329
"Sample_SUM159_2N_C_A1_",109,4.84170854271357,-27.6317065808329
"Sample_SUM159_2N_C_A1_",110,4.88190954773869,-27.6317065808329
"Sample_SUM159_2N_C_A1_",111,4.92211055276382,-27.6317065808329
"Sample_SUM159_2N_C_A1_",112,4.96231155778894,-27.6317065808329
"Sample_SUM159_2N_C_A1_",113,5.00251256281407,-27.6317065808329
"Sample_SUM159_2N_C_A1_",114,5.0427135678392,-27.6317065808329
"Sample_SUM159_2N_C_A1_",115,5.08291457286432,-27.6317065808329
"Sample_SUM159_2N_C_A1_",116,5.12311557788945,-27.6317065808329
"Sample_SUM159_2N_C_A1_",117,5.16331658291457,-27.6317065808329
"Sample_SUM159_2N_C_A1_",118,5.2035175879397,-14.9310848313921
"Sample_SUM159_2N_C_A1_",119,5.24371859296482,-10.0762210135374
"Sample_SUM159_2N_C_A1_",120,5.28391959798995,-15.4655927320357
"Sample_SUM159_2N_C_A1_",121,5.32412060301508,-27.6317065808329
"Sample_SUM159_2N_C_A1_",122,5.3643216080402,-27.6317065808329
"Sample_SUM159_2N_C_A1_",123,5.40452261306533,-27.6317065808329
"Sample_SUM159_2N_C_A1_",124,5.44472361809045,-27.6317065808329
"Sample_SUM159_2N_C_A1_",125,5.48492462311558,-27.6317065808329
"Sample_SUM159_2N_C_A1_",126,5.5251256281407,-27.6317065808329
"Sample_SUM159_2N_C_A1_",127,5.56532663316583,-27.6317065808329
"Sample_SUM159_2N_C_A1_",128,5.60552763819095,-27.6317065808329
"Sample_SUM159_2N_C_A1_",129,5.64572864321608,-27.6317065808329
"Sample_SUM159_2N_C_A1_",130,5.68592964824121,-27.6317065808329
"Sample_SUM159_2N_C_A1_",131,5.72613065326633,-27.6317065808329
"Sample_SUM159_2N_C_A1_",132,5.76633165829146,-27.6317065808329
"Sample_SUM159_2N_C_A1_",133,5.80653266331658,-27.6317065808329
"Sample_SUM159_2N_C_A1_",134,5.84673366834171,-27.6317065808329
"Sample_SUM159_2N_C_A1_",135,5.88693467336683,-27.6317065808329
"Sample_SUM159_2N_C_A1_",136,5.92713567839196,-27.6317065808329
"Sample_SUM159_2N_C_A1_",137,5.96733668341709,-27.6317065808329
"Sample_SUM159_2N_C_A1_",138,6.00753768844221,-27.6317065808329
"Sample_SUM159_2N_C_A1_",139,6.04773869346734,-27.6317065808329
"Sample_SUM159_2N_C_A1_",140,6.08793969849246,-27.6317065808329
"Sample_SUM159_2N_C_A1_",141,6.12814070351759,-27.6317065808329
"Sample_SUM159_2N_C_A1_",142,6.16834170854271,-27.6317065808329
"Sample_SUM159_2N_C_A1_",143,6.20854271356784,-27.6317065808329
"Sample_SUM159_2N_C_A1_",144,6.24874371859296,-27.6317065808329
"Sample_SUM159_2N_C_A1_",145,6.28894472361809,-27.6317065808329
"Sample_SUM159_2N_C_A1_",146,6.32914572864322,-27.6317065808329
"Sample_SUM159_2N_C_A1_",147,6.36934673366834,-27.6317065808329
"Sample_SUM159_2N_C_A1_",148,6.40954773869347,-27.6317065808329
"Sample_SUM159_2N_C_A1_",149,6.44974874371859,-27.6317065808329
"Sample_SUM159_2N_C_A1_",150,6.48994974874372,-27.6317065808329
"Sample_SUM159_2N_C_A1_",151,6.53015075376884,-27.6317065808329
"Sample_SUM159_2N_C_A1_",152,6.57035175879397,-27.6317065808329
"Sample_SUM159_2N_C_A1_",153,6.6105527638191,-27.6317065808329
"Sample_SUM159_2N_C_A1_",154,6.65075376884422,-27.6317065808329
"Sample_SUM159_2N_C_A1_",155,6.69095477386935,-27.6317065808329
"Sample_SUM159_2N_C_A1_",156,6.73115577889447,-27.6317065808329
"Sample_SUM159_2N_C_A1_",157,6.7713567839196,-27.6317065808329
"Sample_SUM159_2N_C_A1_",158,6.81155778894472,-27.6317065808329
"Sample_SUM159_2N_C_A1_",159,6.85175879396985,-27.6317065808329
"Sample_SUM159_2N_C_A1_",160,6.89195979899498,-27.6317065808329
"Sample_SUM159_2N_C_A1_",161,6.9321608040201,-27.6317065808329
"Sample_SUM159_2N_C_A1_",162,6.97236180904523,-27.6317065808329
"Sample_SUM159_2N_C_A1_",163,7.01256281407035,-27.6317065808329
"Sample_SUM159_2N_C_A1_",164,7.05276381909548,-27.6317065808329
"Sample_SUM159_2N_C_A1_",165,7.0929648241206,-27.6317065808329
"Sample_SUM159_2N_C_A1_",166,7.13316582914573,-27.6317065808329
"Sample_SUM159_2N_C_A1_",167,7.17336683417085,-27.6317065808329
"Sample_SUM159_2N_C_A1_",168,7.21356783919598,-27.6317065808329
"Sample_SUM159_2N_C_A1_",169,7.25376884422111,-27.6317065808329
"Sample_SUM159_2N_C_A1_",170,7.29396984924623,-27.6317065808329
"Sample_SUM159_2N_C_A1_",171,7.33417085427136,-27.6317065808329
"Sample_SUM159_2N_C_A1_",172,7.37437185929648,-27.6317065808329
"Sample_SUM159_2N_C_A1_",173,7.41457286432161,-27.6317065808329
"Sample_SUM159_2N_C_A1_",174,7.45477386934673,-27.6317065808329
"Sample_SUM159_2N_C_A1_",175,7.49497487437186,-27.6317065808329
"Sample_SUM159_2N_C_A1_",176,7.53517587939699,-27.6317065808329
"Sample_SUM159_2N_C_A1_",177,7.57537688442211,-27.6317065808329
"Sample_SUM159_2N_C_A1_",178,7.61557788944724,-27.6317065808329
"Sample_SUM159_2N_C_A1_",179,7.65577889447236,-27.6317065808329
"Sample_SUM159_2N_C_A1_",180,7.69597989949749,-27.6317065808329
"Sample_SUM159_2N_C_A1_",181,7.73618090452261,-27.6317065808329
"Sample_SUM159_2N_C_A1_",182,7.77638190954774,-27.6317065808329
"Sample_SUM159_2N_C_A1_",183,7.81658291457286,-27.6317065808329
"Sample_SUM159_2N_C_A1_",184,7.85678391959799,-27.6317065808329
"Sample_SUM159_2N_C_A1_",185,7.89698492462312,-27.6317065808329
"Sample_SUM159_2N_C_A1_",186,7.93718592964824,-27.6317065808329
"Sample_SUM159_2N_C_A1_",187,7.97738693467337,-27.6317065808329
"Sample_SUM159_2N_C_A1_",188,8.01758793969849,-27.6317065808329
"Sample_SUM159_2N_C_A1_",189,8.05778894472362,-27.6317065808329
"Sample_SUM159_2N_C_A1_",190,8.09798994974874,-27.6317065808329
"Sample_SUM159_2N_C_A1_",191,8.13819095477387,-27.6317065808329
"Sample_SUM159_2N_C_A1_",192,8.178391959799,-27.6317065808329
"Sample_SUM159_2N_C_A1_",193,8.21859296482412,-27.6317065808329
"Sample_SUM159_2N_C_A1_",194,8.25879396984925,-27.6317065808329
"Sample_SUM159_2N_C_A1_",195,8.29899497487437,-27.6317065808329
