id,ploidy
SUM159_NLS_2N_O1_A7K_harvest,2
SUM159_NLS_2N_O1_A7K_harvest,2
SUM159_NLS_2N_O1_A7K_harvest,1.95454545454545
SUM159_NLS_2N_O1_A7K_harvest,2.04545454545455
SUM159_NLS_2N_O1_A7K_harvest,1.95454545454545
SUM159_NLS_2N_O1_A7K_harvest,2
SUM159_NLS_2N_O1_A7K_harvest,2.04545454545455
SUM159_NLS_2N_O1_A7K_harvest,2
SUM159_NLS_2N_O1_A7K_harvest,2
SUM159_NLS_2N_O1_A7K_harvest,2
SUM159_NLS_2N_O1_A7K_harvest,2
SUM159_NLS_2N_O1_A7K_harvest,1.95454545454545
SUM159_NLS_2N_O1_A7K_harvest,1.95454545454545
SUM159_NLS_2N_O1_A7K_harvest,1.90909090909091
SUM159_NLS_2N_O1_A7K_harvest,1.90909090909091
SUM159_NLS_2N_O1_A7K_harvest,2
SUM159_NLS_2N_O1_A7K_harvest,1.90909090909091
SUM159_NLS_2N_O1_A7K_harvest,2
SUM159_NLS_2N_O1_A7K_harvest,2
SUM159_NLS_2N_O1_A7K_harvest,1.98086124401914
SUM159_NLS_2N_O2_A7K_harvest,2
SUM159_NLS_2N_O2_A7K_harvest,2
SUM159_NLS_2N_O2_A7K_harvest,1.86363636363636
SUM159_NLS_2N_O2_A7K_harvest,2.04545454545455
SUM159_NLS_2N_O2_A7K_harvest,2.04545454545455
SUM159_NLS_2N_O2_A7K_harvest,2.13636363636364
SUM159_NLS_2N_O2_A7K_harvest,2
SUM159_NLS_2N_O2_A7K_harvest,2
SUM159_NLS_2N_O2_A7K_harvest,1.95454545454545
SUM159_NLS_2N_O2_A7K_harvest,1.86363636363636
SUM159_NLS_2N_O2_A7K_harvest,2
SUM159_NLS_2N_O2_A7K_harvest,1.95454545454545
SUM159_NLS_2N_O2_A7K_harvest,2
SUM159_NLS_2N_O2_A7K_harvest,2.04545454545455
SUM159_NLS_2N_O2_A7K_harvest,1.95454545454545
SUM159_NLS_2N_O2_A7K_harvest,1.99090909090909
SUM-159_NLS_2N_A7M_K_harvest,1.95454545454545
SUM-159_NLS_2N_A7M_K_harvest,2
SUM-159_NLS_2N_A7M_K_harvest,2
SUM-159_NLS_2N_A7M_K_harvest,2.04545454545455
SUM-159_NLS_2N_A7M_K_harvest,2
SUM-159_NLS_2N_A7M_K_harvest,2
SUM-159_NLS_2N_A7M_K_harvest,2
SUM-159_NLS_2N_A7M_K_harvest,2
SUM-159_NLS_2N_A7M_K_harvest,2
SUM-159_NLS_2N_A7M_K_harvest,2
SUM-159_NLS_2N_A7M_K_harvest,2
SUM-159_NLS_2N_A7M_K_harvest,1.95454545454545
