context	n_solutions	n_grid_rows	current_max_boundary_share	expanded_max_boundary_share	max_upper_truncation_share_removed	current_fraction_boundary_share_ge_0p01	expanded_fraction_boundary_share_ge_0p01	fraction_upper_truncation_share_ge_0p01	max_abs_change_misseg_nonviable_rate
invitro	6	41568	0.00271945988193635	0	0.00271945988193635	0	0	0	0
invivo	6	43048	0.267498219104066	0.267498219104066	0.0581091578712237	0.0515471102025646	0.0284333766957815	0.0231137335067831	0
