solution	context	cohort	N_ref	n_oxygen_grid	max_misseg_nonviable_rate	max_boundary_dropped_rate	max_boundary_share_of_cin_loss	median_boundary_share_of_cin_loss
tsne_vi_seed366_C01Sc01_vt_seed10	invivo	3.5N	77	902	0.180033969487647	0	0	0
tsne_vi_seed138_C03Sc01_vt_seed10	invitro	3N	66	866	0.488181257721706	0	0	0
tsne_vi_seed25_C02Sc01_vt_seed10	invitro	3N	66	866	0.486883523833908	0	0	0
tsne_vi_seed290_C01Sc02_vt_seed10	invitro	3N	66	866	0.487009541587391	0	0	0
tsne_vi_seed311_C03Sc02_vt_seed10	invitro	3N	66	866	0.487034492077746	0	0	0
tsne_vi_seed322_C02Sc02_vt_seed10	invitro	3N	66	866	0.486812685524627	0	0	0
tsne_vi_seed366_C01Sc01_vt_seed10	invitro	3N	66	866	0.487250756820237	0	0	0
tsne_vi_seed138_C03Sc01_vt_seed10	invivo	3N	66	896	0.161944990260898	7.60774762088816e-06	0.000153501617484199	0
tsne_vi_seed25_C02Sc01_vt_seed10	invivo	3N	66	907	0.208657512712278	0	0	0
tsne_vi_seed290_C01Sc02_vt_seed10	invivo	3N	66	916	0.188689825888428	1.46458009717858e-05	0.000145413992290346	0
tsne_vi_seed311_C03Sc02_vt_seed10	invivo	3N	66	885	0.365730397754655	0	0	0
tsne_vi_seed322_C02Sc02_vt_seed10	invivo	3N	66	875	0.216585984056085	0	0	0
tsne_vi_seed366_C01Sc01_vt_seed10	invivo	3N	66	902	0.166508563021902	0	0	0
tsne_vi_seed138_C03Sc01_vt_seed10	invitro	4.5N	99	866	0.245284236420158	0.000371526477895348	0.001512386575069	0.00143389092427015
tsne_vi_seed25_C02Sc01_vt_seed10	invitro	4.5N	99	866	0.242583729743001	0.000379533262728595	0.00156210143884858	0.00148058835490923
tsne_vi_seed290_C01Sc02_vt_seed10	invitro	4.5N	99	866	0.242647079850043	0.000211306912171032	0.000870082828878895	0.000824656113195856
tsne_vi_seed311_C03Sc02_vt_seed10	invitro	4.5N	99	866	0.24269653025269	0.000393934966374039	0.00162052825074418	0.00153649827067629
tsne_vi_seed322_C02Sc02_vt_seed10	invitro	4.5N	99	866	0.242548435426326	0.000546201057663642	0.00224686593486243	0.00212969690398945
tsne_vi_seed366_C01Sc01_vt_seed10	invitro	4.5N	99	866	0.24277004724153	0.000276593699030832	0.00113802724432005	0.00107866179243171
tsne_vi_seed138_C03Sc01_vt_seed10	invivo	4.5N	99	896	0.193508346579154	0.000431427554188969	0.00579893704139217	0.000773682631655475
tsne_vi_seed25_C02Sc01_vt_seed10	invivo	4.5N	99	907	0.256915229742981	2.78645588385845e-06	1.40633961653135e-05	8.583848979499e-06
tsne_vi_seed290_C01Sc02_vt_seed10	invivo	4.5N	99	916	0.216539658979895	0.000656580828811511	0.00506561627908777	0.000417838181907932
tsne_vi_seed311_C03Sc02_vt_seed10	invivo	4.5N	99	885	0.439452010536882	0.000114091898484507	0.000515618449771798	0.000278622697616453
tsne_vi_seed322_C02Sc02_vt_seed10	invivo	4.5N	99	875	0.276793234907719	9.72012748402438e-05	0.000704806911025503	0.000292980093217527
tsne_vi_seed366_C01Sc01_vt_seed10	invivo	4.5N	99	902	0.206868267483357	5.70695860545077e-05	0.000422304163161706	0.000214158982438914
tsne_vi_seed138_C03Sc01_vt_seed10	invitro	4N	88	866	0.307095406984636	0.000380150401057518	0.0012363597428353	0.00116326859383137
tsne_vi_seed25_C02Sc01_vt_seed10	invitro	4N	88	866	0.304528231740854	0.000388997930418255	0.0012757492609966	0.00120094181443231
tsne_vi_seed290_C01Sc02_vt_seed10	invitro	4N	88	866	0.30460768225598	0.000216576410000678	0.000710495978727196	0.000668816817888716
tsne_vi_seed311_C03Sc02_vt_seed10	invitro	4N	88	866	0.304664125524626	0.000403758778709386	0.00132350470004873	0.0012463103613923
tsne_vi_seed322_C02Sc02_vt_seed10	invitro	4N	88	866	0.304483924911789	0.000559822028498611	0.00183521883045908	0.00172766193077897
tsne_vi_seed366_C01Sc01_vt_seed10	invitro	4N	88	866	0.304761671884195	0.000283491295904318	0.000929342045449657	0.000874869261168982
tsne_vi_seed138_C03Sc01_vt_seed10	invivo	4N	88	896	0.184630980156465	4.11744710559704e-05	0.00179347743982436	0.000240878728462401
tsne_vi_seed25_C02Sc01_vt_seed10	invivo	4N	88	907	0.241326148296663	2.83448130704463e-06	1.81133357237422e-05	9.48308819901716e-06
tsne_vi_seed290_C01Sc02_vt_seed10	invivo	4N	88	916	0.208796082630517	2.50825254738276e-05	0.00107891802259037	0.000124339394426331
tsne_vi_seed311_C03Sc02_vt_seed10	invivo	4N	88	885	0.417469055837275	0.000114097741201245	0.000567958071964887	0.000313201464427046
tsne_vi_seed322_C02Sc02_vt_seed10	invivo	4N	88	875	0.258144401212821	9.74349587909675e-05	0.000893180948278307	0.0003200594597653
tsne_vi_seed366_C01Sc01_vt_seed10	invivo	4N	88	902	0.193969479504511	5.78824349246449e-05	0.000563284735535983	0.000240982462554757
tsne_vi_seed138_C03Sc01_vt_seed10	invitro	5N	110	866	0.19795264577851	0.000362824638943914	0.00182953270453469	0.00174529861227431
