context	n_solutions	n_grid_rows	maximum_boundary_dropped_rate	maximum_misseg_nonviable_rate	maximum_boundary_share_of_cin_loss	fraction_grid_rows_boundary_share_ge_0p01	fraction_grid_rows_boundary_share_ge_0p001
invitro	6	41568	0.000559822028498611	0.696200773313464	0.00271945988193635	0	0.303671093148576
invivo	6	43048	0.044578253359693	0.546825440439553	0.267498219104066	0.0515471102025646	0.0898764170228582
