solution	objective	context	oxygen_pct	cohort	N_ref	current_N_min	current_N_max	expanded_N_min	expanded_N_max	current_misseg_nonviable_rate	expanded_misseg_nonviable_rate	current_boundary_dropped_rate	expanded_boundary_dropped_rate	upper_truncation_rate_removed	current_boundary_share	expanded_boundary_share	upper_truncation_share_of_current_cin_loss
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	invivo	0	1.5N	33	22	154	22	308	0.228666263684908	0.228666263684908	2.21077750532321e-21	2.21077750532321e-21	0	9.66814023939081e-21	9.66814023939081e-21	0
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	invivo	2.2250674486063e-05	1.5N	33	22	154	22	308	0.228666263921052	0.228666263921052	2.21077750589264e-21	2.21077750589264e-21	0	9.66814023189674e-21	9.66814023189674e-21	0
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	invivo	2.3699568594907e-05	1.5N	33	22	154	22	308	0.228666263955739	0.228666263955739	2.21077750597629e-21	2.21077750597629e-21	0	9.66814023079598e-21	9.66814023079598e-21	0
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	invivo	2.524281014207e-05	1.5N	33	22	154	22	308	0.22866626399552	0.22866626399552	2.21077750607221e-21	2.21077750607221e-21	0	9.6681402295335e-21	9.6681402295335e-21	0
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	invivo	2.6886542736712e-05	1.5N	33	22	154	22	308	0.228666264041144	0.228666264041144	2.21077750618223e-21	2.21077750618223e-21	0	9.66814022808559e-21	9.66814022808559e-21	0
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	invivo	2.8637310040544e-05	1.5N	33	22	154	22	308	0.22866626409347	0.22866626409347	2.21077750630841e-21	2.21077750630841e-21	0	9.66814022642504e-21	9.66814022642504e-21	0
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	invivo	3.0502081817997e-05	1.5N	33	22	154	22	308	0.228666264153482	0.228666264153482	2.21077750645312e-21	2.21077750645312e-21	0	9.66814022452055e-21	9.66814022452055e-21	0
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	invivo	3.2488281682691e-05	1.5N	33	22	154	22	308	0.228666264222309	0.228666264222309	2.21077750661908e-21	2.21077750661908e-21	0	9.66814022233631e-21	9.66814022233631e-21	0
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	invivo	3.4603816650676e-05	1.5N	33	22	154	22	308	0.228666264301245	0.228666264301245	2.21077750680943e-21	2.21077750680943e-21	0	9.66814021983125e-21	9.66814021983125e-21	0
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	invivo	3.6857108618076e-05	1.5N	33	22	154	22	308	0.228666264391776	0.228666264391776	2.21077750702774e-21	2.21077750702774e-21	0	9.66814021695827e-21	9.66814021695827e-21	0
