solution	objective	oxygen_pct	current_N_min	current_N_max	expanded_N_min	expanded_N_max	current_status	expanded_status	current_dominant_mean_ploidy	expanded_dominant_mean_ploidy	expanded_minus_current_ploidy	current_dominant_growth_rate	expanded_dominant_growth_rate	current_spectral_gap	expanded_spectral_gap
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0	22	154	22	308	ok	ok	6.24898652468452	13.8573594102761	7.60837288559154	-0.00130236706100343	-0.000142087712114931	0.000107291948359934	1.53587313838621e-06
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0.1	22	154	22	308	ok	ok	6.24360610376725	13.85732077861	7.61371467484275	-0.00152924525289035	-0.000167071285742273	0.000126680595333982	1.80573844636703e-06
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0.5	22	154	22	308	ok	ok	4.95190134612115	13.8560807668924	8.90417942077126	-0.0081777946381499	-0.000963768092910894	0.000509661609529465	1.03815477021985e-05
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	1	22	154	22	308	ok	ok	1.00258264475535	1.00258310935417	4.64598814975403e-07	0.023879738510984	0.0238797385109839	0.0158398471109864	0.0158398462406866
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	2	22	154	22	308	ok	ok	1.00082775041583	1.00082775112457	7.08738401300479e-10	0.166164071363523	0.166164071363523	0.0109573695602916	0.0109573695602918
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	5	22	154	22	308	ok	ok	1.00304501412033	1.00304501640915	2.2888169137758e-09	0.227354487225597	0.227354487225598	0.00194295568991262	0.00194295568991437
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0	22	154	22	308	ok	ok	6.93753865299832	13.9952815293681	7.05774287636983	-0.00406362136770888	-0.000705816011635835	6.62876487900537e-05	5.87454534122227e-06
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.1	22	154	22	308	ok	ok	6.92751998819373	13.9951552087458	7.0676352205521	-0.00746278795766294	-0.00132491988086403	0.000118494089760432	1.0975642256767e-05
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.5	22	154	22	308	ok	ok	1.46179986960752	1.46414053448483	0.00234066487730211	0.00362160314567264	0.00362168155929801	0.0789918806349813	0.0350722193307852
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	1	22	154	22	308	ok	ok	1.20809595067569	1.20810184638687	5.89571117770582e-06	0.103289125169314	0.103289125224776	0.0300697899715408	0.0300697883165494
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	2	22	154	22	308	ok	ok	1.18735366266165	1.18735374785788	8.51962309589283e-08	0.128631161249625	0.128631161249646	0.0045965591183503	0.00459655911791493
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	5	22	154	22	308	ok	ok	1.19596019493442	1.19596027462651	7.96920869294837e-08	0.133219792407803	0.133219792407802	0.000414970914003027	0.000414970913979351
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0	22	154	22	308	ok	ok	6.77727835813914	13.9759999296336	7.19872157149446	-0.00373680492280771	-0.000521743678875565	6.94956520969842e-05	4.86846735241729e-06
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1	22	154	22	308	ok	ok	6.77251328523073	13.9759428685111	7.20342958328039	-0.00526671380215554	-0.000739525456877955	9.73230608068369e-05	6.8942548830859e-06
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.5	22	154	22	308	ok	ok	6.6923125643543	13.9751629388638	7.28285037450953	-0.0241773581417578	-0.00365133973802247	0.000412146460857382	3.36195299211702e-05
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	1	22	154	22	308	ok	ok	1.00002794176552	1.00002794189814	1.32627242521721e-10	0.0444985317260415	0.0444985317260415	0.0222749806472823	0.0222749806472825
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	2	22	154	22	308	ok	ok	1.00002729459292	1.00002729459423	1.31272770431679e-12	0.155169359469606	0.155169359469606	0.0122345241987317	0.0122345241987329
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	5	22	154	22	308	ok	ok	1.00007489307045	1.00007489307073	2.8377300509419e-13	0.214466264936039	0.21446626493604	0.00350910839869414	0.00350910839869578
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	0	22	154	22	308	ok	ok	6.12389977040565	13.9070761069921	7.78317633658644	-0.0179901682808622	-0.0034153433402915	0.000836180799460701	2.80200694105243e-05
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	0.1	22	154	22	308	ok	ok	6.12378611384605	13.907075577458	7.783289463612	-0.0179941055604005	-0.00341615575034999	0.000836430897910717	2.80266401570506e-05
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	0.5	22	154	22	308	ok	ok	6.07706389493984	13.9068800273711	7.82981613243121	-0.0194343337829486	-0.00371568371838077	0.000931145527568952	3.04461543294008e-05
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	1	22	154	22	308	ok	ok	3.36205993711601	13.9045611733522	10.5425012362362	-0.0293194797978658	-0.00719529130583426	0.00556020412181158	5.81063972205018e-05
