solution	objective	n_growth_observations	growth_rmse	growth_mae	growth_bias_obs_minus_pred	observed_predicted_correlation
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	114	0.204339978569645	0.146277210051959	0.0585714569546522	0.780286750592697
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	114	0.204020389518706	0.145476139982423	0.0594456949351348	0.779709669883372
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	114	0.204494827662441	0.146217903249822	0.0603508744046435	0.779430986614231
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	114	0.20397810199439	0.145419768064063	0.0594853569721362	0.779755879874853
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	114	0.203674291183628	0.1449682495812	0.0587966727956741	0.779933325760396
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	114	0.204347742178151	0.145966790207353	0.0601543880704711	0.77949595464948
