harvest	cohort	dose	n_observed_cells	observed_mean_N	predicted_mean_min	predicted_mean_median	predicted_mean_max	observed_mean_in_minmax_envelope	median_total_variation	median_wasserstein1	median_jensen_shannon_distance
SUM159-2N-0-O_harvest	2N	0	604	45.9271523178808	41.9065400234625	46.0715530362966	49.708974624341	TRUE	0.69656792718246	4.01698102950758	0.594076633214892
SUM159-2N-0-R_harvest	2N	0	303	43.0693069306931	41.9065400234625	46.0715530362966	49.708974624341	TRUE	0.755807608642801	4.46427562033228	0.632608105567236
SUM159-2N-0-RL_harvest	2N	0	547	47.7349177330896	41.9065400234625	46.0715530362966	49.708974624341	TRUE	0.779216696680105	5.35350303701184	0.666311223998206
SUM159-2N-0-RR_harvest	2N	0	2274	40.476253298153	41.9065400234625	46.0715530362966	49.708974624341	FALSE	0.770733178627995	5.91166085961066	0.645595279836312
SUM159-4N-0-0_harvest	4N	0	1097	53.661804922516	47.0806704738028	48.8554706990157	50.8891165826767	FALSE	0.766674153907756	6.17237399338941	0.62726356879494
SUM159-4N-0-L_harvest	4N	0	636	49.8380503144654	50.8267103027868	51.4394629987221	53.5901384550728	FALSE	0.665522298573144	4.70851056620397	0.570643961215473
SUM159-4N-0-R_harvest	4N	0	512	49.068359375	50.8267103027868	51.4394629987221	53.5901384550728	FALSE	0.629982864106351	4.63768345419814	0.551926817776572
SUM159-4N-0-RR_harvest	4N	0	529	47.5368620037807	47.0806704738028	48.8554706990157	50.8891165826767	TRUE	0.653747997199403	3.8099168836547	0.542971214818472
