solution	objective	objective_delta	n_tumor_timepoints	n_tumors	log_burden_rmse	log_burden_mae	log_burden_bias_obs_minus_pred	observed_predicted_log_correlation
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	1.1259498752024	92	8	0.672701767956824	0.475124536594218	-0.0122656405845051	0.812803525496669
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628	92	8	0.666314365378572	0.481543917257423	0.00626916504730806	0.816197670624122
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502	92	8	0.668699966658665	0.474150746470917	0.00962265425217027	0.814955050029236
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	0.5622013802389	92	8	0.663177691202333	0.475747429941338	0.00387466154860694	0.818052883743412
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	0.0377736253945997	92	8	0.667846044479367	0.477909502716619	0.00834438289098169	0.815336082023087
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0	92	8	0.667694901090303	0.477129553344993	-0.0041017485708507	0.815340231416645
