endpoint	n	rmse	mae	mean_residual	observed_predicted_correlation
Growth rate	114	0.204020389518706	0.145476139982423	0.0594456949351358	0.779709669883373
Karyotype cell log score	220	NA	NA	3.11099339040176	NA
Flow-density curve	20	0.256407427274114	0.868179335571107	0.926909546462153	0.655768625763003
