Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm	Num Detections
558227.svs	9a5beb16-7b12-4bec-99f1-5163f546e3c0	Annotation		Tumor	Root object (Image)	Polygon	8368.3	8522.7	61074.7	949.23	542
558227.svs	54b40df9-5c8b-4bc6-855a-61319ac4595e	Annotation		Tumor	Root object (Image)	Polygon	7950.1	15360.3	43271.5	811.45	437
558227.svs	eef4ec06-6278-4235-8f92-9808199b60b4	Annotation		Tumor	Root object (Image)	Geometry	11639.4	15805.4	2966558.6	13369.2	23221
558227.svs	0ae50dbc-f51a-471c-872c-f367f9a7268e	Annotation		Tumor	Root object (Image)	Geometry	17843.3	16328	5395808	33740.6	36982
558227.svs	3e676a43-c9d0-4112-8365-7ac89aa3c4ef	Annotation		Tumor	Root object (Image)	Polygon	10397.7	4743.3	1413359.4	7351	11404
558227.svs	8700eeb8-f260-4af5-864e-79125193711a	Annotation		Tumor	Root object (Image)	Polygon	8966.4	3322.2	1323902.8	8051.9	12186
558227.svs	fbada45f-c24c-4f0e-ac76-f2209d9c6be8	Annotation		Tumor	Root object (Image)	Polygon	8898.2	15607.6	141948.1	1749.4	1463
558227.svs	bac117df-aaa2-43c0-be91-a08146a4e634	Annotation		Tumor	Root object (Image)	Polygon	15086.7	18612	154651.7	2204.1	1241
558227.svs	039d0b8a-4460-465e-af98-bf25d6775823	Annotation		Tumor	Root object (Image)	Polygon	15747.5	6407.8	326690.7	5663.8	2988
558227.svs	1e3eda49-8761-4309-a793-fb8c72b0f2fa	Annotation		Tumor	Root object (Image)	Geometry	6260.5	14563	6578911	31059.4	48113
558227.svs	b77efea4-3990-4e40-af72-5736e14b9947	Annotation		Tumor	Root object (Image)	Polygon	10243.5	4029.9	875930.9	4845.7	8033
558227.svs	41cd8cbf-d276-4e9b-a48f-9a064b5e9bea	Annotation		Necrosis	Root object (Image)	Geometry	11294.8	10979.1	179478190.2	80771.3	357138
558227.svs	7f051941-b472-4a18-8a4b-39f200ac6319	Annotation		Tumor	Root object (Image)	Polygon	14110.3	17957.8	118432.2	1502.6	969
558227.svs	6ffcf90a-b065-43bc-afa1-1c3f69a0fc3b	Annotation		Tumor	Root object (Image)	Polygon	17428.3	10254	1595544.4	8191.1	12175
558227.svs	bc7b1168-5abb-4691-92cd-1979acd9a9ac	Annotation		Tumor	Root object (Image)	Polygon	18666.2	13720.2	119029.3	1635.1	1046
558227.svs	897416d3-bdc1-44c4-9d68-88a05bbbac71	Annotation		Tumor	Root object (Image)	Polygon	11106.7	17013.8	59412.2	982.15	500
558227.svs	aa17ae78-520b-440b-86d7-f6773970f10e	Annotation		Tumor	Root object (Image)	Polygon	8432.6	15487.2	53916.7	916.32	597
558227.svs	fe84c08a-bfd4-4db6-a3dd-246b33916b10	Annotation		Tumor	Root object (Image)	Polygon	13379.1	17918.8	219357.3	3053	1992
558227.svs	fde7de4b-0ea4-4a74-b844-7d9ff9232862	Annotation		Tumor	Root object (Image)	Polygon	10167.4	4945.9	26694	1112.2	292
558227.svs	d4d7146f-5e90-4bb0-8e88-0543d3728661	Annotation		Tumor	Root object (Image)	Polygon	8366.3	15198.5	37866	762.3	377
558227.svs	526bfea5-c7ab-4ea6-961f-b1530f128377	Annotation		Tumor	Root object (Image)	Polygon	8165.1	5586.4	1414919.5	6857.1	11657
558227.svs	284dd3b6-4513-4f54-975e-65d6e5e268f2	Annotation		Tumor	Root object (Image)	Geometry	13702.8	5391.4	169039.2	4373.1	1582
558227.svs	8ec2b539-f21a-4c88-af08-4aeeeb999fbb	Annotation		Tumor	Root object (Image)	Polygon	10227.9	16549	1250497.8	9326.9	10511
558227.svs	fa7e7b1f-2c4e-4466-99a4-5a0b83d51fb1	Annotation		Tumor	Root object (Image)	Polygon	6914.7	10759.8	75092.7	1037.4	537
558227.svs	c404e48d-1588-4710-9c4d-0351bef54468	Annotation		Tumor	Root object (Image)	Polygon	10826.5	16982.2	55034.2	912.89	448
558227.svs	e9744672-f139-4afc-abce-63c0c6094fb4	Annotation		Tumor	Root object (Image)	Polygon	12464.7	16171.3	1016352.7	7094.3	8759
558227.svs	281deb63-d0e8-4fa7-b704-0bb25d20e70b	Annotation		Tumor	Root object (Image)	Polygon	18707.9	12274.9	1411296.7	10719.9	10327
558227.svs	16d4dafc-32f8-4e9e-8429-83e516ecdbf9	Annotation		Tumor	Root object (Image)	Polygon	9605.2	5118.7	84077.1	1859.3	796
558227.svs	3f43a71c-877d-4df4-b51b-7299261ceb7d	Annotation		Tumor	Root object (Image)	Geometry	5671.2	7217.6	20265864.4	107833.8	144607
558227.svs	2e274a92-d055-45f5-a984-767dec768f4f	Annotation		Tumor	Root object (Image)	Polygon	18275.2	13962	126867.6	1453.7	1176
558227.svs	667fc97b-1a42-44d9-b8ed-c8198d0026a9	Annotation		Tumor	Root object (Image)	Polygon	12416.4	5345.5	522755.3	4636.7	4758
558227.svs	e9203282-bfaf-407d-b450-20a8deaa18c8	Annotation		Tumor	Root object (Image)	Polygon	14601.7	18313.7	300251.3	3756.4	2202
