Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm	Num Detections
558114.svs	444ba567-43bd-4080-8737-56e117862676	Annotation		Tumor	Root object (Image)	Polygon	17086	3432.6	541.36	93.67	5
558114.svs	0d30455e-16f4-4c63-bd0e-917f0ec5802f	Annotation		Tumor	Root object (Image)	Polygon	24429.1	14701	1122.3	147.12	13
558114.svs	eb191f08-9791-471a-9b9d-ae395428189a	Annotation		Vessel	Root object (Image)	Polygon	18856.1	15626.9	4298.1	NaN	39
558114.svs	5a1c74f9-4f9a-47fa-8be9-67593e1cc0c2	Annotation		Tumor	Root object (Image)	Polygon	23809.5	13529.6	610.09	101.85	4
558114.svs	5152dfc4-b242-4ee0-8ff2-17d7a88364bc	Annotation		Tumor	Root object (Image)	Polygon	20875.6	8367.3	385.49	75.88	4
558114.svs	e67a3f90-3ea0-4a98-8a40-205c1f4141c6	Annotation		Tumor	Root object (Image)	Polygon	20696.7	7234.3	550.86	108.31	7
558114.svs	20cc6e77-aeb9-485f-909c-bfdf97052099	Annotation		Tumor	Root object (Image)	Polygon	22195.3	10545.8	658.9	100.11	9
558114.svs	5923bcdc-19fa-4b4e-b780-2b19bec5fc97	Annotation		Tumor	Root object (Image)	Polygon	21109.1	9726.9	370.65	81.37	5
558114.svs	7781888a-b14f-4478-9d42-84eeaf232772	Annotation		Tumor	Root object (Image)	Polygon	17218.8	19314.7	316.18	73.48	6
558114.svs	de70265d-9b8e-45e9-974e-d50cc88d36db	Annotation		Tumor	Root object (Image)	Polygon	18554.4	3300.9	631.44	103.46	9
558114.svs	25e6e8e9-bffd-42f4-949f-9d239260d21b	Annotation		Tumor	Root object (Image)	Polygon	20499.3	4812.2	898.95	132.74	6
558114.svs	89c8edd9-1a09-4b59-8f4e-37f37cf75c26	Annotation		Tumor	Root object (Image)	Polygon	23881.4	16382.5	769.61	109.12	8
558114.svs	b305566f-c243-4d8e-84e3-7ff97d2ba1f9	Annotation		Tumor	Root object (Image)	Polygon	18211.9	3400.1	249.07	61.01	2
558114.svs	b8e21cce-5a01-4130-8f80-c3592d319a0b	Annotation		Tumor	Root object (Image)	Polygon	18443.5	12272.6	565.25	97.58	4
558114.svs	df36fb60-2f8b-4074-bf0c-88e04d556ade	Annotation		Tumor	Root object (Image)	Polygon	18783.4	15594.6	103104	1855.3	1099
558114.svs	503ae92d-9100-4c2d-9999-e2927c824ff8	Annotation		Lung tissue	Root object (Image)	Geometry	18327.2	10653	107886711	170014.4	1381935
558114.svs	395b1b89-d968-4438-8395-aa684298c700	Annotation		Tumor	Root object (Image)	Polygon	20945	8291.9	479.8	88.25	6
558114.svs	9daf30a4-0f8d-4035-9e36-f08f36399963	Annotation		Tumor	Root object (Image)	Polygon	13219.9	7845.8	949.63	119.26	8
558114.svs	e9342543-1ed6-4595-8409-6d726487e662	Annotation		Tumor	Root object (Image)	Polygon	17698.2	16106.9	1763.6	182.07	27
558114.svs	7f7c1785-67ef-4f56-8969-5c7477c39676	Annotation		Tumor	Root object (Image)	Polygon	20331	8974.5	905.36	143.93	10
558114.svs	c507cf95-e7ec-4985-8c2f-e65629e4a054	Annotation		Tumor	Root object (Image)	Polygon	17225.7	19346.2	80.21	46.48	1
558114.svs	50a52ea6-ed19-4ef6-98f7-2bcbac18f023	Annotation		Tumor	Root object (Image)	Polygon	17984	3700.5	359.24	78.32	5
558114.svs	d898d0ac-139e-4d14-beef-0a129a12a146	Annotation		Tumor	Root object (Image)	Polygon	24087.7	16083.2	228.16	62.55	1
558114.svs	939749ee-a0ac-4315-b33f-ed512dfe7c84	Annotation		Tumor	Root object (Image)	Polygon	11299.7	5713.5	1718.2	NaN	20
558114.svs	4f36521b-a9bc-4fd0-961e-51896fdf7252	Annotation		Tumor	Root object (Image)	Polygon	16095.3	5974	1014.5	134.08	9
558114.svs	8475c106-2b80-4ab0-830e-4ff9a6d3de0b	Annotation		Tumor	Root object (Image)	Polygon	18742.2	12691.5	576.34	98.14	6
558114.svs	75b8dfb8-d528-4815-99d6-188e00c46258	Annotation		Tumor	Root object (Image)	Polygon	19692.7	4567.1	636.56	98.71	9
558114.svs	9ed60aa2-2263-4cff-abab-2ebcd7c0c163	Annotation		Tumor	Root object (Image)	Polygon	23483.9	8591.6	367.34	75.61	5
558114.svs	1b2fb972-e737-4b61-b187-e27c3f9da497	Annotation		Tumor	Root object (Image)	Polygon	14760.1	5185.7	418.54	79.3	4
558114.svs	ccb2a72c-b42d-41c0-b15a-7eb88e9c3b26	Annotation		Tumor	Root object (Image)	Polygon	14880.2	7060.9	273.19	65.86	3
558114.svs	daff224a-3584-4066-91a5-310c4a5de5fb	Annotation		Tumor	Root object (Image)	Polygon	14024.8	7245.2	579.01	93.29	7
558114.svs	760c4892-8947-4c91-8282-199b8c2c738e	Annotation		Tumor	Root object (Image)	Polygon	21861.1	6094.2	244.68	62.7	2
558114.svs	7d18949d-f7a7-4031-9b63-afdc63451a8d	Annotation		Tumor	Root object (Image)	Polygon	19861.2	8990.4	455.97	90.87	4
