Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm	Num Detections
558096.svs	6e45d4e9-5727-4e84-b59d-04b2295dfca0	Annotation		Tumor	Root object (Image)	Polygon	7347.7	13534.8	542.91	93.81	5
558096.svs	adba63ad-e923-4ba6-80fa-4c51aa896c65	Annotation		Tumor	Root object (Image)	Polygon	17833.6	9294.3	136.74	47.78	1
558096.svs	0bf74e40-f32a-4d87-8301-4327c74e9e4c	Annotation		Tumor	Root object (Image)	Polygon	7981.4	15091.1	181.8	59.35	1
558096.svs	688fefae-6fd5-4663-9861-17b0227647ff	Annotation		Tumor	Root object (Image)	Polygon	12029.4	2755.7	603.07	95.18	12
558096.svs	56e2a632-8922-4eb0-86f2-91b88086d46f	Annotation		Tumor	Root object (Image)	Polygon	14863.1	12793.4	1160.6	149.57	19
558096.svs	636dbc87-8406-4fad-b754-b68bd6df23ad	Annotation		Tumor	Root object (Image)	Polygon	11731.4	3271.7	1361	145.35	15
558096.svs	755ac628-9312-479c-bbc6-2efa365fd6ee	Annotation		Tumor	Root object (Image)	Polygon	10748	10171.6	940.86	119.61	7
558096.svs	587805b7-9807-4c58-a6b9-aedcf6708cd0	Annotation		Tumor	Root object (Image)	Polygon	6741.5	8055.1	243.48	61.2	2
558096.svs	f108d550-3602-43b2-abc8-fe0b28bfc889	Annotation		Tumor	Root object (Image)	Polygon	14263.6	3874.1	486	89.2	3
558096.svs	8ce74281-bcb2-4cc5-9be7-c1d1c7cb784c	Annotation		Tumor	Root object (Image)	Polygon	14645.2	3471.2	706.34	112.78	7
558096.svs	1636c591-de51-4c7d-acbc-396c1c43e3ad	Annotation		Tumor	Root object (Image)	Polygon	14910.3	12387.8	1200.9	163.82	12
558096.svs	087b763d-0c83-40f8-9c22-b171ff6caf8a	Annotation		Tumor	Root object (Image)	Polygon	11901.9	2689.8	410.28	79.28	5
558096.svs	599b5257-ab66-4a1d-bd0b-52122e9c1264	Annotation		Tumor	Root object (Image)	Polygon	3302.8	8559.1	493.31	98.95	3
558096.svs	07f0e036-f88c-45ef-a437-e4b0be4010f5	Annotation		Tumor	Root object (Image)	Polygon	12334.8	2422.9	329.66	76.77	5
558096.svs	e6b6ec77-e200-4362-90f8-b273418b2c1c	Annotation		Tumor	Root object (Image)	Polygon	5408.5	14622.5	274.08	66.12	3
558096.svs	e5aff803-de1b-4fcd-a0f4-c685750f698b	Annotation		Tumor	Root object (Image)	Polygon	11475.8	10668.1	265.75	69.28	2
558096.svs	7cea29b7-bf73-4b19-b3bd-9393fde0a434	Annotation		Tumor	Root object (Image)	Polygon	16154.3	13582.1	499.35	95.25	7
558096.svs	50bd15d1-0ab7-4748-903a-a0209805b5cd	Annotation		Tumor	Root object (Image)	Polygon	17252.6	5301	815.75	118.31	8
558096.svs	5ed042f1-0175-4f22-ab4d-489b53a8ae96	Annotation		Tumor	Root object (Image)	Polygon	9925.4	2772.7	486.51	98.58	5
558096.svs	8d62f0a0-244c-4520-bd12-aa00183599d6	Annotation		Tumor	Root object (Image)	Polygon	10226.6	2881.9	209.44	55.89	3
558096.svs	1d14134f-4438-40ff-8df1-0905de2bb950	Annotation		Tumor	Root object (Image)	Polygon	5445.3	14603.2	415.14	86.64	5
558096.svs	960fe5f7-66f5-4dca-9d17-f2b23dfb8eb5	Annotation		Tumor	Root object (Image)	Polygon	3140.3	8759.2	408.84	94	4
558096.svs	e625991b-3eef-4e78-ae15-ad3a3e954698	Annotation		Tumor	Root object (Image)	Polygon	5435.7	8111.7	926.59	140.83	11
558096.svs	3cc7813b-01e4-45e1-9381-9c9ce1e7e7a1	Annotation		Tumor	Root object (Image)	Polygon	6403.3	14260.4	1064	143.49	12
558096.svs	abedc9c0-bb12-4a13-b433-996d525466f2	Annotation		Tumor	Root object (Image)	Polygon	15212.4	3409.4	735.83	118.21	5
558096.svs	32447e51-c454-48c4-978f-db42a0465581	Annotation		Tumor	Root object (Image)	Polygon	6178.4	8220.9	285.14	69.13	3
558096.svs	419122aa-6ffc-4fc2-908c-2519d15ec477	Annotation		Tumor	Root object (Image)	Polygon	8489.5	14371.6	239.98	61.9	2
558096.svs	adf5a6e8-c0ba-4b53-b894-6c7cbbb41f1c	Annotation		Tumor	Root object (Image)	Polygon	15072.5	3427.4	748.16	117.73	4
558096.svs	915bb0dc-2eef-435c-b29b-b38112dc000f	Annotation		Tumor	Root object (Image)	Polygon	12785.1	5832.5	946.83	147.85	9
558096.svs	70cbbba9-b877-415b-8757-f3fe5609177b	Annotation		Tumor	Root object (Image)	Polygon	11169.8	2388.2	184.75	56.03	3
558096.svs	a4323184-5025-42e9-a6bc-05fc54b39c4b	Annotation		Tumor	Root object (Image)	Polygon	16491.6	4898.5	532.17	94.22	4
558096.svs	a320e49e-0d4b-4b03-b89b-c2fa58d1fdd9	Annotation		Lung tissue	Root object (Image)	Geometry	9167	12805.2	84986868.7	110883.9	1030851
558096.svs	f1f077e9-45b0-41b8-ac46-107977b4e0a9	Annotation		Tumor	Root object (Image)	Polygon	15116	4093	578.15	95.63	4
558096.svs	5607c3e2-dced-41c5-9c4a-97251d37a7e5	Annotation		Lung tissue	Root object (Image)	Geometry	14654.9	5782.7	40722965.9	43404.5	489372
558096.svs	e154f73b-6beb-43df-9c9d-01cb6013dcb0	Annotation		Tumor	Root object (Image)	Polygon	14200.9	2480.4	297.72	67.7	1
558096.svs	855065e9-37ec-4c9d-ad20-f358d74486fd	Annotation		Tumor	Root object (Image)	Polygon	9516.4	9793.9	741.68	116.24	10
558096.svs	6a7e3d72-15ac-4e22-99d4-611cd2cc5449	Annotation		Tumor	Root object (Image)	Polygon	15802.7	2988.8	546.22	97.95	8
