Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm	Num Detections
558098.svs	7ac7fd11-b3db-4b8c-a63a-8d44b4a667a5	Annotation		Tumor	Root object (Image)	Polygon	14673.8	4363.8	1845.2	196.16	24
558098.svs	7b4bb44b-6a98-4f24-94dc-9067800b7505	Annotation		Tumor	Root object (Image)	Polygon	9456.9	10360	327.5	71.96	4
558098.svs	896d07b1-5946-4d07-b249-6ac35e78b05a	Annotation		Tumor	Root object (Image)	Polygon	13126	12429.3	153.48	54.82	2
558098.svs	72400bc3-e1f0-47ce-8497-a8e5193c642f	Annotation		Tumor	Root object (Image)	Polygon	12330	7838.8	204.23	55.04	1
558098.svs	fd243b6e-d360-4287-b43c-0469af510101	Annotation		Tumor	Root object (Image)	Polygon	9912.6	15368.5	487.78	84.03	4
558098.svs	5286717f-d8fb-4d03-873b-a90fce5a9d41	Annotation		Tumor	Root object (Image)	Polygon	8261.5	18518.8	774.35	110.38	9
558098.svs	59f34548-f239-4512-8b4b-640a4022101b	Annotation		Lung tissue	Root object (Image)	Geometry	8082	13099.8	83597121.1	127256.8	1029674
558098.svs	af5225ca-9f49-480b-90e0-737e06ab533c	Annotation		Tumor	Root object (Image)	Polygon	9515.9	14790.3	468.4	91.67	7
558098.svs	4dbbdfbb-c669-4f6b-a5b8-0d9a6e9f90c4	Annotation		Tumor	Root object (Image)	Polygon	15593.1	7676.8	499.06	87.02	4
558098.svs	36f0a1cc-8922-41a1-b2bf-d06f94d24d12	Annotation		Lung tissue	Root object (Image)	Geometry	13786.9	6519.4	39767879.7	29991.4	482659
558098.svs	ead345c1-3315-4c98-8ce6-d40d127690a1	Annotation		Tumor	Root object (Image)	Polygon	7161.7	16011.9	578.35	101.84	6
558098.svs	9cb112b2-9f48-4838-b3b8-ef8a5042eae5	Annotation		Tumor	Root object (Image)	Polygon	11734.7	15302	401.22	78.94	3
558098.svs	8548a07c-bfcc-4fe8-ac54-604469a12644	Annotation		Tumor	Root object (Image)	Polygon	5917.1	17521	484.95	86.46	4
558098.svs	54f65b2e-68ed-47d2-88d7-ee5e729d8046	Annotation		Tumor	Root object (Image)	Polygon	13648.2	8363.4	339.83	NaN	1
558098.svs	79db428c-d399-4416-beba-c7ba86b62c90	Annotation		Tumor	Root object (Image)	Polygon	8665.1	17977.8	530.11	95.64	7
558098.svs	d5e87df3-3695-466f-a982-1eeeff2421bf	Annotation		Tumor	Root object (Image)	Polygon	11467.2	15078.9	313.9	73.87	3
558098.svs	84676806-ecf8-4f4f-af6a-7cd1c9e816fe	Annotation		Tumor	Root object (Image)	Polygon	10293.9	15561.5	613.9	105.64	8
558098.svs	fafeb034-4227-44a9-87fb-de4915a4c5ed	Annotation		Tumor	Root object (Image)	Polygon	7217.9	12419.1	405.25	78.68	7
558098.svs	c31a795e-5669-45f5-b049-5131215b00b0	Annotation		Tumor	Root object (Image)	Polygon	9920.9	10779.4	222.76	57.87	3
558098.svs	2f9730c4-bb85-4f43-ae2e-c88351f4fac8	Annotation		Tumor	Root object (Image)	Polygon	9709.3	11656.7	1513.2	160.28	15
558098.svs	6e9b2f71-a1d9-435a-81ea-5bc3082d5da1	Annotation		Tumor	Root object (Image)	Polygon	10310.2	13675.3	1727.4	167	14
558098.svs	4278cbbb-37bf-4d62-849e-ecd8788f8d37	Annotation		Tumor	Root object (Image)	Polygon	9434.5	13492.7	1559.7	195.74	13
558098.svs	733478c1-c64f-412f-9093-f44504c008e2	Annotation		Tumor	Root object (Image)	Polygon	10382.3	17285.1	745.33	106.81	5
558098.svs	b7ad8d43-0e2a-4ec9-9075-6db2ecdb2d63	Annotation		Tumor	Root object (Image)	Polygon	14757.4	6136.8	809.84	107.61	8
558098.svs	1543667f-d3c7-47c9-b955-5b50fb6c0f1f	Annotation		Tumor	Root object (Image)	Polygon	9471.5	15128.3	458.13	84.68	6
558098.svs	155afdb7-9cf9-43f3-8a6a-fe82dd5d0bd8	Annotation		Tumor	Root object (Image)	Polygon	7598.9	18782.7	288.16	67.6	2
558098.svs	e6f85145-6c20-48c4-a8dc-421453e1ea11	Annotation		Tumor	Root object (Image)	Polygon	15009.4	15456.4	198.26	59.62	3
558098.svs	7ebcd7d1-489e-4fcf-9d8d-0c59882b1e69	Annotation		Tumor	Root object (Image)	Polygon	6496.6	16667.2	3838.4	274.08	44
