Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm	Num Detections
558099.svs	433f7b81-9ee9-4142-aee9-46c89f056fdd	Annotation		Tumor	Root object (Image)	Polygon	14204.8	2882.3	909.53	115.93	11
558099.svs	12c3f86d-a750-41d4-bef1-a825ae6efd8f	Annotation		Tumor	Root object (Image)	Polygon	12821.2	2242	244.43	60.26	3
558099.svs	7d6eaefa-30b3-49b7-ad1a-1badfac22cf7	Annotation		Tumor	Root object (Image)	Polygon	13716.8	2316.5	393.88	74.56	2
558099.svs	411f9563-3261-4c40-afbb-3ec798c4f651	Annotation		Tumor	Root object (Image)	Polygon	6442.1	12629.9	1117.4	128.27	14
558099.svs	d468db04-e1cd-4220-973f-110bccf157f6	Annotation		Tumor	Root object (Image)	Polygon	11384.7	12593	462.9	82.21	5
558099.svs	2fbda4a9-7704-47c2-b71f-f664c4d0d584	Annotation		Tumor	Root object (Image)	Polygon	15666	10030.6	235.63	58.88	4
558099.svs	4d873220-6b5c-4875-9990-cb152d6496d7	Annotation		Tumor	Root object (Image)	Polygon	10011	12890.6	481.17	86.5	8
558099.svs	c3b81de4-38ec-4730-afea-0a94790a8734	Annotation		Tumor	Root object (Image)	Polygon	3289.3	8354.2	651.34	106.7	6
558099.svs	cdabc782-4f38-4fbb-b72d-c5aef5f370b2	Annotation		Tumor	Root object (Image)	Polygon	16755.3	8825.1	295.31	69.6	2
558099.svs	ab43dbc0-acfd-4aca-9064-c73c0133fd37	Annotation		Tumor	Root object (Image)	Polygon	11375.1	2147.7	1331.5	172.49	17
558099.svs	7951b6b0-a64c-408b-bafd-a83ddc4d9911	Annotation		Tumor	Root object (Image)	Polygon	6823.8	14200.7	552.07	91.13	4
558099.svs	89117c0c-3f77-4619-b8e1-29c981d7ed80	Annotation		Tumor	Root object (Image)	Polygon	10443.4	9767.3	454.57	80.87	3
558099.svs	d51a4d0c-9bce-4b8b-ba69-5a06f5be5cbc	Annotation		Tumor	Root object (Image)	Polygon	14097.4	3189.2	176.74	52.25	3
558099.svs	d4675b7f-936e-4f65-a3c8-ba46922572d2	Annotation		Tumor	Root object (Image)	Polygon	7393.3	13663.7	371.44	77.15	2
558099.svs	199db142-76df-4946-bc73-9430011b76b2	Annotation		Tumor	Root object (Image)	Polygon	8999	11496.3	215.7	57.47	1
558099.svs	c7f18a85-86a2-4c94-9374-6dbf4630e404	Annotation		Tumor	Root object (Image)	Polygon	11290.1	2682.4	431.57	80.23	2
558099.svs	50f8840c-f7d1-4259-85f0-91b496741668	Annotation		Tumor	Root object (Image)	Polygon	6917.9	14725.5	563.31	102.94	4
558099.svs	a91d2c6f-c39e-41d5-ba52-6ddfc84b7fec	Annotation		Tumor	Root object (Image)	Polygon	12218.4	14005.4	297.72	77.4	3
558099.svs	383fb3e6-f5e9-4622-a4ce-41391a17eea4	Annotation		Tumor	Root object (Image)	Polygon	7846.9	13323.6	907.53	120.8	9
558099.svs	3aee5c82-f5ed-4c3b-8c4b-c8a5dfdfd09c	Annotation		Lung tissue	Root object (Image)	Polygon	13792.7	5347.1	39469984.8	29608.3	475684
558099.svs	93b420dc-4dac-416a-9173-4315b03bde62	Annotation		Tumor	Root object (Image)	Polygon	11369.2	13111	1088.4	130.96	13
558099.svs	12d87da1-c93c-45b2-b4dd-de3e5c945a25	Annotation		Tumor	Root object (Image)	Polygon	6860.9	15958.9	323.43	70.74	5
558099.svs	2cbe26bf-41b6-4bd6-a5b5-1621ba21f1d8	Annotation		Tumor	Root object (Image)	Polygon	10770.9	11615.6	546.25	109.27	7
558099.svs	72229337-98f3-41b2-ba34-adb3b92fe37c	Annotation		Tumor	Root object (Image)	Polygon	13433.6	2974.4	156.22	52.23	1
558099.svs	a6df71c8-cd98-42dd-9879-ce200c4da341	Annotation		Tumor	Root object (Image)	Polygon	7364.2	13932.1	403.13	83.14	3
558099.svs	10447f70-d81d-4659-aa42-3d47dbf8a7f9	Annotation		Tumor	Root object (Image)	Polygon	4921.2	7687.4	288.89	65.8	2
558099.svs	a44a2178-a410-4c65-8340-463904d26907	Annotation		Tumor	Root object (Image)	Polygon	8131.2	9942.2	1008.4	132.32	14
558099.svs	7dfed85f-5691-4fed-b277-ff495d9d9dc1	Annotation		Tumor	Root object (Image)	Polygon	7122.2	9183.2	564.27	89.42	7
558099.svs	052fd73c-2c1c-4bfe-930c-c4e085b53e25	Annotation		Tumor	Root object (Image)	Polygon	13664.6	11283.9	2397.2	204.09	26
558099.svs	e08d8ca0-c89c-4cfd-be33-edad146f4849	Annotation		Tumor	Root object (Image)	Polygon	12113.7	12436.9	944.48	120.76	8
558099.svs	184f50c0-6e27-40a8-9c30-7f709ab3b2d9	Annotation		Tumor	Root object (Image)	Polygon	15449.9	14109.2	256.54	68.78	2
558099.svs	d39f9125-7174-4fde-9642-6fa3a48a06a9	Annotation		Tumor	Root object (Image)	Polygon	12914.6	3201.4	419.08	84.16	5
558099.svs	ea5192a4-6e94-4b5c-9bbc-22f99000b236	Annotation		Tumor	Root object (Image)	Polygon	8120.8	14933.1	314.47	68.31	3
558099.svs	1ba43525-d65c-4ef2-a858-3819c0c66e0f	Annotation		Tumor	Root object (Image)	Polygon	8890.8	17553.6	930.02	128.18	15
