r_package	consumer_path	dependency	resolved_path	status	rpm_owner
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libncurses.so.6	/app/eb/software/ncurses/6.5-GCCcore-13.3.0/lib/libncurses.so.6	resolved	file /app/eb/software/ncurses/6.5-GCCcore-13.3.0/lib/libncurses.so.6 is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libicudata.so.75	/app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicudata.so.75	resolved	file /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicudata.so.75 is not owned by any package
jsonlite	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/jsonlite/libs/jsonlite.so	libstdc++.so.6	/app/eb/software/GCCcore/13.3.0/lib64/libstdc++.so.6	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libstdc++.so.6 is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	linux-vdso.so.1		resolved	NA
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libpthread.so.0	/lib64/libpthread.so.0	resolved	glibc-2.28-251.el8_10.25.x86_64
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libR.so	/app/eb/software/R/4.4.2-gfbf-2024a/lib/R/lib/libR.so	resolved	file /app/eb/software/R/4.4.2-gfbf-2024a/lib/R/lib/libR.so is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libc.so.6	/lib64/libc.so.6	resolved	glibc-2.28-251.el8_10.25.x86_64
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	ld-linux-x86-64.so.2	/lib64/ld-linux-x86-64.so.2	resolved	glibc-2.28-251.el8_10.25.x86_64
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libflexiblas.so.3	/app/eb/software/FlexiBLAS/3.4.4-GCC-13.3.0/lib/libflexiblas.so.3	resolved	file /app/eb/software/FlexiBLAS/3.4.4-GCC-13.3.0/lib/libflexiblas.so.3 is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libgfortran.so.5	/app/eb/software/GCCcore/13.3.0/lib64/libgfortran.so.5	resolved	file /app/eb/software/GCCcore/13.3.0/lib64/libgfortran.so.5 is not owned by any package
