job_id	state	exit_code	node	outcome
19623434	FAILED	1:0	hpctpa3pc0007	packageVersion normalized hyphens to dots; verifier superseded
19623467	COMPLETED	0:0	hpctpa3pc0007	all 95 observed O2 runtime R package versions matched exact DESCRIPTION Version values
