kind	path	ldd_output
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 linux-vdso.so.1 (0x0000155555551000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libflexiblas.so.3 => /app/eb/software/FlexiBLAS/3.4.4-GCC-13.3.0/lib/libflexiblas.so.3 (0x0000155554ee2000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libgfortran.so.5 => /app/eb/software/GCCcore/13.3.0/lib64/libgfortran.so.5 (0x0000155554c0b000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libm.so.6 => /lib64/libm.so.6 (0x0000155554889000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libmvec.so.1 => /lib64/libmvec.so.1 (0x000015555465e000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libR.so => /app/eb/software/R/4.4.2-gfbf-2024a/lib/R/lib/libR.so (0x00001555541db000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libc.so.6 => /lib64/libc.so.6 (0x0000155553e04000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libdl.so.2 => /lib64/libdl.so.2 (0x0000155553c00000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libpthread.so.0 => /lib64/libpthread.so.0 (0x00001555539e0000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libquadmath.so.0 => /app/eb/software/GCCcore/13.3.0/lib64/libquadmath.so.0 (0x00001555554c3000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 /lib64/ld-linux-x86-64.so.2 (0x0000155555324000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libgcc_s.so.1 => /app/eb/software/GCCcore/13.3.0/lib64/libgcc_s.so.1 (0x000015555549d000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libreadline.so.8 => /app/eb/software/libreadline/8.2-GCCcore-13.3.0/lib/libreadline.so.8 (0x0000155555442000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libpcre2-8.so.0 => /app/eb/software/PCRE2/10.43-GCCcore-13.3.0/lib/libpcre2-8.so.0 (0x00001555553a1000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libdeflate.so.0 => /app/eb/software/libdeflate/1.20-GCCcore-13.3.0/lib/libdeflate.so.0 (0x000015555538b000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 liblzma.so.5 => /app/eb/software/XZ/5.4.5-GCCcore-13.3.0/lib/liblzma.so.5 (0x000015555535c000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libbz2.so.1.0 => /app/eb/software/bzip2/1.0.8-GCCcore-13.3.0/lib/libbz2.so.1.0 (0x00001555539ca000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libz.so.1 => /app/eb/software/zlib/1.3.1-GCCcore-13.3.0/lib/libz.so.1 (0x00001555539af000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 librt.so.1 => /lib64/librt.so.1 (0x00001555537a7000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libiconv.so.2 => /app/eb/software/libiconv/1.17-GCCcore-13.3.0/lib/libiconv.so.2 (0x00001555536c1000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libicuuc.so.75 => /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicuuc.so.75 (0x00001555534a4000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libicui18n.so.75 => /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicui18n.so.75 (0x0000155553110000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libgomp.so.1 => /app/eb/software/GCCcore/13.3.0/lib64/libgomp.so.1 (0x00001555530bd000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libncurses.so.6 => /app/eb/software/ncurses/6.5-GCCcore-13.3.0/lib/libncurses.so.6 (0x0000155553055000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libicudata.so.75 => /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicudata.so.75 (0x0000155551304000)
