db_source_id	source_id	context_key	ploidy	condition_replicate	event	biological_passage	ltee_comment_membership	classification_status	n_bundles_success	n_bundles_failed	n_bundles_unavailable	failure_reasons	cell_state	count	eligible_denominator	frequency	feature_modes	prediction_shard
SUM-159_NLS_4N_O2_A4_seed	SUM-159_NLS_4N_O2_A4_seed	SUM-159-NLS-4N	4N	O2	seeding	12	TRUE	classified_full_promoted	4	0	0		dead_cell	26	775	0.033548387	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_4N_O2_A4_seed.tsv.gz
SUM-159_NLS_4N_O2_A5_seed	SUM-159_NLS_4N_O2_A5_seed	SUM-159-NLS-4N	4N	O2	seeding	13	TRUE	classified_full_promoted	4	0	0		dead_cell	15	777	0.019305019	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_4N_O2_A5_seed.tsv.gz
SUM-159_NLS_4N_O2_A6_seed	SUM-159_NLS_4N_O2_A6_seed	SUM-159-NLS-4N	4N	O2	seeding	14	TRUE	classified_full_promoted	4	0	0		dead_cell	45	726	0.061983471	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_4N_O2_A6_seed.tsv.gz
SUM-159_NLS_4N_O2_A7_seed	SUM-159_NLS_4N_O2_A7_seed	SUM-159-NLS-4N	4N	O2	seeding	15	TRUE	classified_full_promoted	4	0	0		dead_cell	21	580	0.036206897	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_4N_O2_A7_seed.tsv.gz
SUM-159_NLS_4N_O2_A7K_seed	SUM-159_NLS_4N_O2_A7K_seed	SUM-159-NLS-4N	4N	O2	seeding	16	TRUE	classified_full_promoted	4	0	0		dead_cell	140	2150	0.065116279	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_4N_O2_A7K_seed.tsv.gz
SUM-159_NLS_4N_O2_A8_seed	SUM-159_NLS_4N_O2_A8_seed	SUM-159-NLS-4N	4N	O2	seeding	16	TRUE	classified_full_promoted	4	0	0		dead_cell	73	383	0.190600522	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_4N_O2_A8_seed.tsv.gz
SUM-159_NLS_2N_O2_A1_seedT1	SUM-159_NLS_2N_O2_A1_seedT1	SUM-159-NLS-2N	2N	O2	harvest	6	TRUE	classified_full_promoted	4	0	0		dead_cell	93	8714	0.010672481	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A1_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A10_seedT1	SUM-159_NLS_2N_O2_A10_seedT1	SUM-159-NLS-2N	2N	O2	harvest	15	TRUE	classified_full_promoted	4	0	0		dead_cell	404	3617	0.111694775	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A10_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A10_seedT2	SUM-159_NLS_2N_O2_A10_seedT2	SUM-159-NLS-2N	2N	O2	harvest	15	TRUE	classified_full_promoted	4	0	0		dead_cell	547	8370	0.065352449	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A10_seedT2.tsv.gz
SUM-159_NLS_2N_O2_A11_seedT1	SUM-159_NLS_2N_O2_A11_seedT1	SUM-159-NLS-2N	2N	O2	harvest	16	TRUE	classified_full_promoted	4	0	0		dead_cell	909	2653	0.342630984	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A11_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A11_seedT2	SUM-159_NLS_2N_O2_A11_seedT2	SUM-159-NLS-2N	2N	O2	harvest	16	TRUE	classified_full_promoted	4	0	0		dead_cell	851	7148	0.119054281	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A11_seedT2.tsv.gz
SUM-159_NLS_2N_O2_A12_seedT1	SUM-159_NLS_2N_O2_A12_seedT1	SUM-159-NLS-2N	2N	O2	harvest	17	TRUE	classified_full_promoted	4	0	0		dead_cell	243	1386	0.175324675	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A12_seedT1.tsv.gz
