observation_id	db_source_id	source_id	context_key	cohort	ploidy	lineage_id	scenario_id	condition_replicate	lineage_group	model_passage_id	model_segment_id	lineage_passage_index	landmark_after_passage_index	model_source_depth	model_oxygen_pct	model_mapping_status	observation_role	event	db_event	source_biological_passage	db_biological_passage	db_event_datetime	seed_db_id	seed_datetime	elapsed_days_since_seed	model_endpoint_day	endpoint_offset_days	abs_endpoint_offset_days	endpoint_selection_rank	selected_for_endpoint	likelihood_observation_day	within_model_time_window	include_in_current_endpoint_likelihood	include_in_future_timecourse_likelihood	exclusion_reason	cell_state	dead_count	eligible_denominator	observed_dead_fraction	classification_status	classification_partial	n_bundles_success	n_bundles_failed	n_bundles_unavailable	failure_reasons	ltee_comment_membership	feature_modes	prediction_shard	model_initial_cells	model_final_cells	db_snapshot_file	db_snapshot_server_time	db_snapshot_session_time_zone
SUM-159_NLS_2N_O1_A11_seedT2	SUM-159_NLS_2N_O1_A11_seedT2	SUM-159_NLS_2N_O1_A11_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A11_seed	2N-O1-A11	11		12	0	formal_main_chain	formal_fixed_endpoint	harvest	harvest	19	19	2025-06-04 13:46:25	SUM-159_NLS_2N_O1_A11_seed	2025-05-30 11:42:52	5.0858	5	0.0857999999999999	0.0857999999999999	1	TRUE	5	FALSE	TRUE	FALSE		dead_cell	718	7342	0.097793517	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A11_seedT2.tsv.gz	491262	5817161	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A12_seedT3	SUM-159_NLS_2N_O1_A12_seedT3	SUM-159_NLS_2N_O1_A12_seedT3	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A12_seed	2N-O1-A12	12		13	0	formal_main_chain	formal_fixed_endpoint	harvest	harvest	20	20	2025-06-13 16:09:12	SUM-159_NLS_2N_O1_A12_seed	2025-06-06 14:11:40	7.0816	7	0.0815999999999999	0.0815999999999999	1	TRUE	7	FALSE	TRUE	FALSE		dead_cell	525	5910	0.088832487	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A12_seedT3.tsv.gz	414398	8287951	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A13_seedT3	SUM-159_NLS_2N_O1_A13_seedT3	SUM-159_NLS_2N_O1_A13_seedT3	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A13_seed	2N-O1-A13	13		14	0	formal_main_chain	formal_fixed_endpoint	harvest	harvest	21	21	2025-06-20 16:30:50	SUM-159_NLS_2N_O1_A13_seed	2025-06-14 17:05:20	5.976	6	-0.024	0.024	1	TRUE	6	TRUE	TRUE	TRUE		dead_cell	891	9224	0.096595837	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A13_seedT3.tsv.gz	639420	7866870	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A14_seedT3	SUM-159_NLS_2N_O1_A14_seedT3	SUM-159_NLS_2N_O1_A14_seedT3	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A14_seed	2N-O1-A14	14		15	0	formal_main_chain	formal_fixed_endpoint	harvest	harvest	22	22	2025-07-02 15:24:24	SUM-159_NLS_2N_O1_A14_seed	2025-06-25 11:09:16	7.1772	7	0.1772	0.1772	1	TRUE	7	FALSE	TRUE	FALSE		dead_cell	882	7036	0.125355316	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A14_seedT3.tsv.gz	485692	5816047	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A15_seedT2	SUM-159_NLS_2N_O1_A15_seedT2	SUM-159_NLS_2N_O1_A15_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A15_seed	2N-O1-A15	15		16	0	formal_main_chain	formal_fixed_endpoint	harvest	harvest	23	23	2025-07-09 15:24:24	SUM-159_NLS_2N_O1_A15_seed	2025-07-05 15:27:21	3.998	4	-0.00199999999999978	0.00199999999999978	1	TRUE	4	TRUE	TRUE	TRUE		dead_cell	898	5862	0.153190038	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A15_seedT2.tsv.gz	722968	4910388	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A16_seedT4	SUM-159_NLS_2N_O1_A16_seedT4	SUM-159_NLS_2N_O1_A16_seedT4	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A16_seed	2N-O1-A16	16		17	0	formal_main_chain	formal_fixed_endpoint	harvest	harvest	24	24	2025-08-04 12:33:56	SUM-159_NLS_2N_O1_A16_seed	2025-07-26 17:20:43	8.8008	9	-0.199199999999999	0.199199999999999	1	TRUE	9	TRUE	TRUE	TRUE		dead_cell	184	6361	0.028926269	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A16_seedT4.tsv.gz	451159	8159844	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A17_seedT3	SUM-159_NLS_2N_O1_A17_seedT3	SUM-159_NLS_2N_O1_A17_seedT3	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A17_seed	2N-O1-A17	17		18	0	formal_main_chain	formal_fixed_endpoint	harvest	harvest	25	25	2025-08-13 15:31:54	SUM-159_NLS_2N_O1_A17_seed	2025-08-06 12:39:56	7.1194	7	0.1194	0.1194	1	TRUE	7	FALSE	TRUE	FALSE		dead_cell	617	8201	0.075234727	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A17_seedT3.tsv.gz	394346	7737649	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A18_seedT2	SUM-159_NLS_2N_O1_A18_seedT2	SUM-159_NLS_2N_O1_A18_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A18_seed	2N-O1-A18	18		19	0	formal_main_chain	formal_fixed_endpoint	harvest	harvest	26	26	2025-08-20 15:20:13	SUM-159_NLS_2N_O1_A18_seed	2025-08-15 13:10:08	5.0903	5	0.0903	0.0903	1	TRUE	5	FALSE	TRUE	FALSE		dead_cell	1022	11781	0.086749851	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A18_seedT2.tsv.gz	578151	10139372	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A19_seedT2	SUM-159_NLS_2N_O1_A19_seedT2	SUM-159_NLS_2N_O1_A19_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A19_seed	2N-O1-A19	19		20	0	formal_main_chain	formal_fixed_endpoint	harvest	harvest	27	27	2025-08-27 19:40:01	SUM-159_NLS_2N_O1_A19_seed	2025-08-22 12:30:34	5.2982	5	0.2982	0.2982	1	TRUE	5	FALSE	TRUE	FALSE		dead_cell	1380	13576	0.101649971	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A19_seedT2.tsv.gz	1129568	13953612	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
SUM-159_NLS_2N_O1_A20_seedT2	SUM-159_NLS_2N_O1_A20_seedT2	SUM-159_NLS_2N_O1_A20_seedT2	SUM-159-NLS-2N	2N	2N	O1	2N-O1	O1	deprived	SUM-159_NLS_2N_O1_A20_seed	2N-O1-A20	20		21	0	formal_main_chain	formal_fixed_endpoint	harvest	harvest	28	28	2025-09-03 19:40:01	SUM-159_NLS_2N_O1_A20_seed	2025-08-29 12:30:34	5.2982	5	0.2982	0.2982	1	TRUE	5	FALSE	TRUE	FALSE		dead_cell	453	6611	0.06852216	classified_full_promoted	FALSE	4	0	0		TRUE	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O1_A20_seedT2.tsv.gz	588177	5379370	cloneid_passaging_dead_cell_sources_and_parents_20260731.tsv	2026-07-31 23:26:42	UTC
