db_source_id	db_cell_line	db_event	db_biological_passage	db_event_datetime	passaged_from_id1	parent1_event	parent1_datetime	passaged_from_id2	parent2_event	parent2_datetime	elapsed_days_from_parent1	elapsed_days_from_parent2
SUM-159_NLS_2N_O2_A15_seedT2	SUM-159	harvest	20	2025-07-09 15:27:24	SUM-159_NLS_2N_O2_A15_seed	seeding	2025-07-05 15:27:24				4	
SUM-159_NLS_2N_O2_A16_seedT2	SUM-159	harvest	21	2025-07-30 15:49:08	SUM-159_NLS_2N_O2_A16_seed	seeding	2025-07-26 17:24:51				3.9335	
SUM-159_NLS_2N_O2_A16_seedT3	SUM-159	harvest	21	2025-08-01 16:32:14	SUM-159_NLS_2N_O2_A16_seed	seeding	2025-07-26 17:24:51				5.9635	
SUM-159_NLS_2N_O2_A16_seedT4	SUM-159	harvest	21	2025-08-04 12:37:31	SUM-159_NLS_2N_O2_A16_seed	seeding	2025-07-26 17:24:51				8.8005	
SUM-159_NLS_2N_O2_A17_seedT1	SUM-159	harvest	22	2025-08-08 12:37:31	SUM-159_NLS_2N_O2_A17_seed	seeding	2025-08-06 12:37:16				2.0002	
SUM-159_NLS_2N_O2_A17_seedT2	SUM-159	harvest	22	2025-08-11 12:37:31	SUM-159_NLS_2N_O2_A17_seed	seeding	2025-08-06 12:37:16				5.0002	
SUM-159_NLS_2N_O2_A17_seedT3	SUM-159	harvest	22	2025-08-13 15:37:44	SUM-159_NLS_2N_O2_A17_seed	seeding	2025-08-06 12:37:16				7.1253	
SUM-159_NLS_2N_O2_A18_seedT1	SUM-159	harvest	23	2025-08-18 12:18:09	SUM-159_NLS_2N_O2_A18_seed	seeding	2025-08-15 13:13:26				2.9616	
SUM-159_NLS_2N_O2_A18_seedT2	SUM-159	harvest	23	2025-08-20 15:28:09	SUM-159_NLS_2N_O2_A18_seed	seeding	2025-08-15 13:13:26				5.0936	
SUM-159_NLS_2N_O2_A19_seedT1	SUM-159	harvest	24	2025-08-25 12:42:36	SUM-159_NLS_2N_O2_A19_seed	seeding	2025-08-22 12:34:03				3.0059	
SUM-159_NLS_2N_O2_A19_seedT2	SUM-159	harvest	24	2025-08-27 19:42:36	SUM-159_NLS_2N_O2_A19_seed	seeding	2025-08-22 12:34:03				5.2976	
SUM-159_NLS_2N_O2_A2_seedT1	SUM-159	harvest	7	2024-11-22 15:59:44	SUM-159_NLS_2N_O2_A2_seed	seeding	2024-11-20 15:51:54				2.0054	
SUM-159_NLS_2N_O2_A2_seedT2	SUM-159	harvest	7	2024-11-25 16:02:44	SUM-159_NLS_2N_O2_A2_seed	seeding	2024-11-20 15:51:54				5.0075	
SUM-159_NLS_2N_O2_A20_seedT1	SUM-159	harvest	25	2025-09-01 11:15:03	SUM-159_NLS_2N_O2_A20_seed	seeding	2025-08-29 12:34:03				2.9451	
SUM-159_NLS_2N_O2_A20_seedT2	SUM-159	harvest	25	2025-09-03 19:42:36	SUM-159_NLS_2N_O2_A20_seed	seeding	2025-08-29 12:34:03				5.2976	
SUM-159_NLS_2N_O2_A21_seedT1	SUM-159	harvest	26	2025-09-08 16:31:12	SUM-159_NLS_2N_O2_A21_seed	seeding	2025-09-05 12:34:03				3.1647	
SUM-159_NLS_2N_O2_A21_seedT2	SUM-159	harvest	26	2025-09-10 12:35:16	SUM-159_NLS_2N_O2_A21_seed	seeding	2025-09-05 12:34:03				5.0008	
SUM-159_NLS_2N_O2_A22_seedT1	SUM-159	harvest	27	2025-09-22 15:27:41	SUM-159_NLS_2N_O2_A22_seed	seeding	2025-09-19 12:34:03				3.1206	
SUM-159_NLS_2N_O2_A23_seedT1	SUM-159	harvest	28	2025-09-26 12:36:12	SUM-159_NLS_2N_O2_A23_seed	seeding	2025-09-24 13:34:03				1.9598	
SUM-159_NLS_2N_O2_A23_seedT2	SUM-159	harvest	28	2025-09-29 12:36:12	SUM-159_NLS_2N_O2_A23_seed	seeding	2025-09-24 13:34:03				4.9598	
SUM-159_NLS_2N_O2_A24_seedT1	SUM-159	harvest	29	2025-10-03 12:36:12	SUM-159_NLS_2N_O2_A24_seed	seeding	2025-10-01 15:57:20				1.8603	
SUM-159_NLS_2N_O2_A24_seedT2	SUM-159	harvest	29	2025-10-06 12:36:12	SUM-159_NLS_2N_O2_A24_seed	seeding	2025-10-01 15:57:20				4.8603	
SUM-159_NLS_2N_O2_A3_seedT1	SUM-159	harvest	8	2024-11-29 17:43:17	SUM-159_NLS_2N_O2_A3_seed	seeding	2024-11-27 13:03:18				2.1944	
SUM-159_NLS_2N_O2_A3_seedT2	SUM-159	harvest	8	2024-12-02 12:59:22	SUM-159_NLS_2N_O2_A3_seed	seeding	2024-11-27 13:03:18				4.9973	
SUM-159_NLS_2N_O2_A4_seedT1	SUM-159	harvest	9	2024-12-06 16:55:51	SUM-159_NLS_2N_O2_A4_seed	seeding	2024-12-04 17:27:19				1.9781	
SUM-159_NLS_2N_O2_A4_seedT2	SUM-159	harvest	9	2024-12-09 14:44:30	SUM-159_NLS_2N_O2_A4_seed	seeding	2024-12-04 17:27:19				4.8869	
SUM-159_NLS_2N_O2_A5_seedT1	SUM-159	harvest	10	2024-12-13 19:07:31	SUM-159_NLS_2N_O2_A5_seed	seeding	2024-12-11 17:30:47				2.0672	
SUM-159_NLS_2N_O2_A5_seedT2	SUM-159	harvest	10	2024-12-16 16:02:19	SUM-159_NLS_2N_O2_A5_seed	seeding	2024-12-11 17:30:47				4.9386	
SUM-159_NLS_2N_O2_A6_seedT1	SUM-159	harvest	11	2024-12-20 11:58:11	SUM-159_NLS_2N_O2_A6_seed	seeding	2024-12-18 16:45:47				1.8003	
SUM-159_NLS_2N_O2_A6_seedT2	SUM-159	harvest	11	2024-12-23 13:24:56	SUM-159_NLS_2N_O2_A6_seed	seeding	2024-12-18 16:45:47				4.8605	
SUM-159_NLS_2N_O2_A7_seedT1	SUM-159	harvest	12	2024-12-27 19:29:26	SUM-159_NLS_2N_O2_A7_seed	seeding	2024-12-25 14:54:11				2.1911	
SUM-159_NLS_2N_O2_A7_seedT2	SUM-159	harvest	12	2024-12-30 16:30:14	SUM-159_NLS_2N_O2_A7_seed	seeding	2024-12-25 14:54:11				5.0667	
SUM159_NLS_2N_O2_A7K_harvest	SUM-159	harvest	13	2025-03-05 15:33:14	SUM-159_NLS_2N_O2_A7K_seed	seeding	2025-03-01 19:43:00				3.8266	
SUM-159_NLS_2N_O2_A8_seedT1	SUM-159	harvest	13	2025-05-09 18:26:14	SUM-159_NLS_2N_O2_A8_seed	seeding	2025-05-08 16:43:39				1.0712	
SUM-159_NLS_2N_O2_A8_seedT2	SUM-159	harvest	13	2025-05-12 11:46:49	SUM-159_NLS_2N_O2_A8_seed	seeding	2025-05-08 16:43:39				3.7939	
SUM-159_NLS_2N_O2_A9_seedT1	SUM-159	harvest	14	2025-05-16 16:45:47	SUM-159_NLS_2N_O2_A9_seed	seeding	2025-05-14 15:14:19				2.0635	
SUM-159_NLS_2N_O2_A9_seedT2	SUM-159	harvest	14	2025-05-19 18:05:44	SUM-159_NLS_2N_O2_A9_seed	seeding	2025-05-14 15:14:19				5.119	
SUM-159_NLS_4N_O2_A1_seedT1	SUM-159	harvest	9	2024-11-18 13:58:34	SUM-159_NLS_4N_O2_A1_seed	seeding	2024-11-15 15:54:15				2.9197	
SUM-159_NLS_4N_O2_A10_seedT1	SUM-159	harvest	18	2025-05-23 18:28:06	SUM-159_NLS_4N_O2_A10_seed	seeding	2025-05-21 11:40:06				2.2833	
SUM-159_NLS_4N_O2_A10_seedT2	SUM-159	harvest	18	2025-05-26 19:26:09	SUM-159_NLS_4N_O2_A10_seed	seeding	2025-05-21 11:40:06				5.3236	
SUM-159_NLS_4N_O2_A11_seedT1	SUM-159	harvest	19	2025-06-02 12:07:50	SUM-159_NLS_4N_O2_A11_seed	seeding	2025-05-30 16:47:02				2.8061	
SUM-159_NLS_4N_O2_A11_seedT2	SUM-159	harvest	19	2025-06-04 15:41:18	SUM-159_NLS_4N_O2_A11_seed	seeding	2025-05-30 16:47:02				4.9544	
SUM-159_NLS_4N_O2_A12_seedT1	SUM-159	harvest	20	2025-06-09 10:14:05	SUM-159_NLS_4N_O2_A12_seed	seeding	2025-06-06 14:18:35				2.8302	
SUM-159_NLS_4N_O2_A12_seedT2	SUM-159	harvest	20	2025-06-11 17:24:02	SUM-159_NLS_4N_O2_A12_seed	seeding	2025-06-06 14:18:35				5.1288	
SUM-159_NLS_4N_O2_A13_seedT1	SUM-159	harvest	21	2025-06-16 14:28:00	SUM-159_NLS_4N_O2_A13_seed	seeding	2025-06-14 17:13:40				1.885	
SUM-159_NLS_4N_O2_A14_seedT2	SUM-159	harvest	22	2025-06-25 10:54:21	SUM-159_NLS_4N_O2_A14_seed	seeding	2025-06-20 12:43:21				4.9243	
SUM-159_NLS_4N_O2_A14_seedT3	SUM-159	harvest	22	2025-06-27 11:26:00	SUM-159_NLS_4N_O2_A14_seed	seeding	2025-06-20 12:43:21				6.9463	
SUM-159_NLS_4N_O2_A14_seedT4	SUM-159	harvest	22	2025-06-30 12:37:35	SUM-159_NLS_4N_O2_A14_seed	seeding	2025-06-20 12:43:21				9.996	
SUM-159_NLS_4N_O2_A15_seedT1	SUM-159	harvest	23	2025-07-28 15:30:24	SUM-159_NLS_4N_O2_A15_seed	seeding	2025-07-25 15:32:04				2.9988	
SUM-159_NLS_4N_O2_A15_seedT2	SUM-159	harvest	23	2025-07-30 15:57:46	SUM-159_NLS_4N_O2_A15_seed	seeding	2025-07-25 15:32:04				5.0178	
SUM-159_NLS_4N_O2_A15_seedT3	SUM-159	harvest	23	2025-08-01 16:40:15	SUM-159_NLS_4N_O2_A15_seed	seeding	2025-07-25 15:32:04				7.0473	
SUM-159_NLS_4N_O2_A15_seedT4	SUM-159	harvest	23	2025-08-04 12:40:01	SUM-159_NLS_4N_O2_A15_seed	seeding	2025-07-25 15:32:04				9.8805	
SUM-159_NLS_4N_O2_A16_seedT1	SUM-159	harvest	24	2025-08-08 12:40:01	SUM-159_NLS_4N_O2_A16_seed	seeding	2025-08-06 12:34:56				2.0035	
SUM-159_NLS_4N_O2_A16_seedT2	SUM-159	harvest	24	2025-08-11 12:40:01	SUM-159_NLS_4N_O2_A16_seed	seeding	2025-08-06 12:34:56				5.0035	
SUM-159_NLS_4N_O2_A16_seedT3	SUM-159	harvest	24	2025-08-13 15:42:14	SUM-159_NLS_4N_O2_A16_seed	seeding	2025-08-06 12:34:56				7.1301	
SUM-159_NLS_4N_O2_A16_seedT4	SUM-159	harvest	24	2025-08-15 13:24:22	SUM-159_NLS_4N_O2_A16_seed	seeding	2025-08-06 12:34:56				9.0343	
SUM-159_NLS_4N_O2_A16_seedT5	SUM-159	harvest	24	2025-08-18 12:27:19	SUM-159_NLS_4N_O2_A16_seed	seeding	2025-08-06 12:34:56				11.9947	
SUM-159_NLS_4N_O2_A16_seedT6	SUM-159	harvest	24	2025-08-20 15:41:06	SUM-159_NLS_4N_O2_A16_seed	seeding	2025-08-06 12:34:56				14.1293	
SUM-159_NLS_4N_O2_A17_seedT1	SUM-159	harvest	25	2025-08-25 12:47:04	SUM-159_NLS_4N_O2_A17_seed	seeding	2025-08-22 12:42:34				3.0031	
SUM-159_NLS_4N_O2_A17_seedT2	SUM-159	harvest	25	2025-08-27 19:47:04	SUM-159_NLS_4N_O2_A17_seed	seeding	2025-08-22 12:42:34				5.2948	
SUM-159_NLS_4N_O2_A18_seedT1	SUM-159	harvest	26	2025-09-01 11:20:12	SUM-159_NLS_4N_O2_A18_seed	seeding	2025-08-29 12:42:34				2.9428	
SUM-159_NLS_4N_O2_A18_seedT2	SUM-159	harvest	26	2025-09-03 19:47:04	SUM-159_NLS_4N_O2_A18_seed	seeding	2025-08-29 12:42:34				5.2948	
SUM-159_NLS_4N_O2_A19_seedT1	SUM-159	harvest	27	2025-09-08 16:35:52	SUM-159_NLS_4N_O2_A19_seed	seeding	2025-09-05 12:42:34				3.162	
SUM-159_NLS_4N_O2_A19_seedT2	SUM-159	harvest	27	2025-09-10 12:42:56	SUM-159_NLS_4N_O2_A19_seed	seeding	2025-09-05 12:42:34				5.0003	
SUM-159_NLS_4N_O2_A2_seedT1	SUM-159	harvest	10	2024-11-22 16:09:45	SUM-159_NLS_4N_O2_A2_seed	seeding	2024-11-20 15:57:20				2.0086	
SUM-159_NLS_4N_O2_A2_seedT2	SUM-159	harvest	10	2024-11-25 16:14:53	SUM-159_NLS_4N_O2_A2_seed	seeding	2024-11-20 15:57:20				5.0122	
SUM-159_NLS_4N_O2_A20_seedT1	SUM-159	harvest	28	2025-09-22 15:38:24	SUM-159_NLS_4N_O2_A20_seed	seeding	2025-09-19 12:42:34				3.1221	
SUM-159_NLS_4N_O2_A21_seedT1	SUM-159	harvest	29	2025-09-26 12:41:58	SUM-159_NLS_4N_O2_A21_seed	seeding	2025-09-24 13:42:34				1.9579	
SUM-159_NLS_4N_O2_A21_seedT2	SUM-159	harvest	29	2025-09-29 12:41:58	SUM-159_NLS_4N_O2_A21_seed	seeding	2025-09-24 13:42:34				4.9579	
SUM-159_NLS_4N_O2_A22_seedT1	SUM-159	harvest	30	2025-10-03 12:41:58	SUM-159_NLS_4N_O2_A22_seed	seeding	2025-10-01 16:00:38				1.862	
SUM-159_NLS_4N_O2_A22_seedT2	SUM-159	harvest	30	2025-10-06 12:41:58	SUM-159_NLS_4N_O2_A22_seed	seeding	2025-10-01 16:00:38				4.862	
SUM-159_NLS_4N_O2_A3_seedT1	SUM-159	harvest	11	2024-11-29 17:53:48	SUM-159_NLS_4N_O2_A3_seed	seeding	2024-11-27 13:09:18				2.1976	
SUM-159_NLS_4N_O2_A3_seedT2	SUM-159	harvest	11	2024-12-02 13:44:18	SUM-159_NLS_4N_O2_A3_seed	seeding	2024-11-27 13:09:18				5.0243	
SUM-159_NLS_4N_O2_A4_seedT1	SUM-159	harvest	12	2024-12-06 17:02:54	SUM-159_NLS_4N_O2_A4_seed	seeding	2024-12-04 17:31:05				1.9804	
SUM-159_NLS_4N_O2_A4_seedT2	SUM-159	harvest	12	2024-12-09 14:54:57	SUM-159_NLS_4N_O2_A4_seed	seeding	2024-12-04 17:31:05				4.8916	
SUM-159_NLS_4N_O2_A5_seedT1	SUM-159	harvest	13	2024-12-13 19:32:09	SUM-159_NLS_4N_O2_A5_seed	seeding	2024-12-11 17:35:19				2.0811	
SUM-159_NLS_4N_O2_A5_seedT2	SUM-159	harvest	13	2024-12-16 16:12:48	SUM-159_NLS_4N_O2_A5_seed	seeding	2024-12-11 17:35:19				4.9427	
SUM-159_NLS_4N_O2_A6_seedT1	SUM-159	harvest	14	2024-12-20 12:06:31	SUM-159_NLS_4N_O2_A6_seed	seeding	2024-12-18 16:49:23				1.8036	
SUM-159_NLS_4N_O2_A6_seedT2	SUM-159	harvest	14	2024-12-23 13:32:55	SUM-159_NLS_4N_O2_A6_seed	seeding	2024-12-18 16:49:23				4.8636	
SUM-159_NLS_4N_O2_A7_seedT1	SUM-159	harvest	15	2024-12-27 19:37:53	SUM-159_NLS_4N_O2_A7_seed	seeding	2024-12-25 15:01:30				2.1919	
SUM-159_NLS_4N_O2_A7_seedT2	SUM-159	harvest	15	2024-12-30 16:39:46	SUM-159_NLS_4N_O2_A7_seed	seeding	2024-12-25 15:01:30				5.0682	
SUM159_NLS_4N_O2_A7K_harvest	SUM-159	harvest	16	2025-03-05 15:49:12	SUM-159_NLS_4N_O2_A7K_seed	seeding	2025-03-01 21:26:31				3.7658	
SUM-159_NLS_4N_O2_A8_seedT1	SUM-159	harvest	16	2025-05-09 18:31:10	SUM-159_NLS_4N_O2_A8_seed	seeding	2025-05-08 16:46:41				1.0726	
SUM-159_NLS_4N_O2_A8_seedT2	SUM-159	harvest	16	2025-05-12 11:58:02	SUM-159_NLS_4N_O2_A8_seed	seeding	2025-05-08 16:46:41				3.7995	
SUM-159_NLS_4N_O2_A9_seedT1	SUM-159	harvest	17	2025-05-16 16:51:38	SUM-159_NLS_4N_O2_A9_seed	seeding	2025-05-14 15:17:47				2.0652	
SUM-159_NLS_4N_O2_A9_seedT2	SUM-159	harvest	17	2025-05-19 18:16:36	SUM-159_NLS_4N_O2_A9_seed	seeding	2025-05-14 15:17:47				5.1242	
SUM-159_NLS_2N_O1_A1_seed	SUM-159	seeding	9	2024-11-15 15:51:50	SUM-159_NLS_2N_dp_seedT1	harvest	2024-11-15 14:38:21				0.051	
SUM-159_NLS_4N_O1_A1_seed	SUM-159	seeding	6	2024-11-15 15:42:40	SUM-159_NLS_4N_dp_seedT1	harvest	2024-11-15 14:44:33				0.0404	
SUM-159_NLS_2N_O1_A14_seedT1	SUM-159	harvest	22	2025-06-27 11:14:40	SUM-159_NLS_2N_O1_A14_seed	seeding	2025-06-25 11:09:16				2.0038	
SUM-159_NLS_4N_O1_A11_seedT1	SUM-159	harvest	16	2025-06-02 12:03:22	SUM-159_NLS_4N_O1_A11_seed	seeding	2025-05-30 16:45:27				2.8041	
SUM-159_NLS_4N_O1_A21_seedT2	SUM-159	harvest	26	2025-09-29 12:39:02	SUM-159_NLS_4N_O1_A21_seed	seeding	2025-09-24 13:38:04				4.959	
SUM-159_NLS_2N_O1_A2_seed	SUM-159	seeding	10	2024-11-20 15:48:35	SUM-159_NLS_2N_O1_A1_seedT1	harvest	2024-11-18 13:37:16				2.0912	
SUM-159_NLS_2N_O1_A3_seed	SUM-159	seeding	11	2024-11-27 12:59:46	SUM-159_NLS_2N_O1_A2_seedT2	harvest	2024-11-25 15:57:03				1.8769	
SUM-159_NLS_2N_O1_A4_seed	SUM-159	seeding	12	2024-12-04 17:24:02	SUM-159_NLS_2N_O1_A3_seedT2	harvest	2024-12-02 12:49:44				2.1905	
SUM-159_NLS_2N_O1_A5_seed	SUM-159	seeding	13	2024-12-11 17:25:58	SUM-159_NLS_2N_O1_A4_seedT2	harvest	2024-12-09 14:37:49				2.1168	
SUM-159_NLS_2N_O1_A6_seed	SUM-159	seeding	14	2024-12-18 16:42:34	SUM-159_NLS_2N_O1_A5_seedT2	harvest	2024-12-16 15:52:45				2.0346	
SUM-159_NLS_2N_O1_A7_seed	SUM-159	seeding	15	2024-12-25 14:50:08	SUM-159_NLS_2N_O1_A6_seedT2	harvest	2024-12-23 13:18:01				2.064	
SUM-159_NLS_2N_O1_A7K_seed	SUM-159	seeding	16	2025-03-01 19:37:35	SUM-159_NLS_2N_O1_A7_seedT2	harvest	2024-12-30 16:22:28				61.1355	
SUM-159_NLS_2N_O1_A8_seed	SUM-159	seeding	16	2025-05-08 16:40:31	SUM-159_NLS_2N_O1_A7_seedT2	harvest	2024-12-30 16:22:28				129.0125	
SUM-159_NLS_4N_O1_A2_seed	SUM-159	seeding	7	2024-11-20 15:55:32	SUM-159_NLS_4N_O1_A1_seedT1	harvest	2024-11-18 13:52:45				2.0853	
SUM-159_NLS_4N_O1_A3_seed	SUM-159	seeding	8	2024-11-27 13:06:22	SUM-159_NLS_4N_O1_A2_seedT2	harvest	2024-11-25 16:09:58				1.8725	
SUM-159_NLS_4N_O1_A4_seed	SUM-159	seeding	9	2024-12-04 17:29:07	SUM-159_NLS_4N_O1_A3_seedT2	harvest	2024-12-02 13:05:28				2.1831	
SUM-159_NLS_4N_O1_A5_seed	SUM-159	seeding	10	2024-12-11 17:32:59	SUM-159_NLS_4N_O1_A4_seedT2	harvest	2024-12-09 14:49:29				2.1135	
SUM-159_NLS_4N_O1_A6_seed	SUM-159	seeding	11	2024-12-18 16:47:36	SUM-159_NLS_4N_O1_A5_seedT2	harvest	2024-12-16 16:07:13				2.028	
SUM-159_NLS_4N_O1_A7_seed	SUM-159	seeding	12	2024-12-25 14:56:04	SUM-159_NLS_4N_O1_A6_seedT2	harvest	2024-12-23 13:28:36				2.0607	
SUM-159_NLS_4N_O1_A7K_seed	SUM-159	seeding	13	2025-03-01 19:47:22	SUM-159_NLS_4N_O1_A7_seedT2	harvest	2024-12-30 16:34:38				61.1338	
SUM-159_NLS_4N_O1_A8_seed	SUM-159	seeding	13	2025-05-08 16:45:14	SUM-159_NLS_4N_O1_A7_seedT2	harvest	2024-12-30 16:34:38				129.0074	
SUM-159_NLS_2N_O1_A1_seedT1	SUM-159	harvest	9	2024-11-18 13:37:16	SUM-159_NLS_2N_O1_A1_seed	seeding	2024-11-15 15:51:50				2.9066	
SUM-159_NLS_2N_O1_A10_seedT1	SUM-159	harvest	18	2025-05-26 19:11:35	SUM-159_NLS_2N_O1_A10_seed	seeding	2025-05-23 18:31:49				3.0276	
SUM-159_NLS_2N_O1_A10_seedT2	SUM-159	harvest	18	2025-05-28 16:53:19	SUM-159_NLS_2N_O1_A10_seed	seeding	2025-05-23 18:31:49				4.9316	
SUM-159_NLS_2N_O1_A11_seedT1	SUM-159	harvest	19	2025-06-02 11:55:39	SUM-159_NLS_2N_O1_A11_seed	seeding	2025-05-30 11:42:52				3.0089	
SUM-159_NLS_2N_O1_A11_seedT2	SUM-159	harvest	19	2025-06-04 13:46:25	SUM-159_NLS_2N_O1_A11_seed	seeding	2025-05-30 11:42:52				5.0858	
SUM-159_NLS_2N_O1_A12_seedT1	SUM-159	harvest	20	2025-06-09 10:03:04	SUM-159_NLS_2N_O1_A12_seed	seeding	2025-06-06 14:11:40				2.8274	
