distribution	version	location	requires	top_level_modules
pip	20.2.4	/usr/lib/python3.9/site-packages		pip
setuptools	50.3.2	/usr/lib/python3.9/site-packages		_distutils_hack;easy_install;pkg_resources;setuptools
