parameter,center_name,delta_name,invitro_name,transform,projection_applied,projection_action,feasible_before_projection,feasible_after_projection,center_raw_transformed,delta_raw_transformed,vivo_raw_transformed,vitro_raw_transformed,center_transformed,delta_transformed,vivo_transformed,vitro_transformed,center_raw_natural,vivo_raw_natural,vitro_raw_natural,center_projected_natural,vivo_projected_natural,vitro_projected_natural,joint_union_lower_transformed,joint_union_upper_transformed,joint_union_lower_bound,joint_union_upper_bound,delta_dynamic_lower_transformed,delta_dynamic_upper_transformed,pair,seed,objective,rank,ratio_vivo_to_vitro
p_mis_base,log10_p_mis_base,delta__log10_p_mis_base,log10_p_mis_base,log10,False,none,True,True,-5.12551633613395,0.802407855714406,-4.72431240827675,-5.52672026399116,-5.12551633613395,0.802407855714406,-4.72431240827675,-5.52672026399116,7.49003183972546e-06,1.88663371722364e-05,2.97358074585132e-06,7.49003183972546e-06,1.88663371722364e-05,2.97358074585132e-06,-6.0,-1.0,1e-06,0.1,-1.74896732773209,1.74896732773209,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732,1,6.344652721658336
p_wgd,log10_p_wgd,delta__log10_p_wgd,log10_p_wgd,log10,False,none,True,True,-3.50235331386671,-0.0174139084602306,-3.51106026809683,-3.4936463596366,-3.50235331386671,-0.0174139084602306,-3.51106026809683,-3.4936463596366,0.0003145188551282,0.0003082760118478,0.0003208881211296,0.0003145188551282,0.0003082760118478,0.0003208881211296,-5.0,-3.0,1e-05,0.001,-1.00470662773343,1.00470662773343,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732,1,0.9606962413024125
gamma_mu,gamma_mu,delta__gamma_mu,gamma_mu,identity,False,none,True,True,2.09518838421971,1.54381625125047,2.86709650984494,1.32328025859447,2.09518838421971,1.54381625125047,2.86709650984494,1.32328025859447,2.09518838421971,2.86709650984494,1.32328025859447,2.09518838421971,2.86709650984494,1.32328025859447,1.2,3.5,1.2,3.5,-1.79037676843942,1.79037676843942,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732,1,2.1666585677702495
O2_crit,log10_O2_crit,delta__log10_O2_crit,log10_O2_crit,log10_nonnegative,False,none,True,True,-0.161726182282671,-0.707839637125871,-0.515646000845606,0.192193636280265,-0.161726182282671,-0.707839637125871,-0.515646000845606,0.192193636280265,0.689086620666314,0.305038038179295,1.5566595353666,0.689086620666314,0.305038038179295,1.5566595353666,-4.0,0.397940008672038,0.0001,2.5,-1.11933238190942,1.11933238190942,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,20.0088357367508,2,0.1959568108818716
mu_hp,log10_mu_hp,delta__log10_mu_hp,log10_mu_hp,log10,False,none,True,True,-1.54656298245412,1.50893402641973,-0.79209596924425,-2.30102999566398,-1.54656298245412,1.50893402641973,-0.79209596924425,-2.30102999566398,0.0284077617875923,0.161400185956118,0.005,0.0284077617875923,0.161400185956118,0.005,-2.30102999566398,-0.522878745280338,0.005,0.3,-1.50893402641973,1.50893402641973,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,20.0088357367508,2,32.2800371912236
p_misseg,log10_p_misseg,delta__log10_p_misseg,log10_p_misseg,log10,False,none,True,True,-1.13881643036999,1.67557286941202,-0.301029995663981,-1.976602865076,-1.13881643036999,1.67557286941202,-0.301029995663981,-1.976602865076,0.072641293618232,0.5,0.0105535150770604,0.072641293618232,0.5,0.0105535150770604,-2.30102999566398,-0.301029995663981,0.005,0.5,-1.67557286941202,1.67557286941202,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,20.0088357367508,2,47.37757954094582
k_o_mis,log10_k_o_mis,delta__log10_k_o_mis,log10_k_o_mis,log10,False,none,True,True,-3.28161315880086,1.33139593453867,-2.61591519153153,-3.9473111260702,-3.28161315880086,1.33139593453867,-2.61591519153153,-3.9473111260702,0.0005228617127511,0.0024215018683425,0.0001128986825222,0.0005228617127511,0.0024215018683425,0.0001128986825222,-5.0,-1.69897000433602,1e-05,0.02,-3.16528630892969,3.16528630892969,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,20.0088357367508,2,21.448451073521998
buffer_smax,buffer_smax,delta__buffer_smax,buffer_smax,identity,False,none,True,True,0.997390253792811,-0.005219492414379,0.994780507585621,1.0,0.997390253792811,-0.005219492414379,0.994780507585621,1.0,0.997390253792811,0.994780507585621,1.0,0.997390253792811,0.994780507585621,1.0,0.0,1.0,0.0,1.0,-0.0052194924143789,0.0052194924143789,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,20.0088357367508,2,0.994780507585621
buffer_beta,log10_buffer_beta,delta__log10_buffer_beta,log10_buffer_beta,log10,False,none,True,True,-0.575886287278859,-1.55518405233534,-1.35347831344653,0.201705738888809,-0.575886287278859,-1.55518405233534,-1.35347831344653,0.201705738888809,0.265530071689194,0.0443120341210791,1.59113027351929,0.265530071689194,0.0443120341210791,1.59113027351929,-2.0,1.0,0.01,10.0,-2.84822742544228,2.84822742544228,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,20.0088357367508,2,0.02784940671329756
buffer_n_exp,log10_buffer_n_exp,delta__log10_buffer_n_exp,log10_buffer_n_exp,log10,False,none,True,True,-0.0657285004210214,-1.13016190617906,-0.630809453510549,0.499352452668507,-0.0657285004210214,-1.13016190617906,-0.630809453510549,0.499352452668507,0.859550702459219,0.233986362749007,3.15756611375965,0.859550702459219,0.233986362749007,3.15756611375965,-1.0,1.0,0.1,10.0,-1.86854299915796,1.86854299915796,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,20.0088357367508,2,0.07410339303090765
