parameter,center_name,delta_name,invitro_name,transform,projection_applied,projection_action,feasible_before_projection,feasible_after_projection,center_raw_transformed,delta_raw_transformed,vivo_raw_transformed,vitro_raw_transformed,center_transformed,delta_transformed,vivo_transformed,vitro_transformed,center_raw_natural,vivo_raw_natural,vitro_raw_natural,center_projected_natural,vivo_projected_natural,vitro_projected_natural,joint_union_lower_transformed,joint_union_upper_transformed,joint_union_lower_bound,joint_union_upper_bound,delta_dynamic_lower_transformed,delta_dynamic_upper_transformed,pair,seed,objective,rank,ratio_vivo_to_vitro
p_misseg,log10_p_misseg,delta__log10_p_misseg,log10_p_misseg,log10,False,none,True,True,-1.35295557556725,1.24729457901751,-0.729308286058489,-1.976602865076,-1.35295557556725,1.24729457901751,-0.729308286058489,-1.976602865076,0.0443654023440395,0.186505530221572,0.0105535150770604,0.0443654023440395,0.186505530221572,0.0105535150770604,-2.30102999566398,-0.301029995663981,0.005,0.5,-1.89614884019347,1.89614884019347,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed26,18.97270458352,4,17.672361185797605
k_o_mis,log10_k_o_mis,delta__log10_k_o_mis,log10_k_o_mis,log10,False,none,True,True,-3.25441704197678,1.38578816818685,-2.56152295788335,-3.9473111260702,-3.25441704197678,1.38578816818685,-2.56152295788335,-3.9473111260702,0.0005566509544039,0.0027445872539549,0.0001128986825222,0.0005566509544039,0.0027445872539549,0.0001128986825222,-5.0,-1.69897000433602,1e-05,0.02,-3.11089407528151,3.11089407528151,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed26,18.97270458352,4,24.31017964638528
buffer_smax,buffer_smax,delta__buffer_smax,buffer_smax,identity,False,none,True,True,0.956917896997365,-0.08616420600527,0.91383579399473,1.0,0.956917896997365,-0.08616420600527,0.91383579399473,1.0,0.956917896997365,0.91383579399473,1.0,0.956917896997365,0.91383579399473,1.0,0.0,1.0,0.0,1.0,-0.0861642060052699,0.0861642060052699,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed26,18.97270458352,4,0.91383579399473
buffer_beta,log10_buffer_beta,delta__log10_buffer_beta,log10_buffer_beta,log10,False,none,True,True,-0.220797648094854,-0.845006773967325,-0.643301035078516,0.201705738888809,-0.220797648094854,-0.845006773967325,-0.643301035078516,0.201705738888809,0.601453909119356,0.227352097320628,1.59113027351929,0.601453909119356,0.227352097320628,1.59113027351929,-2.0,1.0,0.01,10.0,-2.44159529618971,2.44159529618971,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed26,18.97270458352,4,0.14288716713168093
buffer_n_exp,log10_buffer_n_exp,delta__log10_buffer_n_exp,log10_buffer_n_exp,log10,False,none,True,True,0.749676226334253,0.500647547331493,1.0,0.499352452668507,0.749676226334253,0.500647547331493,1.0,0.499352452668507,5.61922246735227,10.0,3.15756611375965,5.61922246735227,10.0,3.15756611375965,-1.0,1.0,0.1,10.0,-0.500647547331493,0.500647547331493,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed26,18.97270458352,4,3.1669962368874054
n_O,n_O,delta__n_O,n_O,identity,False,none,True,True,1.7660910707821,-0.20496752576579,1.6636073078992,1.86857483366499,1.7660910707821,-0.20496752576579,1.6636073078992,1.86857483366499,1.7660910707821,1.6636073078992,1.86857483366499,1.7660910707821,1.6636073078992,1.86857483366499,0.0001,5.0,0.0001,5.0,-3.53198214156419,3.53198214156419,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed26,18.97270458352,4,0.8903080989463128
alpha_o2,log10_alpha_o2,delta__log10_alpha_o2,log10_alpha_o2,log10,False,none,True,True,-0.030193144725519,0.541673701876924,0.240643706212943,-0.301029995663981,-0.030193144725519,0.541673701876924,0.240643706212943,-0.301029995663981,0.932839344869547,1.74037848667329,0.5,0.932839344869547,1.74037848667329,0.5,-0.301029995663981,0.602059991327962,0.5,4.0,-0.541673701876924,0.541673701876924,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed26,18.97270458352,4,3.48075697334658
gamma_growth,gamma_growth,delta__gamma_growth,gamma_growth,identity,False,none,True,True,2.18118606535816,1.36237213071632,2.86237213071632,1.5,2.18118606535816,1.36237213071632,2.86237213071632,1.5,2.18118606535816,2.86237213071632,1.5,2.18118606535816,2.86237213071632,1.5,1.5,4.5,1.5,4.5,-1.36237213071632,1.36237213071632,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed26,18.97270458352,4,1.9082480871442133
lam_max,log10_lam_max,delta__log10_lam_max,log10_lam_max,log10,False,none,True,True,-0.246052675587283,-0.75181703914051,-0.621961195157538,0.129855843982972,-0.246052675587283,-0.75181703914051,-0.621961195157538,0.129855843982972,0.567475772085329,0.238802464684995,1.3485151936293,0.567475772085329,0.238802464684995,1.3485151936293,-2.30102999566398,0.176091259055681,0.005,1.5,-0.844287869285929,0.844287869285929,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed26,18.97270458352,4,0.1770854832137995
p_mis_base,log10_p_mis_base,delta__log10_p_mis_base,log10_p_mis_base,log10,False,none,True,True,-4.18677077431139,1.76335792248655,-3.30509181306811,-5.06844973555466,-4.18677077431139,1.76335792248655,-3.30509181306811,-5.06844973555466,6.50472926944133e-05,0.0004953454600379,8.54181703118544e-06,6.50472926944133e-05,0.0004953454600379,8.54181703118544e-06,-6.0,-1.0,1e-06,0.1,-3.62645845137723,3.62645845137723,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed26,18.97270458352,4,57.99064276715789
p_wgd,log10_p_wgd,delta__log10_p_wgd,log10_p_wgd,log10,False,none,True,True,-4.19319261129693,-1.42658002022422,-4.90648262140905,-3.47990260118482,-4.19319261129693,-1.42658002022422,-4.90648262140905,-3.47990260118482,6.40925260688811e-05,1.24027325450911e-05,0.0003312053922759,6.40925260688811e-05,1.24027325450911e-05,0.0003312053922759,-5.0,-3.0,1e-05,0.001,-1.61361477740613,1.61361477740613,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed26,18.97270458352,4,0.03744725428491636
gamma_mu,gamma_mu,delta__gamma_mu,gamma_mu,identity,False,none,True,True,1.9393617447558,1.4787234895116,2.6787234895116,1.2,1.9393617447558,1.4787234895116,2.6787234895116,1.2,1.9393617447558,2.6787234895116,1.2,1.9393617447558,2.6787234895116,1.2,1.2,3.5,1.2,3.5,-1.4787234895116,1.4787234895116,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed26,18.97270458352,4,2.232269574593
O2_crit,log10_O2_crit,delta__log10_O2_crit,log10_O2_crit,log10_nonnegative,False,none,True,True,-0.286184924288447,-0.973089455487817,-0.772729652032355,0.200359803455462,-0.286184924288447,-0.973089455487817,-0.772729652032355,0.200359803455462,0.517386479854448,0.168760323014007,1.58620678578554,0.517386479854448,0.168760323014007,1.58620678578554,-4.0,0.397940008672038,0.0001,2.5,-1.36824986592097,1.36824986592097,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed98,18.9727620578699,5,0.10639238498178
mu_hp,log10_mu_hp,delta__log10_mu_hp,log10_mu_hp,log10,False,none,True,True,-1.8015332567769,0.998993477774163,-1.30203651788982,-2.30102999566398,-1.8015332567769,0.998993477774163,-1.30203651788982,-2.30102999566398,0.0157930766516176,0.0498842540247737,0.005,0.0157930766516176,0.0498842540247737,0.005,-2.30102999566398,-0.522878745280338,0.005,0.3,-0.998993477774163,0.998993477774163,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed98,18.9727620578699,5,9.97685080495474
p_misseg,log10_p_misseg,delta__log10_p_misseg,log10_p_misseg,log10,False,none,True,True,-1.35295557556725,1.24729457901751,-0.729308286058489,-1.976602865076,-1.35295557556725,1.24729457901751,-0.729308286058489,-1.976602865076,0.0443654023440395,0.186505530221572,0.0105535150770604,0.0443654023440395,0.186505530221572,0.0105535150770604,-2.30102999566398,-0.301029995663981,0.005,0.5,-1.89614884019347,1.89614884019347,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed98,18.9727620578699,5,17.672361185797605
k_o_mis,log10_k_o_mis,delta__log10_k_o_mis,log10_k_o_mis,log10,False,none,True,True,-3.25441704197678,1.38578816818685,-2.56152295788335,-3.9473111260702,-3.25441704197678,1.38578816818685,-2.56152295788335,-3.9473111260702,0.0005566509544039,0.0027445872539549,0.0001128986825222,0.0005566509544039,0.0027445872539549,0.0001128986825222,-5.0,-1.69897000433602,1e-05,0.02,-3.11089407528151,3.11089407528151,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed98,18.9727620578699,5,24.31017964638528
buffer_smax,buffer_smax,delta__buffer_smax,buffer_smax,identity,False,none,True,True,0.956917896997365,-0.08616420600527,0.91383579399473,1.0,0.956917896997365,-0.08616420600527,0.91383579399473,1.0,0.956917896997365,0.91383579399473,1.0,0.956917896997365,0.91383579399473,1.0,0.0,1.0,0.0,1.0,-0.0861642060052699,0.0861642060052699,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed98,18.9727620578699,5,0.91383579399473
buffer_beta,log10_buffer_beta,delta__log10_buffer_beta,log10_buffer_beta,log10,False,none,True,True,-0.220797648094854,-0.845006773967325,-0.643301035078516,0.201705738888809,-0.220797648094854,-0.845006773967325,-0.643301035078516,0.201705738888809,0.601453909119356,0.227352097320628,1.59113027351929,0.601453909119356,0.227352097320628,1.59113027351929,-2.0,1.0,0.01,10.0,-2.44159529618971,2.44159529618971,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed98,18.9727620578699,5,0.14288716713168093
buffer_n_exp,log10_buffer_n_exp,delta__log10_buffer_n_exp,log10_buffer_n_exp,log10,False,none,True,True,0.749676226334253,0.500647547331493,1.0,0.499352452668507,0.749676226334253,0.500647547331493,1.0,0.499352452668507,5.61922246735227,10.0,3.15756611375965,5.61922246735227,10.0,3.15756611375965,-1.0,1.0,0.1,10.0,-0.500647547331493,0.500647547331493,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed98,18.9727620578699,5,3.1669962368874054
n_O,n_O,delta__n_O,n_O,identity,False,none,True,True,1.7660910707821,-0.20496752576579,1.6636073078992,1.86857483366499,1.7660910707821,-0.20496752576579,1.6636073078992,1.86857483366499,1.7660910707821,1.6636073078992,1.86857483366499,1.7660910707821,1.6636073078992,1.86857483366499,0.0001,5.0,0.0001,5.0,-3.53198214156419,3.53198214156419,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed98,18.9727620578699,5,0.8903080989463128
alpha_o2,log10_alpha_o2,delta__log10_alpha_o2,log10_alpha_o2,log10,False,none,True,True,-0.030193144725519,0.541673701876924,0.240643706212943,-0.301029995663981,-0.030193144725519,0.541673701876924,0.240643706212943,-0.301029995663981,0.932839344869547,1.74037848667329,0.5,0.932839344869547,1.74037848667329,0.5,-0.301029995663981,0.602059991327962,0.5,4.0,-0.541673701876924,0.541673701876924,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed98,18.9727620578699,5,3.48075697334658
gamma_growth,gamma_growth,delta__gamma_growth,gamma_growth,identity,False,none,True,True,2.18118606535816,1.36237213071632,2.86237213071632,1.5,2.18118606535816,1.36237213071632,2.86237213071632,1.5,2.18118606535816,2.86237213071632,1.5,2.18118606535816,2.86237213071632,1.5,1.5,4.5,1.5,4.5,-1.36237213071632,1.36237213071632,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed98,18.9727620578699,5,1.9082480871442133
lam_max,log10_lam_max,delta__log10_lam_max,log10_lam_max,log10,False,none,True,True,-0.246634321064353,-0.75181703914051,-0.622542840634608,0.129274198505902,-0.246634321064353,-0.75181703914051,-0.622542840634608,0.129274198505902,0.566716267188705,0.238482853434302,1.34671035200766,0.566716267188705,0.238482853434302,1.34671035200766,-2.30102999566398,0.176091259055681,0.005,1.5,-0.845451160240068,0.845451160240068,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed98,18.9727620578699,5,0.17708548321379913
p_mis_base,log10_p_mis_base,delta__log10_p_mis_base,log10_p_mis_base,log10,False,none,True,True,-4.18677077431139,1.76335792248655,-3.30509181306811,-5.06844973555466,-4.18677077431139,1.76335792248655,-3.30509181306811,-5.06844973555466,6.50472926944133e-05,0.0004953454600379,8.54181703118544e-06,6.50472926944133e-05,0.0004953454600379,8.54181703118544e-06,-6.0,-1.0,1e-06,0.1,-3.62645845137723,3.62645845137723,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed98,18.9727620578699,5,57.99064276715789
p_wgd,log10_p_wgd,delta__log10_p_wgd,log10_p_wgd,log10,False,none,True,True,-4.19319261129693,-1.42658002022422,-4.90648262140905,-3.47990260118482,-4.19319261129693,-1.42658002022422,-4.90648262140905,-3.47990260118482,6.40925260688811e-05,1.24027325450911e-05,0.0003312053922759,6.40925260688811e-05,1.24027325450911e-05,0.0003312053922759,-5.0,-3.0,1e-05,0.001,-1.61361477740613,1.61361477740613,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed98,18.9727620578699,5,0.03744725428491636
gamma_mu,gamma_mu,delta__gamma_mu,gamma_mu,identity,False,none,True,True,1.9393617447558,1.4787234895116,2.6787234895116,1.2,1.9393617447558,1.4787234895116,2.6787234895116,1.2,1.9393617447558,2.6787234895116,1.2,1.9393617447558,2.6787234895116,1.2,1.2,3.5,1.2,3.5,-1.4787234895116,1.4787234895116,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed98,18.9727620578699,5,2.232269574593
O2_crit,log10_O2_crit,delta__log10_O2_crit,log10_O2_crit,log10_nonnegative,False,none,True,True,-0.286184924288447,-0.973089455487817,-0.772729652032355,0.200359803455462,-0.286184924288447,-0.973089455487817,-0.772729652032355,0.200359803455462,0.517386479854448,0.168760323014007,1.58620678578554,0.517386479854448,0.168760323014007,1.58620678578554,-4.0,0.397940008672038,0.0001,2.5,-1.36824986592097,1.36824986592097,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed291,18.9727901150504,6,0.10639238498178
mu_hp,log10_mu_hp,delta__log10_mu_hp,log10_mu_hp,log10,False,none,True,True,-1.8015332567769,0.998993477774163,-1.30203651788982,-2.30102999566398,-1.8015332567769,0.998993477774163,-1.30203651788982,-2.30102999566398,0.0157930766516176,0.0498842540247737,0.005,0.0157930766516176,0.0498842540247737,0.005,-2.30102999566398,-0.522878745280338,0.005,0.3,-0.998993477774163,0.998993477774163,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed291,18.9727901150504,6,9.97685080495474
p_misseg,log10_p_misseg,delta__log10_p_misseg,log10_p_misseg,log10,False,none,True,True,-1.35295557556725,1.24729457901751,-0.729308286058489,-1.976602865076,-1.35295557556725,1.24729457901751,-0.729308286058489,-1.976602865076,0.0443654023440395,0.186505530221572,0.0105535150770604,0.0443654023440395,0.186505530221572,0.0105535150770604,-2.30102999566398,-0.301029995663981,0.005,0.5,-1.89614884019347,1.89614884019347,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed291,18.9727901150504,6,17.672361185797605
k_o_mis,log10_k_o_mis,delta__log10_k_o_mis,log10_k_o_mis,log10,False,none,True,True,-3.25441704197678,1.38578816818685,-2.56152295788335,-3.9473111260702,-3.25441704197678,1.38578816818685,-2.56152295788335,-3.9473111260702,0.0005566509544039,0.0027445872539549,0.0001128986825222,0.0005566509544039,0.0027445872539549,0.0001128986825222,-5.0,-1.69897000433602,1e-05,0.02,-3.11089407528151,3.11089407528151,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed291,18.9727901150504,6,24.31017964638528
buffer_smax,buffer_smax,delta__buffer_smax,buffer_smax,identity,False,none,True,True,0.956917896997365,-0.08616420600527,0.91383579399473,1.0,0.956917896997365,-0.08616420600527,0.91383579399473,1.0,0.956917896997365,0.91383579399473,1.0,0.956917896997365,0.91383579399473,1.0,0.0,1.0,0.0,1.0,-0.0861642060052699,0.0861642060052699,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed291,18.9727901150504,6,0.91383579399473
buffer_beta,log10_buffer_beta,delta__log10_buffer_beta,log10_buffer_beta,log10,False,none,True,True,-0.220797648094854,-0.845006773967325,-0.643301035078516,0.201705738888809,-0.220797648094854,-0.845006773967325,-0.643301035078516,0.201705738888809,0.601453909119356,0.227352097320628,1.59113027351929,0.601453909119356,0.227352097320628,1.59113027351929,-2.0,1.0,0.01,10.0,-2.44159529618971,2.44159529618971,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed291,18.9727901150504,6,0.14288716713168093
buffer_n_exp,log10_buffer_n_exp,delta__log10_buffer_n_exp,log10_buffer_n_exp,log10,False,none,True,True,0.749676226334253,0.500647547331493,1.0,0.499352452668507,0.749676226334253,0.500647547331493,1.0,0.499352452668507,5.61922246735227,10.0,3.15756611375965,5.61922246735227,10.0,3.15756611375965,-1.0,1.0,0.1,10.0,-0.500647547331493,0.500647547331493,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed291,18.9727901150504,6,3.1669962368874054
n_O,n_O,delta__n_O,n_O,identity,False,none,True,True,1.7660910707821,-0.20496752576579,1.6636073078992,1.86857483366499,1.7660910707821,-0.20496752576579,1.6636073078992,1.86857483366499,1.7660910707821,1.6636073078992,1.86857483366499,1.7660910707821,1.6636073078992,1.86857483366499,0.0001,5.0,0.0001,5.0,-3.53198214156419,3.53198214156419,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed291,18.9727901150504,6,0.8903080989463128
alpha_o2,log10_alpha_o2,delta__log10_alpha_o2,log10_alpha_o2,log10,False,none,True,True,-0.030193144725519,0.541673701876924,0.240643706212943,-0.301029995663981,-0.030193144725519,0.541673701876924,0.240643706212943,-0.301029995663981,0.932839344869547,1.74037848667329,0.5,0.932839344869547,1.74037848667329,0.5,-0.301029995663981,0.602059991327962,0.5,4.0,-0.541673701876924,0.541673701876924,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed291,18.9727901150504,6,3.48075697334658
gamma_growth,gamma_growth,delta__gamma_growth,gamma_growth,identity,False,none,True,True,2.18118606535816,1.36237213071632,2.86237213071632,1.5,2.18118606535816,1.36237213071632,2.86237213071632,1.5,2.18118606535816,2.86237213071632,1.5,2.18118606535816,2.86237213071632,1.5,1.5,4.5,1.5,4.5,-1.36237213071632,1.36237213071632,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed291,18.9727901150504,6,1.9082480871442133
lam_max,log10_lam_max,delta__log10_lam_max,log10_lam_max,log10,False,none,True,True,-0.246052675587283,-0.75181703914051,-0.621961195157538,0.129855843982972,-0.246052675587283,-0.75181703914051,-0.621961195157538,0.129855843982972,0.567475772085329,0.238802464684995,1.3485151936293,0.567475772085329,0.238802464684995,1.3485151936293,-2.30102999566398,0.176091259055681,0.005,1.5,-0.844287869285929,0.844287869285929,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed291,18.9727901150504,6,0.1770854832137995
p_mis_base,log10_p_mis_base,delta__log10_p_mis_base,log10_p_mis_base,log10,False,none,True,True,-4.18677077431139,1.76335792248655,-3.30509181306811,-5.06844973555466,-4.18677077431139,1.76335792248655,-3.30509181306811,-5.06844973555466,6.50472926944133e-05,0.0004953454600379,8.54181703118544e-06,6.50472926944133e-05,0.0004953454600379,8.54181703118544e-06,-6.0,-1.0,1e-06,0.1,-3.62645845137723,3.62645845137723,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed291,18.9727901150504,6,57.99064276715789
p_wgd,log10_p_wgd,delta__log10_p_wgd,log10_p_wgd,log10,False,none,True,True,-4.19319261129693,-1.42658002022422,-4.90648262140905,-3.47990260118482,-4.19319261129693,-1.42658002022422,-4.90648262140905,-3.47990260118482,6.40925260688811e-05,1.24027325450911e-05,0.0003312053922759,6.40925260688811e-05,1.24027325450911e-05,0.0003312053922759,-5.0,-3.0,1e-05,0.001,-1.61361477740613,1.61361477740613,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed291,18.9727901150504,6,0.03744725428491636
gamma_mu,gamma_mu,delta__gamma_mu,gamma_mu,identity,False,none,True,True,1.9393617447558,1.4787234895116,2.6787234895116,1.2,1.9393617447558,1.4787234895116,2.6787234895116,1.2,1.9393617447558,2.6787234895116,1.2,1.9393617447558,2.6787234895116,1.2,1.2,3.5,1.2,3.5,-1.4787234895116,1.4787234895116,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed291,18.9727901150504,6,2.232269574593
O2_crit,log10_O2_crit,delta__log10_O2_crit,log10_O2_crit,log10_nonnegative,False,none,True,True,-0.286184924288447,-0.973089455487817,-0.772729652032355,0.200359803455462,-0.286184924288447,-0.973089455487817,-0.772729652032355,0.200359803455462,0.517386479854448,0.168760323014007,1.58620678578554,0.517386479854448,0.168760323014007,1.58620678578554,-4.0,0.397940008672038,0.0001,2.5,-1.36824986592097,1.36824986592097,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed458,18.9728799471426,7,0.10639238498178
mu_hp,log10_mu_hp,delta__log10_mu_hp,log10_mu_hp,log10,False,none,True,True,-1.8015332567769,0.998993477774163,-1.30203651788982,-2.30102999566398,-1.8015332567769,0.998993477774163,-1.30203651788982,-2.30102999566398,0.0157930766516176,0.0498842540247737,0.005,0.0157930766516176,0.0498842540247737,0.005,-2.30102999566398,-0.522878745280338,0.005,0.3,-0.998993477774163,0.998993477774163,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed458,18.9728799471426,7,9.97685080495474
p_misseg,log10_p_misseg,delta__log10_p_misseg,log10_p_misseg,log10,False,none,True,True,-1.35295557556725,1.24729457901751,-0.729308286058489,-1.976602865076,-1.35295557556725,1.24729457901751,-0.729308286058489,-1.976602865076,0.0443654023440395,0.186505530221572,0.0105535150770604,0.0443654023440395,0.186505530221572,0.0105535150770604,-2.30102999566398,-0.301029995663981,0.005,0.5,-1.89614884019347,1.89614884019347,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed458,18.9728799471426,7,17.672361185797605
k_o_mis,log10_k_o_mis,delta__log10_k_o_mis,log10_k_o_mis,log10,False,none,True,True,-3.25441704197678,1.38578816818685,-2.56152295788335,-3.9473111260702,-3.25441704197678,1.38578816818685,-2.56152295788335,-3.9473111260702,0.0005566509544039,0.0027445872539549,0.0001128986825222,0.0005566509544039,0.0027445872539549,0.0001128986825222,-5.0,-1.69897000433602,1e-05,0.02,-3.11089407528151,3.11089407528151,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed458,18.9728799471426,7,24.31017964638528
buffer_smax,buffer_smax,delta__buffer_smax,buffer_smax,identity,False,none,True,True,0.956917896997365,-0.08616420600527,0.91383579399473,1.0,0.956917896997365,-0.08616420600527,0.91383579399473,1.0,0.956917896997365,0.91383579399473,1.0,0.956917896997365,0.91383579399473,1.0,0.0,1.0,0.0,1.0,-0.0861642060052699,0.0861642060052699,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed458,18.9728799471426,7,0.91383579399473
buffer_beta,log10_buffer_beta,delta__log10_buffer_beta,log10_buffer_beta,log10,False,none,True,True,-0.220797648094854,-0.845006773967325,-0.643301035078516,0.201705738888809,-0.220797648094854,-0.845006773967325,-0.643301035078516,0.201705738888809,0.601453909119356,0.227352097320628,1.59113027351929,0.601453909119356,0.227352097320628,1.59113027351929,-2.0,1.0,0.01,10.0,-2.44159529618971,2.44159529618971,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed458,18.9728799471426,7,0.14288716713168093
buffer_n_exp,log10_buffer_n_exp,delta__log10_buffer_n_exp,log10_buffer_n_exp,log10,False,none,True,True,0.749676226334253,0.500647547331493,1.0,0.499352452668507,0.749676226334253,0.500647547331493,1.0,0.499352452668507,5.61922246735227,10.0,3.15756611375965,5.61922246735227,10.0,3.15756611375965,-1.0,1.0,0.1,10.0,-0.500647547331493,0.500647547331493,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed458,18.9728799471426,7,3.1669962368874054
n_O,n_O,delta__n_O,n_O,identity,False,none,True,True,1.7660910707821,-0.20496752576579,1.6636073078992,1.86857483366499,1.7660910707821,-0.20496752576579,1.6636073078992,1.86857483366499,1.7660910707821,1.6636073078992,1.86857483366499,1.7660910707821,1.6636073078992,1.86857483366499,0.0001,5.0,0.0001,5.0,-3.53198214156419,3.53198214156419,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed458,18.9728799471426,7,0.8903080989463128
alpha_o2,log10_alpha_o2,delta__log10_alpha_o2,log10_alpha_o2,log10,False,none,True,True,-0.030193144725519,0.541673701876924,0.240643706212943,-0.301029995663981,-0.030193144725519,0.541673701876924,0.240643706212943,-0.301029995663981,0.932839344869547,1.74037848667329,0.5,0.932839344869547,1.74037848667329,0.5,-0.301029995663981,0.602059991327962,0.5,4.0,-0.541673701876924,0.541673701876924,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed458,18.9728799471426,7,3.48075697334658
gamma_growth,gamma_growth,delta__gamma_growth,gamma_growth,identity,False,none,True,True,2.18118606535816,1.36237213071632,2.86237213071632,1.5,2.18118606535816,1.36237213071632,2.86237213071632,1.5,2.18118606535816,2.86237213071632,1.5,2.18118606535816,2.86237213071632,1.5,1.5,4.5,1.5,4.5,-1.36237213071632,1.36237213071632,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed458,18.9728799471426,7,1.9082480871442133
lam_max,log10_lam_max,delta__log10_lam_max,log10_lam_max,log10,False,none,True,True,-0.246052675587283,-0.75181703914051,-0.621961195157538,0.129855843982972,-0.246052675587283,-0.75181703914051,-0.621961195157538,0.129855843982972,0.567475772085329,0.238802464684995,1.3485151936293,0.567475772085329,0.238802464684995,1.3485151936293,-2.30102999566398,0.176091259055681,0.005,1.5,-0.844287869285929,0.844287869285929,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed458,18.9728799471426,7,0.1770854832137995
p_mis_base,log10_p_mis_base,delta__log10_p_mis_base,log10_p_mis_base,log10,False,none,True,True,-4.18677077431139,1.76335792248655,-3.30509181306811,-5.06844973555466,-4.18677077431139,1.76335792248655,-3.30509181306811,-5.06844973555466,6.50472926944133e-05,0.0004953454600379,8.54181703118544e-06,6.50472926944133e-05,0.0004953454600379,8.54181703118544e-06,-6.0,-1.0,1e-06,0.1,-3.62645845137723,3.62645845137723,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed458,18.9728799471426,7,57.99064276715789
p_wgd,log10_p_wgd,delta__log10_p_wgd,log10_p_wgd,log10,False,none,True,True,-4.19319261129693,-1.42658002022422,-4.90648262140905,-3.47990260118482,-4.19319261129693,-1.42658002022422,-4.90648262140905,-3.47990260118482,6.40925260688811e-05,1.24027325450911e-05,0.0003312053922759,6.40925260688811e-05,1.24027325450911e-05,0.0003312053922759,-5.0,-3.0,1e-05,0.001,-1.61361477740613,1.61361477740613,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed458,18.9728799471426,7,0.03744725428491636
gamma_mu,gamma_mu,delta__gamma_mu,gamma_mu,identity,False,none,True,True,1.9393617447558,1.4787234895116,2.6787234895116,1.2,1.9393617447558,1.4787234895116,2.6787234895116,1.2,1.9393617447558,2.6787234895116,1.2,1.9393617447558,2.6787234895116,1.2,1.2,3.5,1.2,3.5,-1.4787234895116,1.4787234895116,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed458,18.9728799471426,7,2.232269574593
