result_group,scope,n,objective_min,objective_median,objective_max,objective_spread,relative_spread_pct
fit_invitro_O2_buffering_500seed,top10,10,3.85253526260594,3.86017775310976,3.86230239787459,0.0097671352686496,0.2535248765521484
fit_invivo_O2_buffering_500seed,top10,10,14.1193277940156,14.15386500178785,14.1747852749872,0.055457480971599,0.392777062624075
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,all_joint_top10_per_pair,60,18.8522859133708,19.19372382564145,20.0192429444527,1.1669570310818995,6.190002827478055
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,10,18.8522859133708,18.8605926713093,18.8666264262352,0.0143405128644005,0.07606776669045547
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,10,18.8900595387654,18.91379186454785,18.9255722200102,0.0355126812447998,0.18799666127003012
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,10,18.9704641759336,18.97277608646015,18.9729603576732,0.0024961817396018,0.01315825335875818
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,10,19.4144872936097,19.426430174592,19.4342101786089,0.0197228849992008,0.10158849265977068
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,10,19.7913140832613,19.79901059704065,19.8055233823592,0.0142092990978994,0.07179563235731302
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,19.9782357885732,20.013763707780903,20.0192429444527,0.0410071558794982,0.2052591445684746
