harvest,cohort,obs_n,obs_mean_N,pred_mean_N,pred_mode_N,pred_mode_fraction,pred_frac_N_le44,pred_frac_N_ge66
SUM159-2N-0-O_harvest,2N,604,45.9271523178808,46.09952350436006,43,0.0752850750368446,0.4507399954345878,0.0075933331139986454
SUM159-2N-0-RL_harvest,2N,547,47.73491773308958,46.09952350436006,43,0.0752850750368446,0.4507399954345878,0.0075933331139986454
SUM159-2N-0-RR_harvest,2N,2274,40.47625329815303,46.09952350436006,43,0.0752850750368446,0.4507399954345878,0.0075933331139986454
SUM159-2N-0-R_harvest,2N,303,43.06930693069307,46.09952350436006,43,0.0752850750368446,0.4507399954345878,0.0075933331139986454
SUM159-4N-0-0_harvest,4N,1097,53.661804922515955,48.82981757546635,47,0.0711998627444603,0.25313830666243664,0.014134892606358437
SUM159-4N-0-L_harvest,4N,636,49.838050314465406,51.36403148033227,49,0.0631244553712694,0.14892309723910765,0.038226496940340714
SUM159-4N-0-RR_harvest,4N,529,47.53686200378072,48.82981757546635,47,0.0711998627444603,0.25313830666243664,0.014134892606358437
SUM159-4N-0-R_harvest,4N,512,49.068359375,51.36403148033227,49,0.0631244553712694,0.14892309723910765,0.038226496940340714
