dataset,dataset_label,cluster_prefix,cluster_id,cluster_base_id,cluster_num,n_seeds,seed_min,seed_max,objective_mean,objective_median,objective_min,objective_max,tSNE1_median,tSNE2_median,tSNE1_min,tSNE1_max,tSNE2_min,tSNE2_max,cluster_source,selected_k,selected_average_silhouette
invivo,in vivo,vi,vi_C01,C01,1,99,8,498,15.2770303370568,15.0194976860659,14.1340195166425,19.9731457731525,-4.73338100841545,-4.16043022817244,-6.54467336666561,-1.41590322508424,-7.35487417695769,0.647364284954563,invivo_best_tSNE1_tSNE2,3,0.815694056629554
invivo,in vivo,vi,vi_C02,C02,2,385,1,500,14.988564297288,14.7937803865125,14.1193277940156,19.1819266657665,-1.83003224791078,-10.2498322445287,-3.56825330223942,1.56865493741271,-12.4262067276531,-7.53910256288431,invivo_best_tSNE1_tSNE2,3,0.815694056629554
invivo,in vivo,vi,vi_C03,C03,3,16,7,492,15.177424012905,15.121698181473,14.6048156636453,16.0234639809199,6.91335561451743,-10.5279157434042,2.64022460138797,7.91132257397169,-12.1033317839902,1.86650169992452,invivo_best_tSNE1_tSNE2,3,0.815694056629554
invitro,in vitro,vt,vt_C01,C01,1,108,2,495,4.41458267124215,4.40757527374352,4.27116416929482,4.60023279295568,-2.77108418986197,-13.5442044619994,-11.4459207489019,-1.37502462657458,-13.7694160931723,-1.09890949955429,invitro_best_tSNE1_tSNE2,2,0.774236264501678
invitro,in vitro,vt,vt_C02,C02,2,392,1,500,4.02646670757464,4.03082224932975,3.85253526260594,4.45028147212765,-2.1788106457833,-14.2532356968816,-2.56314218346002,-1.97862400813009,-14.424193957796,-13.8331047090134,invitro_best_tSNE1_tSNE2,2,0.774236264501678
