result_group,pair,rank,seed,objective_top10,source_path,seed_number,seed_id,n_o2,o2_min,o2_max,curve_class,final_interpretation_class,sign_sequence,n_sign_changes,step_epsilon,slope_epsilon,flat_range_threshold,reverse_fraction_tolerance,ploidy_range,net_ploidy_change,max_positive_step,max_negative_step,positive_step_total,negative_step_total,fraction_positive_steps,fraction_negative_steps,fraction_zero_steps,low_amplitude_curve,terminal_plateau,terminal_plateau_for_class,classification_rule_version,min_ploidy,o2_at_min_ploidy,max_ploidy,o2_at_max_ploidy,dominant_growth_rate_min,dominant_growth_rate_max,min_spectral_gap,median_spectral_gap,fraction_o2_gap_below_0p005,fraction_o2_gap_below_0p01,monotonicity_reliability,n_crossings_ploidy_1p5,first_o2_crossing_ploidy_1p5,all_o2_crossings_ploidy_1p5,crossing_status_ploidy_1p5,n_crossings_ploidy_2,first_o2_crossing_ploidy_2,all_o2_crossings_ploidy_2,crossing_status_ploidy_2,mode_label_o2_0,dominant_mean_ploidy_o2_0,spectral_gap_o2_0,mode_label_o2_0p1,dominant_mean_ploidy_o2_0p1,spectral_gap_o2_0p1,mode_label_o2_0p5,dominant_mean_ploidy_o2_0p5,spectral_gap_o2_0p5,mode_label_o2_1,dominant_mean_ploidy_o2_1,spectral_gap_o2_1,mode_label_o2_2,dominant_mean_ploidy_o2_2,spectral_gap_o2_2,mode_label_o2_5,dominant_mean_ploidy_o2_5,spectral_gap_o2_5,objective_mon,objective_source,objective_total,objective_data,objective_burden,objective_ploidy,runtime,convergence_status
fit_invivo_O2_buffering_500seed,.,1,seed25,14.1193277940156,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed25,25,seed25,201,0,5,inverted_u_shaped,inverted_u_shaped,"1,-1",1,0.0002014821760922,0.0002014821760922,0.05,0.05,2.01482176092235,-1.17167864396112,0.0721015921736803,2.00501274402763,0.84309253137525,2.01465045659774,0.1,0.02,0.88,False,True,True,shape_first_v3,1.00002399971668,1.375,3.01484576063903,0.5,-0.121095318971684,0.214438613802736,0.0003072468613725,0.0089280737251336,0.223880597014925,0.54228855721393,caution_small_gap,1,0.5688215885,0.5688216,crossed,1,0.5625872141,0.5625872,crossed,mode1,2.17175322926378,0.0153972171107481,mode1,2.39482313632497,0.0254782910133488,mode1,3.01484576063903,0.0214028767957219,mode2,1.00002713929531,0.0223235159824451,mode2,1.00002710020629,0.0122503788601257,mode2,1.00007458530266,0.0035126049743905,68493.8049057762,raw_likelihood,,13.5537024403046,7.88904385018167,4.7619851179534,,early_stop_reltol_or_steptol
fit_invivo_O2_buffering_500seed,.,2,seed366,14.1340195166425,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed366,366,seed366,201,0,5,inverted_u_shaped,unreliable_small_spectral_gap,"1,-1",1,0.00018070895308,0.00018070895308,0.05,0.05,1.80708953080098,-1.11181974523619,0.0482421231642101,1.63180987134881,0.69362440147683,1.80633041998333,0.125,0.08,0.795,False,True,True,shape_first_v3,1.00056373024109,1.65,2.80765326104207,0.625,-0.0867051730420489,0.227450770789801,0.0003675746869267,0.0071606141041274,0.388059701492537,0.592039800995025,unreliable_small_gap,1,0.893524998,0.893525,crossed,1,0.8858647918,0.8858648,crossed,mode1,2.11402885956524,0.0198545724496953,mode1,2.19004802623357,0.0223396974427652,mode1,2.77545168008866,0.0272606321713618,mode2,1.00157867629431,0.0196226713332783,mode2,1.00059936074084,0.0109655899251902,mode2,1.00220911432905,0.0019412154840711,68841.1799994377,raw_likelihood,,13.5395994195713,7.95664357862936,4.80374361309401,,early_stop_reltol_or_steptol
fit_invivo_O2_buffering_500seed,.,3,seed292,14.1371976265361,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed292,292,seed292,201,0,5,inverted_u_shaped,unreliable_small_spectral_gap,"1,-1",1,0.0001953057211164,0.0001953057211164,0.05,0.05,1.95305721116484,-1.3861246129243,0.04993554067135,1.7273615933079,0.55266717837196,1.95229146699283,0.085,0.065,0.85,False,True,True,shape_first_v3,1.00209240378212,1.1,2.95514961494696,0.425,-0.112636032467223,0.231388274698109,0.0006002421180628,0.0045937142165175,0.522388059701492,0.701492537313433,unreliable_small_gap,1,0.5454110635,0.5454111,crossed,1,0.5381745937,0.5381746,crossed,mode1,2.402482436575,0.032640051267926,mode1,2.49906878858118,0.0329047908799472,mode1,2.93074680696568,0.015964928343972,mode2,1.00212486278327,0.0176342851495239,mode2,1.00322519485658,0.0068411319467992,mode2,1.0163578236507,0.0013742883188407,68025.6778152591,raw_likelihood,,13.4705759857786,8.07996190296726,4.75954572982808,,early_stop_reltol_or_steptol
fit_invivo_O2_buffering_500seed,.,4,seed392,14.1405923733734,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed392,392,seed392,201,0,5,inverted_u_shaped,inverted_u_shaped,"1,-1",1,0.0003590830261097,0.0003590830261097,0.05,0.05,3.59083026109733,-3.06394562059507,0.13599734493455,3.59079221410613,0.526857514987889,3.59079221410613,0.02,0.005,0.975,False,True,True,shape_first_v3,1.00003345084268,1.0,4.59086371194001,0.1,-0.0796740043617497,0.263237112782322,3.60019862273575e-06,0.0117113101086559,0.0248756218905473,0.388059701492537,caution_small_gap,1,0.1215193718,0.1215194,crossed,1,0.1180382459,0.1180382,crossed,mode1,4.06400619695212,2.76870136055735e-05,mode1,4.59086371194001,3.60019862273575e-06,mode2,1.00003712016716,0.0312213120503998,mode2,1.00003345084268,0.0230282409004604,mode2,1.00003768602945,0.0145765008977896,mode2,1.00006057635705,0.0068107157857573,67194.3041773094,raw_likelihood,,13.9177473090918,8.19808086586643,4.73587877201808,,early_stop_reltol_or_steptol
fit_invivo_O2_buffering_500seed,.,5,seed90,14.1524469940988,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed90,90,seed90,201,0,5,monotone_decreasing,monotone_decreasing,-1,0,1e-06,1e-06,0.05,0.05,0.00016404915121,-8.51502143601746e-05,0.0,8.49488349996541e-06,0.0,0.00015394650472,0.0,0.18,0.82,True,True,False,shape_first_v3,1.00009252856268,1.525,1.00025657771389,0.0,-0.0870406914972068,0.264047663518532,0.0063229672857746,0.0141917597266917,0.0,0.313432835820896,caution_small_gap,0,,,always_below,0,,,always_below,mode2,1.00025657771389,0.0311833377145613,mode2,1.00022989869097,0.0319358373014562,mode2,1.00013372627959,0.0333710117939471,mode2,1.00009909485852,0.0283111375902283,mode2,1.00009557492728,0.017626874599515,mode2,1.00017142749953,0.0063229672857746,67155.2206134171,raw_likelihood,,13.9300003054445,8.23645935829719,4.72860952189975,,early_stop_reltol_or_steptol
fit_invivo_O2_buffering_500seed,.,6,seed391,14.1552830094769,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed391,391,seed391,201,0,5,inverted_u_shaped,inverted_u_shaped,"1,-1",1,0.0004330238496508,0.0004330238496508,0.05,0.05,4.33023849650865,-2.6439518046646,0.08672210354373,4.33003999499009,1.68594000864782,4.33003999499009,0.17,0.005,0.825,False,True,True,shape_first_v3,1.00005980852397,2.4,5.33029830503262,0.875,-0.155884821901422,0.265679175625873,1.91656436474008e-06,0.0129356712855076,0.18407960199005,0.398009950248756,caution_small_gap,1,0.897114682,0.8971147,crossed,1,0.8942278727,0.8942279,crossed,mode1,3.64406466232599,2.60572916576662e-05,mode1,3.68117703986778,4.66144136834767e-06,mode1,4.28338596581883,1.91656436474008e-06,mode2,1.00018250032184,0.0310487794965142,mode2,1.0000624763713,0.0288050579760117,mode2,1.00011285766139,0.0063530142391583,67005.3212273429,raw_likelihood,,13.8992991747126,8.23565260422125,4.71497746346576,,early_stop_reltol_or_steptol
fit_invivo_O2_buffering_500seed,.,7,seed264,14.155814973853,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed264,264,seed264,201,0,5,inverted_u_shaped,unreliable_small_spectral_gap,"1,-1",1,0.0002996906417901,0.0002996906417901,0.05,0.05,2.99690641790172,-1.24993391910286,0.11018229009401,2.99653927036076,1.74529816492945,2.99653927036076,0.1,0.005,0.895,False,True,True,shape_first_v3,1.00008468675221,0.975,3.99699110465393,0.5,-0.126902143484916,0.202969843403814,0.0008645540199316,0.0029375805887256,0.631840796019901,0.800995024875622,unreliable_small_gap,1,0.5208322908,0.5208323,crossed,1,0.5166608121,0.5166608,crossed,mode1,2.25169293972448,0.0015855571061607,mode1,2.36187481269525,0.0026146830428033,mode1,3.99699110465393,0.0039449112887156,mode2,1.00008480535271,0.0180982404564688,mode2,1.00018388188923,0.0051796909454566,mode2,1.00175902062162,0.0008645540199316,67168.9659540342,raw_likelihood,,13.6047001907228,8.12503117942481,4.69942654716927,,early_stop_reltol_or_steptol
fit_invivo_O2_buffering_500seed,.,8,seed109,14.1723513719332,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed109,109,seed109,201,0,5,complex_nonmonotone,complex_nonmonotone,"1,-1,1",2,0.0001463330364242,0.0001463330364242,0.05,0.05,1.46333036424265,1.09946829633961,1.33821790415156,0.4509845451202,1.55250719189714,0.45401149397961,0.305,0.035,0.66,False,False,False,shape_first_v3,1.0000928478995,0.725,2.46342321214215,5.0,-0.194028272485414,0.155639733014772,6.9666170655347e-06,0.0076830418802651,0.17910447761194,0.666666666666667,caution_small_gap,1,3.7327058928,3.732706,crossed,1,3.7420466735,3.742047,crossed,mode2,1.36395491580254,2.25229436398577e-05,mode2,1.00192994441265,0.004316638296428,mode2,1.00010357961254,0.0205587966188513,mode2,1.00010118697097,0.0145566199276527,mode2,1.00020310357555,0.0079419413746284,mode1,2.46342321214215,0.0120053364639594,67886.2629347008,raw_likelihood,,13.6162959399511,7.79593145016337,4.70280856342861,,early_stop_reltol_or_steptol
fit_invivo_O2_buffering_500seed,.,9,seed322,14.172441641488,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed322,322,seed322,201,0,5,complex_nonmonotone,complex_nonmonotone,"1,-1,1,-1,1",4,0.0001504894470197,0.0001504894470197,0.05,0.05,1.50489447019786,0.14286638841732,1.22059024427795,1.37951648369082,1.65917484615091,1.51643860833439,0.72,0.195,0.085,False,False,False,shape_first_v3,1.00258259075299,2.075,2.50747706095085,1.3,-0.121509549843897,0.191035859125377,0.000399389991829,0.0184536822308706,0.0895522388059701,0.218905472636816,caution_small_gap,2,1.766722167,1.766722;2.484079,crossed,2,1.7576610212,1.757661;2.494320,crossed,mode1,2.26655957999719,0.0469418099738168,mode1,2.26663917807533,0.0469443534839739,mode1,2.29404080997228,0.0477392489936791,mode1,2.45656324701359,0.0494831533924202,mode2,1.00273413232115,0.0084462155549626,mode1,2.40942596841451,0.01229772923177,69059.2212030319,raw_likelihood,,13.5339398104392,7.92980468669128,4.82555285271455,,early_stop_reltol_or_steptol
fit_invivo_O2_buffering_500seed,.,10,seed26,14.1747852749872,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_invivo_O2_buffering_500seed/seed26,26,seed26,201,0,5,inverted_u_shaped,inverted_u_shaped,"1,-1",1,0.0003949394039873,0.0003949394039873,0.05,0.05,3.94939403987353,-2.97710825862619,0.0441534401461592,3.94938287034895,0.97226970337275,3.94938287034895,0.16,0.005,0.835,False,True,True,shape_first_v3,1.00001589049762,1.9,4.94940993037115,0.8,-0.0657163502667519,0.232975967159984,1.80280236593278e-06,0.0121012257668802,0.169154228855721,0.393034825870647,caution_small_gap,1,0.8218351198,0.8218351,crossed,1,0.8186700684,0.8186701,crossed,mode1,3.9771402269984,1.80280236593278e-06,mode1,4.01829303802658,3.44120831104883e-05,mode1,4.46864245069056,3.3628921273815e-05,mode2,1.00002205004267,0.0338598041677535,mode2,1.00001591682654,0.0222732756834084,mode2,1.00003196837221,0.0072417635219288,67868.0514886995,raw_likelihood,,13.958562527927,8.1957636189007,4.77285465999423,,early_stop_reltol_or_steptol
