component,value,pair,seed,objective
joint_soft_coupling_penalty__buffer_beta,0.08,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
joint_soft_coupling_penalty__buffer_n_exp,0.0799999995018875,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
joint_soft_coupling_penalty__n_O,0.0799999999999386,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
joint_soft_coupling_penalty__alpha_o2,0.0799944805123386,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
joint_soft_coupling_penalty__gamma_growth,0.0799770166339456,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
joint_soft_coupling_penalty__lam_max,0.0799999722957622,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
joint_soft_coupling_penalty__p_mis_base,0.0799941569678917,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
joint_soft_coupling_penalty__p_wgd,0.000358065169298714,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
joint_soft_coupling_penalty__gamma_mu,0.08,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,19.9782357885732
objective_joint,18.9704641759336,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
objective_joint_unpenalized,17.9681413560541,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
objective_soft_coupling,1.00232281987956,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
objective_constraints,0,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_enabled,TRUE,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_n_params,14,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_soft_coupling_welsch_c,0.4,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
weight_invivo,1,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
weight_invitro,1,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
objective_invivo,14.1156060934481,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
objective_invivo_data,13.5609999413867,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
