harvest,cohort,obs_n,obs_mean_N,pred_mean_N,pred_mode_N,pred_mode_fraction,pred_frac_N_le44,pred_frac_N_ge66
SUM159-2N-0-O_harvest,2N,604,45.9271523178808,46.087628573901625,44,0.0817706256538601,0.44428019125788887,0.005922524686580301
SUM159-2N-0-RL_harvest,2N,547,47.73491773308958,46.087628573901625,44,0.0817706256538601,0.44428019125788887,0.005922524686580301
SUM159-2N-0-RR_harvest,2N,2274,40.47625329815303,46.087628573901625,44,0.0817706256538601,0.44428019125788887,0.005922524686580301
SUM159-2N-0-R_harvest,2N,303,43.06930693069307,46.087628573901625,44,0.0817706256538601,0.44428019125788887,0.005922524686580301
SUM159-4N-0-0_harvest,4N,1097,53.661804922515955,48.865268203109686,47,0.0740133744415702,0.24269738797258583,0.013649116317737702
SUM159-4N-0-L_harvest,4N,636,49.838050314465406,50.801244513020244,48,0.0676280840614836,0.15683166187060965,0.029589076859761608
SUM159-4N-0-RR_harvest,4N,529,47.53686200378072,48.865268203109686,47,0.0740133744415702,0.24269738797258583,0.013649116317737702
SUM159-4N-0-R_harvest,4N,512,49.068359375,50.801244513020244,48,0.0676280840614836,0.15683166187060965,0.029589076859761608
