n_tr	success	posterior_objective	data_nll	prior_penalty	n_observations	objective	observation_channels	model_variant	theta_alive	theta_dead	fit_beta_dose	fixed_beta_dose	use_hill_dose_gate	fit_hill_dose_gate	use_confluence_death	fit_mu_confluence_death	fixed_mu_confluence_death	confluence_death_exponent	mu_log_r	mu_log_K	mu_log_k_tr	mu_log_k_kill	mu_log_k_clear	mu_log_k_cyto	mu_log_beta_dose	mu_log_mu_base_death	mu_mu_confluence_death	dose_gate_ec50_uM	dose_gate_hill	optimizer_message	2N_r	2N_K	2N_k_tr	2N_k_kill	2N_k_clear	2N_k_cyto	2N_beta_dose	2N_mu_base_death	2N_mu_confluence_death	4N_r	4N_K	4N_k_tr	4N_k_kill	4N_k_clear	4N_k_cyto	4N_beta_dose	4N_mu_base_death	4N_mu_confluence_death
2	True	69460.16445966352	69457.85459287334	2.309866790175148	8780	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	0.5747465179188566	3.0498729374451914	True	1.0	True	True	True	True	0.0	4.0	-0.28740355738564743	10.650842677116467	0.6288820219246523	3.625959471928056	-0.5996216600809546	0.4748206374754969	-0.3340374226110007	-2.182704141088107	-2.9164316924773983	0.011482485494960453	2.1971424280621306	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	0.7080139349819214	48223.225593284464	2.0607537371969635	30.26514865002102	0.5686724878639798	2.0437736630321948	0.6454426610588954	0.32598630545015816	0.05509266964114446	0.8499019620959708	79375.59124217204	6.379109151321826	70.52968878778861	0.5812171273872316	2.028081070317258	0.5848680824892828	0.21434641094322077	0.057506422939799975
3	True	63848.27253795307	63844.770796248995	3.501741704070415	8780	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	3.3039107927828386	6.7111045363777215	True	1.0	True	True	True	True	0.0	4.0	0.016746976123120774	10.189143621925473	0.49542846450682787	4.241230422737856	-1.2832850987117264	6.252029132013045	-0.41632479829755	-2.973012080671635	-2.916933760984213	0.013604870407332117	2.151226183591569	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	1.0180490917013485	27424.422778410422	3.5823967465523743	123.76657528050208	0.22128130040465724	2318.9082111301586	0.6996261749140602	0.19413655059977183	0.0552271780012858	1.474245138404985	34994.953217299495	2.4628319619840844	108.38208106543323	0.1926173747582756	601.1312564416327	0.4098423113484395	0.03474198306419584	0.057329765210445624
4	True	62800.11658225115	62795.2785155236	4.838066727547792	8780	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	4.2694786250589605	14.738779821542035	True	1.0	True	True	True	True	0.0	4.0	0.04560528145158382	10.223920940798486	0.6416530866811042	4.323373297062227	-1.639170698285383	6.749989232629555	-0.4918471246036863	-3.055919537127934	-2.92686403511071	0.01491198716927999	2.3975755787815958	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	1.204020387086469	32176.920032350612	5.557853888982631	146.45096180808613	0.15067290079749396	6661.693176178644	0.4347908563195786	0.18401652909392582	0.05470752850790413	1.3582340222077367	33171.32491401794	2.456537432059625	117.15509908214912	0.09738271894976597	930.9274862654551	0.5248091476851927	0.028174434260349747	0.05616754398395753
5	True	61603.75355075745	61597.5299759015	6.223574855949791	8780	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	6.95190489244975	7.758325924153134	True	1.0	True	True	True	True	0.0	4.0	0.14766318954968702	9.984748171623405	0.7572536312967612	4.4895368783150955	-1.7895654448892409	6.887481348932233	-0.6960739649379178	-3.3663269157667703	-2.95977672802905	0.018528672753251808	2.6928007537388816	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	1.2463724081040366	25358.22838001918	6.842656817820877	217.2640297695638	0.15181535897356027	8040.91427243277	0.2533099724115499	0.11682547346352361	0.05143775985667095	1.7809375689522609	20512.06744529951	2.8202443171612437	129.89234606810706	0.061608978408933444	1163.1135402481661	0.4877484657383576	0.017440772340423516	0.05412976863552694
6	True	68465.40743405184	68463.99531720033	1.4121168515123046	8780	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	0.6621830209940222	4.401877140733954	True	1.0	True	True	True	True	0.0	4.0	-0.2897993956559884	9.96735761684792	-0.3472961736883377	3.3017240166169417	-1.1629473121338307	5.354461256693215	0.42542324944409476	-2.242430009847777	-2.9905321652540238	0.012146513938394917	1.9995659826474599	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	0.7504901648308887	20778.64045721953	0.6955153211507932	27.059953861524974	0.2940842410939934	440.88566422855746	2.108307975186428	0.3061048356817596	0.05033050742500742	0.7977354591081794	23799.25878964052	1.0142722327354081	29.61257905586811	0.20783041119729456	214.6228030555957	1.696787051085934	0.19521202959133005	0.05045055955445695
7	True	68346.04705843602	68344.60484794258	1.4422104934301507	8780	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	1.2943075447017787	2.7330705257808496	True	1.0	True	True	True	True	0.0	4.0	-0.7154294362056187	10.679968511711685	1.3661956846902297	4.93012584982534	-2.150147391603485	2.892575610742221	-0.370387117748492	-2.8073258010089446	-2.9900704565151237	0.01811003316684477	2.1879663552640753	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	0.5472595055893483	44899.20962199522	4.484181165162474	213.6900524007743	0.07116198687621904	24.587532230407895	0.6385010501191644	0.16793728271941008	0.050347322140451296	0.7113458368054039	46695.900636706545	6.715032177607209	123.99476597632474	0.1110972336860149	23.867897932992246	0.5165046107874984	0.06540451562266775	0.050505365463306286
