lineage	passage_id	n_cells	observed_mean_N	observed_median_N	high_state_threshold_N	observed_high_count	observed_high_fraction	observed_high_exact_ci_low	observed_high_exact_ci_high	fitted_mean_N	fitted_median_N	fitted_high_fraction	high_fraction_residual	high_state_binomial_deviance	high_state_two_sided_predictive_p	mean_negative_log_score	total_variation_distance	wasserstein1_chromosomes	jensen_shannon_divergence_nats	jensen_shannon_distance
O1	SUM-159_NLS_2N_O1_A19_seed	20	66.85	49	80	8	0.4	0.191190060725307	0.63945741269251	64.2663707428182	60	0.325016362446814	0.0749836375531858	0.495213248070778	0.47987604234753	4.18522462953216	0.843812880599145	8.16245564502491	0.480519483825807	0.693195126804716
O2	SUM-159_NLS_2N_O2_A19_seed	20	88.05	95	80	16	0.8	0.563385997003332	0.942666002949967	64.2663707428182	60	0.325016362446814	0.474983637553186	19.09258975274	1.75096318898561e-05	4.57972852488576	0.894196605639434	24.2599581400892	0.52693742514372	0.725904556497423
