lineage	N	empirical_fraction	fitted_fraction	empirical_cdf	fitted_cdf
O1	22	0	4.31704579047673e-08	0	4.31704579047673e-08
O1	23	0	1.61503683067225e-07	0	2.04674140971992e-07
O1	24	0	5.42923529691075e-07	0	7.47597670663068e-07
O1	25	0	1.66295638578984e-06	0	2.41055405645291e-06
O1	26	0	4.74411484457224e-06	0	7.15466890102515e-06
O1	27	0	1.30024816307218e-05	0	2.0157150531747e-05
O1	28	0	3.55687255242233e-05	0	5.57258760559703e-05
O1	29	0	0.000100310093577514	0	0.000156035969633484
O1	30	0	0.000290517819384697	0	0.000446553789018182
O1	31	0	0.00081721072334496	0	0.00126376451236314
O1	32	0	0.0020748031415701	0	0.00333856765393324
O1	33	0	0.00452795960848784	0	0.00786652726242109
O1	34	0	0.00837099857148394	0	0.016237525833905
O1	35	0	0.0132379072764071	0	0.0294754331103121
O1	36	0	0.0183092152307614	0	0.0477846483410736
O1	37	0	0.0227362553524456	0	0.0705209036935192
O1	38	0	0.0259958754080624	0	0.0965167791015816
O1	39	0	0.0279655980618983	0	0.12448237716348
O1	40	0	0.0288001356037954	0	0.153282512767275
O1	41	0	0.0287692210532703	0	0.182051733820546
O1	42	0	0.028144470800267	0	0.210196204620813
O1	43	0	0.0271468286374147	0	0.237343033258227
O1	44	0	0.0259347847822879	0	0.263277818040515
O1	45	0	0.0246121174065467	0	0.287889935447062
O1	46	0.05	0.0232416330532492	0.05	0.311131568500311
O1	47	0.05	0.021858439628904	0.1	0.332990008129215
O1	48	0.15	0.0204805131539279	0.25	0.353470521283143
O1	49	0.35	0.0191162943765161	0.6	0.372586815659659
O1	50	0	0.0177697936386217	0.6	0.390356609298281
O1	51	0	0.0164437971556839	0.6	0.406800406453965
O1	52	0	0.0151417556895477	0.6	0.421942162143513
O1	53	0	0.0138687251741981	0.6	0.435810887317711
O1	54	0	0.01263177533769	0.6	0.448442662655401
O1	55	0	0.0114399354668804	0.6	0.459882598122281
O1	56	0	0.0103041015875594	0.6	0.470186699709841
O1	57	0	0.00923658204373881	0.6	0.479423281753579
O1	58	0	0.00825104141777191	0.6	0.487674323171351
O1	59	0	0.00736171560860208	0.6	0.495036038779953
O1	60	0	0.00658379187960566	0.6	0.501619830659559
O1	61	0	0.0059317568490694	0.6	0.507551587508628
O1	62	0	0.00542098981357863	0.6	0.512972577322207
O1	63	0	0.00506368996907763	0.6	0.518036267291285
O1	64	0	0.00487384464706052	0.6	0.522910111938345
O1	65	0	0.00485729591863351	0.6	0.527767407856979
O1	66	0	0.00502498087500474	0.6	0.532792388731984
O1	67	0	0.00537088359595043	0.6	0.538163272327934
O1	68	0	0.00590178893948401	0.6	0.544065061267418
O1	69	0	0.00659434516157276	0.6	0.550659406428991
O1	70	0	0.00745128879044192	0.6	0.558110695219433
O1	71	0	0.0084288362122267	0.6	0.566539531431659
O1	72	0	0.00952726545219829	0.6	0.576066796883858
O1	73	0	0.0106835036453717	0.6	0.586750300529229
O1	74	0	0.0118983441230941	0.6	0.598648644652323
O1	75	0	0.0130949582079577	0.6	0.611743602860281
O1	76	0	0.0142785922553086	0.6	0.62602219511559
O1	77	0	0.0153669870633595	0.6	0.641389182178949
O1	78	0	0.0163739597146802	0.6	0.657763141893629
O1	79	0	0.0172204956595566	0.6	0.674983637553186
O1	80	0	0.0179322264242197	0.6	0.692915863977406
O1	81	0	0.0184401959333709	0.6	0.711356059910777
O1	82	0	0.0187832600057662	0.6	0.730139319916543
O1	83	0	0.0189061853422989	0.6	0.749045505258842
O1	84	0	0.0188601716447004	0.6	0.767905676903542
O1	85	0	0.0186040399095668	0.6	0.786509716813109
O1	86	0	0.018198385120087	0.6	0.804708101933196
O1	87	0	0.0176137851475574	0.6	0.822321887080753
O1	88	0	0.0169159810469423	0.6	0.839237868127696
O1	89	0	0.0160835493954717	0.6	0.855321417523168
O1	90	0.05	0.0151828200217959	0.65	0.870504237544964
O1	91	0	0.0141963460661454	0.65	0.884700583611109
O1	92	0.1	0.0131870676611131	0.75	0.897887651272222
O1	93	0	0.0121381406182704	0.75	0.910025791890492
O1	94	0.05	0.0111062822105641	0.8	0.921132074101057
O1	95	0.05	0.0100730151975052	0.85	0.931205089298562
O1	96	0.05	0.00908733302226836	0.9	0.94029242232083
O1	97	0	0.00812811548390088	0.9	0.948420537804731
O1	98	0.05	0.00723633483464525	0.95	0.955656872639376
O1	99	0	0.00638824494381562	0.95	0.962045117583192
O1	100	0.05	0.00561738624036567	1	0.967662503823558
O1	101	0	0.00489809081758989	1	0.972560594641148
O1	102	0	0.00425756905161617	1	0.976818163692764
O1	103	0	0.00366926690366497	1	0.980487430596429
O1	104	0	0.00315534487949348	1	0.983642775475922
O1	105	0	0.00268943903567035	1	0.986332214511592
O1	106	0	0.00228987696695777	1	0.98862209147855
O1	107	0	0.00193140942005445	1	0.990553500898605
O1	108	0	0.00162954702009523	1	0.9921830479187
O1	109	0	0.00136083310260763	1	0.993543881021308
O1	110	0	0.00113872715806151	1	0.994682608179369
O1	111	0	0.00094197699141919	1	0.995624585170788
O1	112	0	0.000782519166878035	1	0.996407104337666
O1	113	0	0.000641480235047783	1	0.997048584572714
O1	114	0	0.000529610635810771	1	0.997578195208525
O1	115	0	0.000430403506442458	1	0.998008598714967
O1	116	0	0.000353626184052394	1	0.99836222489902
O1	117	0	0.000284994698078728	1	0.998647219597098
O1	118	0	0.00023341711874955	1	0.998880636715848
O1	119	0	0.000186605775008712	1	0.999067242490857
O1	120	0	0.000152697865030185	1	0.999219940355887
O1	121	0	0.000121129163831178	1	0.999341069519718
O1	122	0	9.93501608703555e-05	1	0.999440419680588
O1	123	0	7.82266953099016e-05	1	0.999518646375898
O1	124	0	6.46212109532739e-05	1	0.999583267586852
O1	125	0	5.0530146706028e-05	1	0.999633797733558
O1	126	0	4.23510256733017e-05	1	0.999676148759231
O1	127	0	3.29151403132669e-05	1	0.999709063899544
O1	128	0	2.830420434889e-05	1	0.999737368103893
O1	129	0	2.18939437396746e-05	1	0.999759262047633
O1	130	0	1.9624584156993e-05	1	0.99977888663179
O1	131	0	1.51370284017151e-05	1	0.999794023660191
O1	132	0	1.4421829889718e-05	1	0.999808445490081
O1	133	0	1.11127804571664e-05	1	0.999819558270538
O1	134	0	1.14569134456432e-05	1	0.999831015183984
O1	135	0	8.82627396856638e-06	1	0.999839841457952
O1	136	0	9.93090287329488e-06	1	0.999849772360826
O1	137	0	7.63531630272599e-06	1	0.999857407677128
O1	138	0	9.31963006036328e-06	1	0.999866727307189
O1	139	0	7.12423746243196e-06	1	0.999873851544651
O1	140	0	9.286192840197e-06	1	0.999883137737491
O1	141	0	7.0182690781567e-06	1	0.99989015600657
O1	142	0	9.58922597589654e-06	1	0.999899745232545
O1	143	0	7.12522151861897e-06	1	0.999906870454064
O1	144	0	1.00604786120236e-05	1	0.999916930932676
O1	145	0	7.2931512943653e-06	1	0.99992422408397
O1	146	0	1.05353004093199e-05	1	0.99993475938438
O1	147	0	7.37423059091011e-06	1	0.999942133614971
O1	148	0	1.08532141961751e-05	1	0.999952986829167
O1	149	0	7.18439372805669e-06	1	0.999960171222895
O1	150	0	1.07684043011521e-05	1	0.999970939627196
O1	151	0	6.44019911499207e-06	1	0.999977379826311
O1	152	0	9.91195511418326e-06	1	0.999987291781425
O1	153	0	4.70485546345089e-06	1	0.999991996636889
O1	154	0	8.00336311158875e-06	1	1
O2	22	0	4.31704579047673e-08	0	4.31704579047673e-08
O2	23	0	1.61503683067225e-07	0	2.04674140971992e-07
O2	24	0	5.42923529691075e-07	0	7.47597670663068e-07
O2	25	0	1.66295638578984e-06	0	2.41055405645291e-06
O2	26	0	4.74411484457224e-06	0	7.15466890102515e-06
O2	27	0	1.30024816307218e-05	0	2.0157150531747e-05
O2	28	0	3.55687255242233e-05	0	5.57258760559703e-05
O2	29	0	0.000100310093577514	0	0.000156035969633484
O2	30	0	0.000290517819384697	0	0.000446553789018182
O2	31	0	0.00081721072334496	0	0.00126376451236314
O2	32	0	0.0020748031415701	0	0.00333856765393324
O2	33	0	0.00452795960848784	0	0.00786652726242109
O2	34	0	0.00837099857148394	0	0.016237525833905
O2	35	0	0.0132379072764071	0	0.0294754331103121
O2	36	0	0.0183092152307614	0	0.0477846483410736
O2	37	0	0.0227362553524456	0	0.0705209036935192
O2	38	0	0.0259958754080624	0	0.0965167791015816
O2	39	0	0.0279655980618983	0	0.12448237716348
