segment_id	cohort	lineage_id	lineage_group	lineage_label	scenario_id	lineage_terminal_key	passage_index	lineage_passage_index	oxygen_pct	passage_id	n_cells	mean_loglik	total_loglik
2N-O1-A7	2N	O1	deprived	O1	2N-O1	2N-O1-A23	7	7	0	SUM-159_NLS_2N_O1_A7_seed	19	-2.50248805652306	-47.5472730739382
2N-O1-A19	2N	O1	deprived	O1	2N-O1	2N-O1-A23	19	19	0	SUM-159_NLS_2N_O1_A19_seed	20	-9.39051239531713	-187.810247906343
2N-O2-A7	2N	O2	deprived	O2	2N-O2	2N-O2-A23	7	7	0	SUM-159_NLS_2N_O2_A7_seed	15	-2.52290225156497	-37.8435337734746
2N-O2-A19	2N	O2	deprived	O2	2N-O2	2N-O2-A23	19	19	0	SUM-159_NLS_2N_O2_A19_seed	20	-4.9166389113852	-98.3327782277041
2N-INITIAL-1	2N	INITIAL	initial	INITIAL	2N-INITIAL	2N-INITIAL	0	0	20.5	SUM-159_NLS_2N_A5_seed	20	-2.20717869125513	-44.1435738251026
2N-INITIAL-2	2N	INITIAL	initial	INITIAL	2N-INITIAL	2N-INITIAL	0	0	20.5	SUM-159_NLS_2N_A6M_seed	20	-2.30294152781472	-46.0588305562943
4N-O1-A7	4N	O1	deprived	O1	4N-O1	4N-O1-A22	7	7	0	SUM-159_NLS_4N_O1_A7_seed	12	-3.01531416896351	-36.1837700275622
4N-O1-A17	4N	O1	deprived	O1	4N-O1	4N-O1-A22	17	17	0	SUM-159_NLS_4N_O1_A17_seed	20	-3.17585205633046	-63.5170411266091
4N-O2-A7	4N	O2	deprived	O2	4N-O2	4N-O2-A22	7	7	0	SUM-159_NLS_4N_O2_A7_seed	18	-2.86573294729539	-51.5831930513171
4N-O2-A17	4N	O2	deprived	O2	4N-O2	4N-O2-A22	17	17	0	SUM-159_NLS_4N_O2_A17_seed	20	-3.18981644521362	-63.7963289042724
4N-INITIAL-1	4N	INITIAL	initial	INITIAL	4N-INITIAL	4N-INITIAL	0	0	20.5	SUM-159_NLS_4N_A2_seed	20	-3.14107729154501	-62.8215458309003
4N-INITIAL-2	4N	INITIAL	initial	INITIAL	4N-INITIAL	4N-INITIAL	0	0	20.5	SUM-159_NLS_4N_A4M_seed	16	-2.95371113056097	-47.2593780889756
