seed	cohort	lineage_id	scenario_id	passage_id	chromosome_number	endpoint_state	reseeded_state	reseed_mode	boundary_scale
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	58	101.027282422258	2.78919104188686	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	59	20.5333430171071	0.566890596580945	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	60	3.89690351969653	0.107586862950599	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	61	0.6986201049035	0.0192877101269983	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	62	0.119579344547643	0.00330138185062678	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	63	0.0197423377083811	0.000545052288469654	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	64	0.0032743273519212	9.03985962921602e-05	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	65	0.000729258304388341	2.01335785844462e-05	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	66	0.00121328218158771	3.34966526964583e-05	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	67	0.00213151913108571	5.88476095119124e-05	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	68	0.00946623779998932	0.00026134668813267	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	69	0.016075094224199	0.000443805947587728	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	70	0.066263037060716	0.00182940949164092	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	71	0.102328223333651	0.00282510780267744	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	72	0.390645868198347	0.0107850664692223	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	73	0.547994060402581	0.0151291818173795	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	74	1.94142480291231	0.0535994291734703	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	75	2.4738039227286	0.0682975091007599	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	76	8.14243891678781	0.22479885770749	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	77	9.43217772029097	0.260406347395962	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	78	28.8501613827943	0.796503773599988	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	79	30.4328326772824	0.840198629989247	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	80	86.4506323843518	2.3867545838169	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	81	83.2470603732722	2.29830942186553	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	82	219.329893884994	6.05532446854418	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	83	193.418887833897	5.33996576314092	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	84	471.687371691295	13.022484225535	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	85	382.423169332058	10.5580517711319	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	86	861.006158307657	23.7709122346148	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	87	644.663542524258	17.7980614219072	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	88	1335.96614920348	36.8837478974044	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	89	928.378328830129	25.6309430103447	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	90	1765.06325244977	48.7303874167357	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	91	1144.53515081738	31.5986643730718	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	92	1989.59052015979	54.9292025163898	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	93	1210.6779096818	33.4247531887567	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	94	1917.89636667597	52.9498491589774	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	95	1101.56463054251	30.4123215620781	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	96	1585.46468468078	43.7719771304601	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	97	864.567350883642	23.8692306907113	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	98	1127.72410968344	31.1345401859081	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	99	587.219936243228	16.2121413792097	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	100	692.922809548606	19.1304175146876	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	101	346.454507712798	9.56501834123335	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	102	369.524165064209	10.2019322528143	downsample_to_observed_inoculum	0.0276082952546327
