segment_id	cohort	lineage_id	lineage_group	lineage_label	scenario_id	lineage_terminal_key	passage_index	lineage_passage_index	oxygen_pct	passage_id	sample_name	n_grid	mean_loglik	total_loglik	sigma_flow_ploidy
2N-C-A1	2N	C	control	C	2N-C	2N-C-A12	1	1	20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	200	-2.07450343716349	-2.07450343716349	0.0804020100502587
2N-C-A12	2N	C	control	C	2N-C	2N-C-A12	12	12	20.5	SUM-159_NLS_2N_C_A12_seed	SUM-159_NLS_2N_C_A12	200	-1.3619293087209	-1.3619293087209	0.0804020100502587
2N-O1-A6	2N	O1	deprived	O1	2N-O1	2N-O1-A23	6	6	0.1	SUM-159_NLS_2N_O1_A6_seed	SUM-159_NLS_2N_O1_A6	200	-1.14727402768304	-1.14727402768304	0.0804020100502587
2N-O1-A12	2N	O1	deprived	O1	2N-O1	2N-O1-A23	12	12	0	SUM-159_NLS_2N_O1_A12_seed	SUM-159_NLS_2N_O1_A12	200	-0.656305788304275	-0.656305788304275	0.0804020100502587
2N-O1-A18	2N	O1	deprived	O1	2N-O1	2N-O1-A23	18	18	0	SUM-159_NLS_2N_O1_A18_seed	SUM-159_NLS_2N_O1_A18	200	-0.714701855099228	-0.714701855099228	0.0804020100502587
2N-O1-A23	2N	O1	deprived	O1	2N-O1	2N-O1-A23	23	23	0	SUM-159_NLS_2N_O1_A23_seed	SUM-159_NLS_2N_O1_A23	200	-0.823099997415478	-0.823099997415478	0.0804020100502587
2N-O2-A6	2N	O2	deprived	O2	2N-O2	2N-O2-A23	6	6	0.1	SUM-159_NLS_2N_O2_A6_seed	SUM-159_NLS_2N_O2_A6	200	-1.09751010673056	-1.09751010673056	0.0804020100502587
2N-O2-A12	2N	O2	deprived	O2	2N-O2	2N-O2-A23	12	12	0	SUM-159_NLS_2N_O2_A12_seed	SUM-159_NLS_2N_O2_A12	200	-1.20436296588697	-1.20436296588697	0.0804020100502587
2N-O2-A18	2N	O2	deprived	O2	2N-O2	2N-O2-A23	18	18	0	SUM-159_NLS_2N_O2_A18_seed	SUM-159_NLS_2N_O2_A18	200	-1.72828630075185	-1.72828630075185	0.0804020100502587
2N-O2-A23	2N	O2	deprived	O2	2N-O2	2N-O2-A23	23	23	0	SUM-159_NLS_2N_O2_A23_seed	SUM-159_NLS_2N_O2_A23	200	-1.20602074275897	-1.20602074275897	0.0804020100502587
4N-C-A1	4N	C	control	C	4N-C	4N-C-A12	1	1	20.5	SUM-159_NLS_4N_C_A1_seed	SUM-159_NLS_4N_C_A1_	200	-1.07493573706307	-1.07493573706307	0.0804020100502587
4N-C-A12	4N	C	control	C	4N-C	4N-C-A12	12	12	20.5	SUM-159_NLS_4N_C_A12_seed	SUM-159_NLS_4N_C_A12	200	-0.631768934676776	-0.631768934676776	0.0804020100502587
4N-O1-A6	4N	O1	deprived	O1	4N-O1	4N-O1-A22	6	6	0.1	SUM-159_NLS_4N_O1_A6_seed	SUM-159_NLS_4N_O1_A6	200	-0.243717284902988	-0.243717284902988	0.0804020100502587
4N-O1-A12	4N	O1	deprived	O1	4N-O1	4N-O1-A22	12	12	0	SUM-159_NLS_4N_O1_A12_seed	SUM-159_NLS_4N_O1_A12	200	-0.256474425766225	-0.256474425766225	0.0804020100502587
4N-O1-A19	4N	O1	deprived	O1	4N-O1	4N-O1-A22	19	19	0	SUM-159_NLS_4N_O1_A19_seed	SUM-159_NLS_4N_O1_A19	200	-2.23071736078318	-2.23071736078318	0.0804020100502587
4N-O1-A22	4N	O1	deprived	O1	4N-O1	4N-O1-A22	22	22	0	SUM-159_NLS_4N_O1_A22_seed	SUM-159_NLS_4N_O1_A22	200	-0.288955468192056	-0.288955468192056	0.0804020100502587
4N-O2-A6	4N	O2	deprived	O2	4N-O2	4N-O2-A22	6	6	0.1	SUM-159_NLS_4N_O2_A6_seed	SUM-159_NLS_4N_O2_A6	200	-0.198343643635753	-0.198343643635753	0.0804020100502587
4N-O2-A12	4N	O2	deprived	O2	4N-O2	4N-O2-A22	12	12	0	SUM-159_NLS_4N_O2_A12_seed	SUM-159_NLS_4N_O2_A12	200	-0.823728972887899	-0.823728972887899	0.0804020100502587
4N-O2-A19	4N	O2	deprived	O2	4N-O2	4N-O2-A22	19	19	0	SUM-159_NLS_4N_O2_A19_seed	SUM-159_NLS_4N_O2_A19	200	-1.91294160306171	-1.91294160306171	0.0804020100502587
4N-O2-A22	4N	O2	deprived	O2	4N-O2	4N-O2-A22	22	22	0	SUM-159_NLS_4N_O2_A22_seed	SUM-159_NLS_4N_O2_A22	200	-0.345934868406799	-0.345934868406799	0.0804020100502587
