modality	aggregation_level	cohort	lineage_id	scenario_id	n_units	mean_loglik
growth	lineage	2N	C	2N-C	12	-0.734420930762696
growth	lineage	2N	O1	2N-O1	23	0.313504240393219
growth	lineage	2N	O2	2N-O2	23	0.284736620362497
growth	lineage	4N	C	4N-C	12	-0.7017456453743
growth	lineage	4N	O1	4N-O1	22	0.50469926221037
growth	lineage	4N	O2	4N-O2	22	0.509922842681556
growth	cohort	2N	NA	NA	3	-0.0453933566689933
growth	cohort	4N	NA	NA	3	0.104292153172542
growth	global	NA	NA	NA	2	0.0294493982517743
karyotype	lineage	2N	INITIAL	2N-INITIAL	2	-2.0744451321404
karyotype	lineage	2N	O1	2N-O1	2	-3.32081698265249
karyotype	lineage	2N	O2	2N-O2	2	-3.77093603849317
karyotype	lineage	4N	INITIAL	4N-INITIAL	2	-3.24708525848978
karyotype	lineage	4N	O1	4N-O1	2	-3.11804179519564
karyotype	lineage	4N	O2	4N-O2	2	-3.12321467282123
karyotype	cohort	2N	NA	NA	3	-3.05539938442869
karyotype	cohort	4N	NA	NA	3	-3.16278057550222
karyotype	global	NA	NA	NA	2	-3.10908997996545
flow	lineage	2N	C	2N-C	2	-1.71821637294219
flow	lineage	2N	O1	2N-O1	4	-0.835345417125505
flow	lineage	2N	O2	2N-O2	4	-1.30904502903209
flow	lineage	4N	C	4N-C	2	-0.853352335869924
flow	lineage	4N	O1	4N-O1	4	-0.754966134911113
flow	lineage	4N	O2	4N-O2	4	-0.82023727199804
flow	cohort	2N	NA	NA	3	-1.2875356063666
flow	cohort	4N	NA	NA	3	-0.809518580926359
flow	global	NA	NA	NA	2	-1.04852709364648
