libblockdev-utils	0	2.28	7.el8_10	x86_64
libbpf	0	0.5.0	1.el8	x86_64
libbsd	0	0.12.2	1.el8	x86_64
libbytesize	0	1.4	3.el8	x86_64
libcap	0	2.48	6.el8_9	x86_64
libcap-ng	0	0.7.11	1.el8	i686
libcap-ng	0	0.7.11	1.el8	x86_64
libcgroup	0	0.41	19.el8	x86_64
libcgroup-tools	0	0.41	19.el8	x86_64
libcollection	0	0.7.0	40.el8	x86_64
libcom_err	0	1.45.6	6.el8_10	i686
libcom_err	0	1.45.6	6.el8_10	x86_64
libcom_err-devel	0	1.45.6	6.el8_10	x86_64
libcomps	0	0.1.18	1.el8	x86_64
libcroco	0	0.6.12	4.el8_2.1	x86_64
libcurl	0	7.61.1	34.el8_10.3	x86_64
libdaemon	0	0.14	15.el8	x86_64
libdatrie	0	0.2.9	7.el8	x86_64
libdb	0	5.3.28	42.el8_4	i686
libdb	0	5.3.28	42.el8_4	x86_64
libdb-devel	0	5.3.28	42.el8_4	x86_64
libdb-utils	0	5.3.28	42.el8_4	x86_64
libdhash	0	0.5.0	40.el8	x86_64
libdnet	0	1.12	26.el8	x86_64
libdnf	0	0.63.0	21.el8_10	x86_64
libdrm	0	2.4.115	2.el8	i686
libdrm	0	2.4.115	2.el8	x86_64
libdrm-devel	0	2.4.115	2.el8	x86_64
libedit	0	3.1	23.20170329cvs.el8	x86_64
libepoxy	0	1.5.8	1.el8	x86_64
liberation-fonts-common	1	2.00.3	7.el8	noarch
liberation-mono-fonts	1	2.00.3	7.el8	noarch
libestr	0	0.1.10	3.el8	x86_64
libevdev	0	1.10.0	1.el8	x86_64
libevent	0	2.1.8	5.el8	x86_64
libfastjson	0	0.99.9	2.el8	x86_64
libfdisk	0	2.32.1	46.el8	x86_64
libffi	0	3.1	24.el8	i686
libffi	0	3.1	24.el8	x86_64
libffi-devel	0	3.1	24.el8	x86_64
libfontenc	0	1.1.3	8.el8	x86_64
libgcab1	0	1.1	1.el8	x86_64
libgcc	0	8.5.0	26.el8_10	i686
libgcc	0	8.5.0	26.el8_10	x86_64
libgcrypt	0	1.8.5	7.el8_6	x86_64
libgfortran	0	8.5.0	26.el8_10	x86_64
libglvnd	1	1.3.4	2.el8	x86_64
libglvnd-core-devel	1	1.3.4	2.el8	x86_64
libglvnd-devel	1	1.3.4	2.el8	x86_64
libglvnd-egl	1	1.3.4	2.el8	x86_64
libglvnd-gles	1	1.3.4	2.el8	x86_64
libglvnd-glx	1	1.3.4	2.el8	x86_64
libglvnd-opengl	1	1.3.4	2.el8	x86_64
libgomp	0	8.5.0	26.el8_10	x86_64
libgpg-error	0	1.31	1.el8	x86_64
libgs	0	9.27	17.el8_10	x86_64
libgudev	0	232	4.el8	x86_64
libgusb	0	0.3.0	1.el8	x86_64
libibumad	0	48.0	1.el8	x86_64
libibverbs	0	48.0	1.el8	x86_64
libibverbs-utils	0	48.0	1.el8	x86_64
libical	0	3.0.3	3.el8	x86_64
libicu	0	60.3	2.el8_1	x86_64
libicu-devel	0	60.3	2.el8_1	x86_64
libidn	0	1.34	5.el8	x86_64
libidn2	0	2.2.0	1.el8	x86_64
libijs	0	0.35	5.el8	x86_64
libini_config	0	1.3.1	40.el8	x86_64
libinput	0	1.16.3	3.el8_6	x86_64
libipa_hbac	0	2.9.4	5.el8_10.2	x86_64
libipt	0	1.6.1	8.el8	x86_64
libjpeg-turbo	0	1.5.3	14.el8_10	i686
libjpeg-turbo	0	1.5.3	14.el8_10	x86_64
libjwt	0	1.12.1	7.el8	x86_64
libkadm5	0	1.18.2	32.el8_10	x86_64
libkcapi	0	1.4.0	2.el8	x86_64
libkcapi-hmaccalc	0	1.4.0	2.el8	x86_64
libksba	0	1.3.5	9.el8_7	x86_64
libldb	0	2.8.0	1.el8_10	x86_64
liblockfile	0	1.14	2.el8	x86_64
libmaxminddb	0	1.2.0	10.el8_9.1	x86_64
libmaxminddb-devel	0	1.2.0	10.el8_9.1	x86_64
libmcpp	0	2.7.2	20.el8	x86_64
libmd	0	1.1.0	1.el8	x86_64
libmetalink	0	0.1.3	7.el8	x86_64
libmnl	0	1.0.4	6.el8	x86_64
libmodman	0	2.0.1	17.el8	x86_64
libmodulemd	0	2.13.0	1.el8	x86_64
libmount	0	2.32.1	46.el8	x86_64
libmpc	0	1.1.0	9.1.el8	x86_64
libmspack	0	0.7	0.3.alpha.el8.4	x86_64
libndp	0	1.7	7.el8_10	x86_64
libnet	0	1.1.6	15.el8	x86_64
libnetfilter_conntrack	0	1.0.6	5.el8	x86_64
libnfnetlink	0	1.0.1	13.el8	x86_64
libnfsidmap	1	2.3.3	64.el8_10	x86_64
libnftnl	0	1.2.2	3.el8	x86_64
libnghttp2	0	1.33.0	6.el8_10.1	x86_64
libnl3	0	3.7.0	1.el8	i686
libnl3	0	3.7.0	1.el8	x86_64
libnl3-cli	0	3.7.0	1.el8	x86_64
libnl3-devel	0	3.7.0	1.el8	x86_64
libnsl	0	2.28	251.el8_10.25	x86_64
libnsl2	0	1.2.0	2.20180605git4a062cf.el8	i686
libnsl2	0	1.2.0	2.20180605git4a062cf.el8	x86_64
libnvidia-container-tools	0	1.13.5	1	x86_64
libnvidia-container1	0	1.13.5	1	x86_64
libogg	2	1.3.2	10.el8	x86_64
libpaper	0	1.1.24	22.el8	x86_64
libpath_utils	0	0.2.1	40.el8	x86_64
libpcap	14	1.9.1	5.el8	x86_64
libpciaccess	0	0.14	1.el8	i686
libpciaccess	0	0.14	1.el8	x86_64
libpciaccess-devel	0	0.14	1.el8	x86_64
libpfm	0	4.13.0	4.el8	x86_64
libpipeline	0	1.5.0	2.el8	x86_64
libpkgconf	0	1.4.2	1.el8	x86_64
libpng	2	1.6.34	5.el8	x86_64
libproxy	0	0.4.15	5.5.el8_10	x86_64
libpsl	0	0.20.2	6.el8	x86_64
libpsm2	0	11.2.230	1.el8.1	x86_64
libpwquality	0	1.4.4	6.el8	x86_64
libquadmath	0	8.5.0	26.el8_10	x86_64
libquadmath-devel	0	8.5.0	26.el8_10	x86_64
librdmacm	0	48.0	1.el8	x86_64
librdmacm-utils	0	48.0	1.el8	x86_64
libref_array	0	0.1.5	40.el8	x86_64
librepo	0	1.14.2	5.el8	x86_64
libreport-filesystem	0	2.9.5	15.el8	x86_64
librhsm	0	0.0.3	5.el8	x86_64
librsvg2	0	2.42.7	5.el8	x86_64
libseccomp	0	2.5.2	1.el8	x86_64
libsecret	0	0.18.6	1.el8	x86_64
libselinux	0	2.9	10.el8_10	i686
libselinux	0	2.9	10.el8_10	x86_64
libselinux-devel	0	2.9	10.el8_10	x86_64
libselinux-ruby	0	2.9	10.el8_10	x86_64
libselinux-utils	0	2.9	10.el8_10	x86_64
libsemanage	0	2.9	12.el8_10	x86_64
libsepol	0	2.9	3.el8	i686
libsepol	0	2.9	3.el8	x86_64
libsepol-devel	0	2.9	3.el8	x86_64
libsigsegv	0	2.11	5.el8	x86_64
libslirp	0	4.4.0	2.module+el8.10.0+23320+f7205097	x86_64
libsmartcols	0	2.32.1	46.el8	x86_64
libsmbclient	0	4.19.4	9.el8_10	x86_64
libsmbios	0	2.4.1	2.el8	x86_64
libsndfile	0	1.0.28	16.el8_10	x86_64
libsolv	0	0.7.20	6.el8	x86_64
libsoup	0	2.62.3	9.el8_10	x86_64
libss	0	1.45.6	6.el8_10	x86_64
libssh	0	0.9.6	14.el8	x86_64
libssh-config	0	0.9.6	14.el8	noarch
libsss_autofs	0	2.9.4	5.el8_10.2	x86_64
libsss_certmap	0	2.9.4	5.el8_10.2	x86_64
libsss_idmap	0	2.9.4	5.el8_10.2	x86_64
libsss_nss_idmap	0	2.9.4	5.el8_10.2	x86_64
libsss_simpleifp	0	2.9.4	5.el8_10.2	x86_64
libsss_sudo	0	2.9.4	5.el8_10.2	x86_64
libstdc++	0	8.5.0	26.el8_10	i686
libstdc++	0	8.5.0	26.el8_10	x86_64
libstdc++-devel	0	8.5.0	26.el8_10	x86_64
libsysfs	0	2.1.0	25.el8	x86_64
libtalloc	0	2.4.1	0.el8	x86_64
libtasn1	0	4.13	5.el8_10	x86_64
libtdb	0	1.4.9	0.el8	x86_64
libteam	0	1.31	4.el8	x86_64
libtevent	0	0.16.0	0.el8	x86_64
libthai	0	0.1.27	2.el8	x86_64
libtiff	0	4.0.9	34.el8_10	x86_64
libtirpc	0	1.1.4	12.el8_10	i686
libtirpc	0	1.1.4	12.el8_10	x86_64
libtool	0	2.4.6	25.el8	x86_64
libtool-ltdl	0	2.4.6	25.el8	x86_64
libudisks2	0	2.9.0	16.el8	x86_64
libunistring	0	0.9.9	3.el8	x86_64
libusbx	0	1.0.23	4.el8	x86_64
libuser	0	0.62	26.el8_10	x86_64
libutempter	0	1.1.6	14.el8	x86_64
libuuid	0	2.32.1	46.el8	x86_64
libuuid-devel	0	2.32.1	46.el8	x86_64
libverto	0	0.3.2	2.el8	i686
libverto	0	0.3.2	2.el8	x86_64
libverto-devel	0	0.3.2	2.el8	x86_64
libverto-libevent	0	0.3.2	2.el8	x86_64
libvorbis	1	1.3.6	2.el8	x86_64
libwacom	0	1.6	3.el8	x86_64
libwacom-data	0	1.6	3.el8	noarch
libwayland-client	0	1.21.0	1.el8	i686
libwayland-client	0	1.21.0	1.el8	x86_64
libwayland-cursor	0	1.21.0	1.el8	x86_64
libwayland-egl	0	1.21.0	1.el8	x86_64
libwayland-server	0	1.21.0	1.el8	i686
libwayland-server	0	1.21.0	1.el8	x86_64
libwbclient	0	4.19.4	9.el8_10	x86_64
libwebp	0	1.0.0	11.el8_10	x86_64
libxcb	0	1.13.1	1.el8	i686
libxcb	0	1.13.1	1.el8	x86_64
libxcb-devel	0	1.13.1	1.el8	x86_64
libxcrypt	0	4.1.1	6.el8	i686
libxcrypt	0	4.1.1	6.el8	x86_64
libxcrypt-devel	0	4.1.1	6.el8	i686
libxcrypt-devel	0	4.1.1	6.el8	x86_64
libxcrypt-static	0	4.1.1	6.el8	x86_64
libxkbcommon	0	0.9.1	1.el8	x86_64
libxkbfile	0	1.1.0	1.el8	x86_64
libxml2	0	2.9.7	21.el8_10.3	x86_64
libxml2-devel	0	2.9.7	21.el8_10.3	x86_64
libxmlb	0	0.1.15	1.el8	x86_64
libxshmfence	0	1.3	2.el8	x86_64
libxshmfence-devel	0	1.3	2.el8	x86_64
libxslt	0	1.1.32	6.2.el8_10	x86_64
libyaml	0	0.1.7	5.el8	x86_64
libzstd	0	1.4.4	1.el8	i686
libzstd	0	1.4.4	1.el8	x86_64
libzstd-devel	0	1.4.4	1.el8	x86_64
linux-firmware	0	20250626	131.gitb05fabcd.el8_10	noarch
lksctp-tools	0	1.0.18	3.el8	x86_64
llvm-compat-libs	0	17.0.6	3.module+el8.10.0+22218+ed012fd4	x86_64
llvm-libs	0	19.1.7	2.module+el8.10.0+23045+e1f8e80e	x86_64
lm_sensors-devel	0	3.4.0	23.20180522git70f7e08.el8	x86_64
lm_sensors-libs	0	3.4.0	23.20180522git70f7e08.el8	x86_64
lmdb-libs	0	0.9.24	2.el8	x86_64
lockdev	0	1.0.4	0.28.20111007git.el8	x86_64
logrotate	0	3.14.0	6.el8	x86_64
lrzsz	0	0.12.20	43.el8	x86_64
lshw	0	B.02.19.2	6.el8	x86_64
lsof	0	4.93.2	1.el8	x86_64
lsscsi	0	0.32	3.el8	x86_64
ltrace	0	0.7.91	28.el8	x86_64
lua	0	5.3.4	12.el8	x86_64
lua-filesystem	0	1.6.3	7.el8	x86_64
lua-json	0	1.3.2	9.el8	noarch
lua-libs	0	5.3.4	12.el8	x86_64
lua-lpeg	0	1.0.1	6.el8	x86_64
lua-posix	0	33.3.1	9.el8	x86_64
lua-tcl2lua	0	8.5	100088_cm9.2_161d79f361	x86_64
lua-term	0	0.07	23_cm9.2	x86_64
lvm2	8	2.03.14	15.el8_10.2	x86_64
lvm2-libs	8	2.03.14	15.el8_10.2	x86_64
lynx	0	2.8.9	2.el8	x86_64
lz4-libs	0	1.8.3	5.el8_10	x86_64
lzo	0	2.08	14.el8	x86_64
m4	0	1.4.18	7.el8	x86_64
mailcap	0	2.1.48	3.el8	noarch
mailx	0	12.5	29.el8	x86_64
make	1	4.2.1	11.el8	x86_64
man-db	0	2.7.6.1	18.el8	x86_64
man-pages	0	4.15	7.el8	x86_64
man-pages-overrides	0	8.9.0.0	1.el8	noarch
mariadb-connector-c	0	3.1.11	2.el8_3	x86_64
mariadb-connector-c-config	0	3.1.11	2.el8_3	noarch
mariadb-connector-c-devel	0	3.1.11	2.el8_3	x86_64
mariadb-devel	3	10.3.39	1.module+el8.8.0+19673+72b0d35f	x86_64
mc	1	4.8.19	9.el8	x86_64
mcelog	3	195	0.el8	x86_64
mcpp	0	2.7.2	20.el8	x86_64
mdadm	0	4.2	16.el8_10	x86_64
memstrack	0	0.2.5	2.el8	x86_64
mesa-libEGL	0	23.1.4	4.el8_10	x86_64
mesa-libGL	0	23.1.4	4.el8_10	x86_64
mesa-libGL-devel	0	23.1.4	4.el8_10	x86_64
mesa-libGLU	0	9.0.0	15.el8	x86_64
mesa-libGLU-devel	0	9.0.0	15.el8	x86_64
mesa-libOSMesa	0	23.1.4	4.el8_10	x86_64
mesa-libgbm	0	23.1.4	4.el8_10	i686
mesa-libgbm	0	23.1.4	4.el8_10	x86_64
mesa-libglapi	0	23.1.4	4.el8_10	x86_64
microcode_ctl	4	20250512	1.el8_10	x86_64
minicom	0	2.7.1	9.el8	x86_64
mod_http2	0	1.15.7	10.module+el8.10.0+22750+88d36e3a.3	x86_64
mokutil	1	0.3.0	12.el8	x86_64
motif	0	2.3.4	23.el8_10	x86_64
mozjs60	0	60.9.0	4.el8	x86_64
mpdecimal	0	2.5.1	3.el8	x86_64
mpfr	0	3.1.6	1.el8	x86_64
mtdev	0	1.1.5	12.el8	x86_64
munge	0	0.5.16	100105_cm9.2_5d73dc5e7e	x86_64
mysql++	0	3.3.0	505_cm9.2	x86_64
nano	0	2.9.8	3.el8_10	x86_64
ncurses	0	6.1	10.20180224.el8	x86_64
ncurses-base	0	6.1	10.20180224.el8	noarch
ncurses-c++-libs	0	6.1	10.20180224.el8	x86_64
ncurses-compat-libs	0	6.1	10.20180224.el8	x86_64
ncurses-devel	0	6.1	10.20180224.el8	x86_64
ncurses-libs	0	6.1	10.20180224.el8	i686
ncurses-libs	0	6.1	10.20180224.el8	x86_64
net-snmp	1	5.8	30.el8	x86_64
net-snmp-agent-libs	1	5.8	30.el8	x86_64
net-snmp-devel	1	5.8	30.el8	x86_64
net-snmp-libs	1	5.8	30.el8	x86_64
net-snmp-recent	2	5.9.1	278_cm9.2	x86_64
net-tools	0	2.0	0.52.20160912git.el8	x86_64
nettle	0	3.4.1	7.el8	x86_64
network-scripts	0	10.00.18	1.el8	x86_64
network-scripts-team	0	1.31	4.el8	x86_64
newt	0	0.52.20	11.el8	x86_64
nfs-utils	1	2.3.3	64.el8_10	x86_64
nftables	1	1.0.4	7.el8_10	x86_64
nginx-filesystem	1	1.14.1	9.module+el8.0.0+4108+af250afe	noarch
nmap-ncat	2	7.92	1.el8	x86_64
npth	0	1.5	4.el8	x86_64
nscd	0	2.28	251.el8_10.25	x86_64
nspr	0	4.35.0	1.el8_8	x86_64
nss	0	3.101.0	11.el8_8	x86_64
nss-pam-ldapd	0	0.9.9	5.el8	x86_64
nss-softokn	0	3.101.0	11.el8_8	x86_64
nss-softokn-freebl	0	3.101.0	11.el8_8	i686
nss-softokn-freebl	0	3.101.0	11.el8_8	x86_64
nss-sysinit	0	3.101.0	11.el8_8	x86_64
nss-tools	0	3.101.0	11.el8_8	x86_64
nss-util	0	3.101.0	11.el8_8	x86_64
ntsysv	0	1.19.2	1.el8	x86_64
numactl	0	2.0.16	4.el8	x86_64
numactl-libs	0	2.0.16	4.el8	i686
numactl-libs	0	2.0.16	4.el8	x86_64
nvidia-container-runtime	0	3.13.0	1	noarch
nvidia-container-toolkit	0	1.13.5	1	x86_64
nvidia-container-toolkit-base	0	1.13.5	1	x86_64
nvtop	0	3.3.1	2.el8	x86_64
ocaml-srpm-macros	0	5	4.el8	noarch
oddjob	0	0.34.7	3.el8	x86_64
oddjob-mkhomedir	0	0.34.7	3.el8	x86_64
oniguruma	0	6.8.2	3.el8	x86_64
opa-address-resolution	1	10.12.1.0.6	1.el8.1	x86_64
opa-basic-tools	1	10.12.1.0.6	1.el8.1	x86_64
opa-fastfabric	1	10.12.1.0.6	1.el8.1	x86_64
opa-fm	1	10.12.1.0.6	1.el8	x86_64
opa-libopamgt	1	10.12.1.0.6	1.el8.1	x86_64
open-vm-tools	0	12.3.5	2.el8	x86_64
openblas-srpm-macros	0	2	2.el8	noarch
openjpeg2	0	2.4.0	5.el8	x86_64
openldap	0	2.4.46	21.el8_10	x86_64
openldap-clients	0	2.4.46	21.el8_10	x86_64
openldap-servers	0	2.4.59	100211_cm9.2_0fccbb511a	x86_64
openpbs20-client	0	20.0.1	100463_cm9.2_05eade775e	x86_64
opensm	0	3.3.24	1.el8	x86_64
opensm-devel	0	3.3.24	1.el8	x86_64
opensm-libs	0	3.3.24	1.el8	x86_64
openssh	0	8.0p1	25.el8_10	x86_64
openssh-clients	0	8.0p1	25.el8_10	x86_64
openssh-server	0	8.0p1	25.el8_10	x86_64
openssl	1	1.1.1k	14.el8_6	x86_64
openssl-devel	1	1.1.1k	14.el8_6	x86_64
openssl-libs	1	1.1.1k	14.el8_6	i686
openssl-libs	1	1.1.1k	14.el8_6	x86_64
openssl-pkcs11	0	0.4.10	3.el8	i686
openssl-pkcs11	0	0.4.10	3.el8	x86_64
os-prober	0	1.74	9.el8	x86_64
p11-kit	0	0.23.22	2.el8	x86_64
p11-kit-trust	0	0.23.22	2.el8	x86_64
p7zip	0	16.02	31.el8	x86_64
p7zip-plugins	0	16.02	31.el8	x86_64
pam	0	1.3.1	37.el8_10	i686
pam	0	1.3.1	37.el8_10	x86_64
pam-devel	0	1.3.1	37.el8_10	x86_64
pango	0	1.42.4	8.el8	x86_64
papi	0	5.6.0	20.el8	x86_64
papi-libs	0	5.6.0	20.el8	x86_64
parted	0	3.4	112_cm9.2	x86_64
passwd	0	0.80	4.el8	x86_64
patch	0	2.7.6	11.el8	x86_64
patchutils	0	0.3.4	10.el8	x86_64
pbspro2020-client	0	2020.1.4.20210506140333	100386_cm9.1_675ce1720c	x86_64
pciutils	0	3.7.0	3.el8	x86_64
pciutils-libs	0	3.7.0	3.el8	x86_64
pcre	0	8.42	6.el8	i686
pcre	0	8.42	6.el8	x86_64
pcre-cpp	0	8.42	6.el8	x86_64
pcre-devel	0	8.42	6.el8	x86_64
pcre-utf16	0	8.42	6.el8	x86_64
pcre-utf32	0	8.42	6.el8	x86_64
pcre2	0	10.32	3.el8_6	i686
pcre2	0	10.32	3.el8_6	x86_64
pcre2-devel	0	10.32	3.el8_6	x86_64
pcre2-utf16	0	10.32	3.el8_6	x86_64
pcre2-utf32	0	10.32	3.el8_6	x86_64
pcsc-lite-libs	0	1.9.5	1.el8	x86_64
pdsh	0	2.34	74_cm9.2	x86_64
pdsh-rcmd-ssh	0	2.34	74_cm9.2	x86_64
perftest	0	23.07.0.0.27	1.el8	x86_64
perl	4	5.26.3	423.el8_10	x86_64
perl-Algorithm-Diff	0	1.1903	9.el8	noarch
perl-Archive-Tar	0	2.30	1.el8	noarch
perl-Archive-Zip	0	1.60	3.el8	noarch
perl-Attribute-Handlers	0	0.99	423.el8_10	noarch
perl-B-Debug	0	1.26	2.el8	noarch
perl-CPAN	0	2.18	402.el8_10	noarch
perl-CPAN-Meta	0	2.150010	396.el8	noarch
perl-CPAN-Meta-Requirements	0	2.140	396.el8	noarch
perl-CPAN-Meta-YAML	0	0.018	397.el8	noarch
perl-Carp	0	1.42	396.el8	noarch
perl-Compress-Bzip2	0	2.26	6.el8	x86_64
perl-Compress-Raw-Bzip2	0	2.081	1.el8	x86_64
perl-Compress-Raw-Zlib	0	2.081	1.el8	x86_64
perl-Config-IniFiles	0	2.88	82_cm9.2	x86_64
perl-Config-Perl-V	0	0.30	1.el8	noarch
perl-DBI	0	1.641	4.module+el8.6.0+13388+70c0920f	x86_64
perl-DB_File	0	1.842	1.el8	x86_64
perl-Data-Dump	0	1.23	7.module+el8.3.0+6498+9eecfe51	noarch
perl-Data-Dumper	0	2.167	399.el8	x86_64
perl-Data-OptList	0	0.110	6.el8	noarch
perl-Data-Section	0	0.200007	3.el8	noarch
perl-Data-UUID	0	1.221	10.el8	x86_64
perl-Devel-PPPort	0	3.36	5.el8	x86_64
perl-Devel-Peek	0	1.26	423.el8_10	x86_64
perl-Devel-SelfStubber	0	1.06	423.el8_10	noarch
perl-Devel-Size	0	0.81	2.el8	x86_64
perl-Digest	0	1.17	395.el8	noarch
perl-Digest-HMAC	0	1.03	17.module+el8.3.0+6498+9eecfe51	noarch
perl-Digest-MD5	0	2.55	396.el8	x86_64
perl-Digest-SHA	1	6.02	1.el8	x86_64
perl-Encode	4	2.97	3.el8	x86_64
perl-Encode-Locale	0	1.05	10.module+el8.3.0+6498+9eecfe51	noarch
perl-Encode-devel	4	2.97	3.el8	x86_64
perl-Env	0	1.04	395.el8	noarch
perl-Errno	0	1.28	423.el8_10	x86_64
perl-Error	1	0.17025	2.el8	noarch
perl-Exporter	0	5.72	396.el8	noarch
perl-Exporter-Tiny	0	1.000000	4.el8	noarch
perl-ExtUtils-CBuilder	1	0.280230	2.el8	noarch
perl-ExtUtils-Command	1	7.34	1.el8	noarch
perl-ExtUtils-Embed	0	1.34	423.el8_10	noarch
perl-ExtUtils-Install	0	2.14	4.el8	noarch
perl-ExtUtils-MM-Utils	1	7.34	1.el8	noarch
perl-ExtUtils-MakeMaker	1	7.34	1.el8	noarch
perl-ExtUtils-Manifest	0	1.70	395.el8	noarch
perl-ExtUtils-Miniperl	0	1.06	423.el8_10	noarch
perl-ExtUtils-ParseXS	1	3.35	2.el8	noarch
perl-Fedora-VSP	0	0.001	9.el8	noarch
perl-File-Fetch	0	0.56	2.el8	noarch
perl-File-HomeDir	0	1.002	4.el8	noarch
perl-File-Listing	0	6.04	17.module+el8.3.0+6498+9eecfe51	noarch
perl-File-Path	0	2.15	2.el8	noarch
perl-File-Temp	0	0.230.600	1.el8	noarch
perl-File-Which	0	1.22	2.el8	noarch
perl-Filter	2	1.58	2.el8	x86_64
perl-Filter-Simple	0	0.94	2.el8	noarch
perl-Getopt-Long	1	2.50	4.el8	noarch
perl-Git	0	2.43.7	1.el8_10	noarch
perl-HTML-Parser	0	3.72	15.module+el8.3.0+6498+9eecfe51	x86_64
perl-HTML-Tagset	0	3.20	34.module+el8.3.0+6498+9eecfe51	noarch
perl-HTTP-Cookies	0	6.04	2.module+el8.3.0+6498+9eecfe51	noarch
perl-HTTP-Daemon	0	6.01	23.el8	noarch
perl-HTTP-Date	0	6.02	19.module+el8.3.0+6498+9eecfe51	noarch
perl-HTTP-Message	0	6.18	1.module+el8.3.0+6498+9eecfe51	noarch
perl-HTTP-Negotiate	0	6.01	19.module+el8.3.0+6498+9eecfe51	noarch
perl-HTTP-Tiny	0	0.074	3.el8	noarch
perl-IO	0	1.38	423.el8_10	x86_64
perl-IO-Compress	0	2.081	1.el8	noarch
perl-IO-HTML	0	1.001	11.module+el8.3.0+6498+9eecfe51	noarch
perl-IO-Socket-IP	0	0.39	5.el8	noarch
perl-IO-Socket-SSL	0	2.066	4.module+el8.3.0+6446+594cad75	noarch
perl-IO-Zlib	1	1.10	423.el8_10	noarch
perl-IPC-Cmd	2	1.02	1.el8	noarch
perl-IPC-SysV	0	2.07	397.el8	x86_64
perl-IPC-System-Simple	0	1.25	17.el8	noarch
perl-JSON	0	2.97.001	2.el8	noarch
perl-JSON-PP	1	2.97.001	3.el8	noarch
perl-LWP-MediaTypes	0	6.02	15.module+el8.3.0+6498+9eecfe51	noarch
perl-LWP-Protocol-https	0	6.07	4.module+el8.3.0+6498+9eecfe51	noarch
perl-List-MoreUtils	0	0.428	2.el8	noarch
perl-List-MoreUtils-XS	0	0.428	3.el8	x86_64
perl-Locale-Codes	0	3.57	1.el8	noarch
perl-Locale-Maketext	0	1.28	396.el8	noarch
perl-Locale-Maketext-Simple	1	0.21	423.el8_10	noarch
perl-MIME-Base64	0	3.15	396.el8	x86_64
perl-MRO-Compat	0	0.13	4.el8	noarch
perl-Math-BigInt	1	1.9998.11	7.el8	noarch
perl-Math-BigInt-FastCalc	0	0.500.600	6.el8	x86_64
perl-Math-BigRat	0	0.2614	1.el8	noarch
perl-Math-Complex	0	1.59	423.el8_10	noarch
perl-Memoize	0	1.03	423.el8_10	noarch
perl-Module-Build	2	0.42.24	5.el8	noarch
perl-Module-CoreList	1	5.20181130	1.el8	noarch
perl-Module-CoreList-tools	1	5.20181130	1.el8	noarch
perl-Module-Load	1	0.32	395.el8	noarch
perl-Module-Load-Conditional	0	0.68	395.el8	noarch
perl-Module-Loaded	1	0.08	423.el8_10	noarch
perl-Module-Metadata	0	1.000033	395.el8	noarch
perl-Mozilla-CA	0	20160104	7.module+el8.3.0+6498+9eecfe51	noarch
perl-NTLM	0	1.09	17.module+el8.3.0+6498+9eecfe51	noarch
perl-Net-HTTP	0	6.17	2.module+el8.3.0+6498+9eecfe51	noarch
perl-Net-Ping	0	2.55	423.el8_10	noarch
perl-Net-SSLeay	0	1.88	2.module+el8.6.0+13392+f0897f98	x86_64
perl-Package-Generator	0	1.106	11.el8	noarch
perl-Params-Check	1	0.38	395.el8	noarch
perl-Params-Util	0	1.07	22.el8	x86_64
perl-PathTools	0	3.74	1.el8	x86_64
perl-Perl-OSType	0	1.010	396.el8	noarch
perl-PerlIO-via-QuotedPrint	0	0.08	395.el8	noarch
perl-Pod-Checker	4	1.73	395.el8	noarch
perl-Pod-Escapes	1	1.07	395.el8	noarch
perl-Pod-Html	0	1.22.02	423.el8_10	noarch
perl-Pod-Parser	0	1.63	396.el8	noarch
perl-Pod-Perldoc	0	3.28	396.el8	noarch
perl-Pod-Simple	1	3.35	395.el8	noarch
perl-Pod-Usage	4	1.69	395.el8	noarch
perl-Scalar-List-Utils	3	1.49	2.el8	x86_64
perl-SelfLoader	0	1.23	423.el8_10	noarch
perl-Socket	4	2.027	3.el8	x86_64
perl-Software-License	0	0.103013	2.el8	noarch
perl-Storable	1	3.11	3.el8	x86_64
perl-String-ShellQuote	0	1.04	24.module+el8.10.0+22411+e14e3526	noarch
perl-Sub-Exporter	0	0.987	15.el8	noarch
perl-Sub-Install	0	0.928	14.el8	noarch
perl-Sys-Syslog	0	0.35	397.el8	x86_64
perl-Term-ANSIColor	0	4.06	396.el8	noarch
perl-Term-Cap	0	1.17	395.el8	noarch
perl-TermReadKey	0	2.37	7.el8	x86_64
perl-Test	0	1.30	423.el8_10	noarch
perl-Test-Harness	1	3.42	1.el8	noarch
perl-Test-Simple	1	1.302135	1.el8	noarch
perl-Text-Balanced	0	2.03	395.el8	noarch
perl-Text-Diff	0	1.45	2.el8	noarch
perl-Text-Glob	0	0.11	4.el8	noarch
perl-Text-ParseWords	0	3.30	395.el8	noarch
perl-Text-Tabs+Wrap	0	2013.0523	395.el8	noarch
perl-Text-Template	0	1.51	1.el8	noarch
perl-Text-Unidecode	0	1.30	5.el8	noarch
perl-Thread-Queue	0	3.13	1.el8	noarch
perl-Time-HiRes	4	1.9758	2.el8	x86_64
perl-Time-Local	1	1.280	1.el8	noarch
perl-Time-Piece	0	1.31	423.el8_10	x86_64
perl-TimeDate	1	2.30	15.module+el8.3.0+6498+9eecfe51	noarch
perl-Try-Tiny	0	0.30	7.module+el8.3.0+6498+9eecfe51	noarch
perl-URI	0	1.73	3.el8	noarch
perl-Unicode-Collate	0	1.25	2.el8	x86_64
perl-Unicode-EastAsianWidth	0	1.33	13.el8	noarch
