N	output	parameter	O2_pct	replicates	S1_mean	S1_range	ST_mean	ST_range	S1_delta_vs_max_N	ST_delta_vs_max_N
129	dominant_growth_rate	O2_crit	1.025	2	0.2975902654	0.0208855318	0.861242474	0.1667193686	0.2060405456	0.6472903995
129	dominant_growth_rate	O2_crit	1.050	2	0.2982320451	0.0211763747	0.8651319468	0.1666276418	0.2066180962	0.6500045301
129	dominant_growth_rate	O2_crit	1.075	2	0.2987400188	0.0212467755	0.8681507585	0.1672473424	0.2070624349	0.6517429776
129	dominant_growth_rate	O2_crit	1.100	2	0.2990703505	0.0212173139	0.8704016719	0.1684233876	0.2073838656	0.6528373458
129	dominant_growth_rate	O2_crit	1.125	2	0.2991800338	0.0211849099	0.8721338247	0.1697036137	0.2075392241	0.6535262845
129	dominant_growth_rate	O2_crit	1.150	2	0.2993282072	0.0206523557	0.8737894664	0.1702687891	0.2077857608	0.6542487194
129	dominant_growth_rate	O2_crit	1.175	2	0.2996062982	0.0194703749	0.8755284559	0.1698699203	0.2081594288	0.6550261463
129	dominant_growth_rate	O2_crit	1.200	2	0.2998379752	0.0180226211	0.8771669212	0.1689370861	0.2085080351	0.6557394728
129	dominant_growth_rate	O2_crit	1.225	2	0.3000254802	0.0163410136	0.8787852743	0.1673867492	0.2088338312	0.6564818541
129	dominant_growth_rate	O2_crit	1.250	2	0.3000841491	0.0146162632	0.8801291662	0.1658003364	0.2090683064	0.6570296885
129	dominant_growth_rate	O2_crit	1.275	2	0.3000167277	0.0128919148	0.8812421521	0.1641547099	0.209211575	0.6574873726
129	dominant_growth_rate	O2_crit	1.300	2	0.2998249766	0.0111903615	0.8821208106	0.16252986	0.2092684296	0.6578236707
129	dominant_growth_rate	O2_crit	1.325	2	0.2995164258	0.0095328163	0.8828037697	0.1609141861	0.2092214311	0.6580251613
129	dominant_growth_rate	O2_crit	1.350	2	0.2990994323	0.0079391348	0.8833161083	0.1592992543	0.2090679986	0.6581130812
129	dominant_growth_rate	O2_crit	1.375	2	0.2985821165	0.0064217417	0.8836608425	0.1577294494	0.2088416018	0.6580919444
129	dominant_growth_rate	O2_crit	1.400	2	0.2980195687	0.0050532554	0.883812883	0.1560470463	0.2086011428	0.6579481074
129	dominant_growth_rate	O2_crit	1.425	2	0.2974895905	0.0039995566	0.8836082242	0.154010922	0.2084097668	0.6575236561
129	dominant_growth_rate	O2_crit	1.450	2	0.2968796336	0.0030035727	0.883248482	0.1518972082	0.2081641543	0.6570145148
129	dominant_growth_rate	O2_crit	1.475	2	0.2961892643	0.002072445	0.8827176316	0.1497557898	0.2078659156	0.6563940675
129	dominant_growth_rate	O2_crit	1.500	2	0.2954144746	0.0012209961	0.8821494812	0.1473452123	0.2075091675	0.6557948084
129	dominant_growth_rate	O2_crit	1.525	2	0.2945103488	0.0005483368	0.8817563873	0.1442891675	0.2070495463	0.655433579
129	dominant_growth_rate	O2_crit	1.550	2	0.2935401887	5.67178e-05	0.8812126774	0.1412309775	0.2065495869	0.6549919253
129	dominant_growth_rate	O2_crit	1.575	2	0.2925095049	0.0006037351	0.8805095813	0.1382198667	0.2060122557	0.6544521703
129	dominant_growth_rate	O2_crit	1.600	2	0.2914286957	0.0010988963	0.8796698639	0.1352382639	0.2054465245	0.6538367717
129	dominant_growth_rate	O2_crit	1.625	2	0.2905585123	0.0020553313	0.8782508783	0.1331859861	0.205111284	0.6526943304
129	dominant_growth_rate	O2_crit	1.650	2	0.2895873109	0.002845602	0.8766130908	0.1313569989	0.2046937081	0.651392805
129	dominant_growth_rate	O2_crit	1.675	2	0.2885697422	0.0035657489	0.8748192786	0.129657921	0.2042452149	0.6499813302
129	dominant_growth_rate	O2_crit	1.700	2	0.2875001377	0.0042164127	0.8728597322	0.1280812173	0.2037597942	0.6484497212
129	dominant_growth_rate	O2_crit	1.725	2	0.2863846013	0.0047921884	0.8707487873	0.1266468594	0.2032416119	0.6468224766
129	dominant_growth_rate	O2_crit	1.750	2	0.2852286068	0.0052951381	0.8685119735	0.1253159733	0.2026924118	0.645159967
129	dominant_growth_rate	O2_crit	1.775	2	0.2840350871	0.0057260966	0.8661541938	0.1240552071	0.2021190538	0.6434413876
129	dominant_growth_rate	O2_crit	1.800	2	0.2828061091	0.0060863154	0.8636892534	0.1228776289	0.2015261989	0.6416997499
129	dominant_growth_rate	O2_crit	1.825	2	0.2815438274	0.0063768276	0.8611092377	0.1217705615	0.2009061586	0.6399247422
129	dominant_growth_rate	O2_crit	1.850	2	0.280250311	0.0066007369	0.8584463816	0.1207044466	0.2002602052	0.6381274061
129	dominant_growth_rate	O2_crit	1.875	2	0.2789297672	0.0067656088	0.855692246	0.1196553468	0.1995947178	0.6362789134
129	dominant_growth_rate	O2_crit	1.900	2	0.2775817234	0.0068713316	0.8528540582	0.118638246	0.1989083057	0.6343749897
129	dominant_growth_rate	O2_crit	1.925	2	0.276207906	0.0069228112	0.849939272	0.11760408	0.1982016091	0.6324259703
129	dominant_growth_rate	O2_crit	1.950	2	0.2748123248	0.0069300875	0.8469572397	0.1165536281	0.1974774905	0.6304397568
129	dominant_growth_rate	O2_crit	1.975	2	0.2733928899	0.0068916776	0.8439058855	0.1154783619	0.1967346524	0.6284154814
129	dominant_growth_rate	O2_crit	2.000	2	0.2719521173	0.0068160363	0.8407860688	0.1143600682	0.1959758449	0.6263568986
129	dominant_growth_rate	O2_crit	2.025	2	0.2704926123	0.0067115479	0.8376163944	0.113181921	0.1952009596	0.6242685474
129	dominant_growth_rate	O2_crit	2.050	2	0.2689962985	0.006547106	0.834404802	0.1118788822	0.1943889237	0.6221530216
129	dominant_growth_rate	O2_crit	2.075	2	0.2674798159	0.0063595313	0.831140134	0.1105038009	0.1935534983	0.6199896524
129	dominant_growth_rate	O2_crit	2.100	2	0.2659425792	0.0061521754	0.827832412	0.109029862	0.1926723656	0.6177387969
129	dominant_growth_rate	O2_crit	2.125	2	0.2643744727	0.0059104738	0.824442678	0.1075007757	0.1917620113	0.6154201266
129	dominant_growth_rate	O2_crit	2.150	2	0.2627637762	0.0056143512	0.8209777389	0.1059369657	0.1908109209	0.6130367717
129	dominant_growth_rate	O2_crit	2.175	2	0.2611296054	0.0053063576	0.8174574618	0.1042977098	0.1898077721	0.6105641631
129	dominant_growth_rate	O2_crit	2.200	2	0.259473252	0.0049942526	0.8138835735	0.1025552025	0.1887778553	0.6080442432
