seed,segment_id,cohort,passage_index,oxygen_pct,n_observed_branches,passage_ids,predicted_mean_kary_N,observed_mean_min,observed_mean_max,observed_branch_range
seed106,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0,2N,34,0.0,2,SUM-159_NLS_2N_O1_A19_seed;SUM-159_NLS_2N_O2_A19_seed,63.7183575228911,66.85,88.05,21.200000000000003
seed106,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,4N,16,0.0,2,SUM-159_NLS_4N_O1_A7_seed;SUM-159_NLS_4N_O2_A7_seed,83.966162548228,81.25,85.1666666666667,3.9166666666667
seed106,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0,4N,32,0.0,2,SUM-159_NLS_4N_O1_A17_seed;SUM-159_NLS_4N_O2_A17_seed,81.4856196123096,81.3,81.65,0.3500000000000085
seed317,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,2N,16,0.0,2,SUM-159_NLS_2N_O1_A7_seed;SUM-159_NLS_2N_O2_A7_seed,49.863761538257,48.4210526315789,48.4666666666667,0.04561403508779449
seed317,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0,2N,34,0.0,2,SUM-159_NLS_2N_O1_A19_seed;SUM-159_NLS_2N_O2_A19_seed,64.08302099392,66.85,88.05,21.200000000000003
seed317,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,4N,16,0.0,2,SUM-159_NLS_4N_O1_A7_seed;SUM-159_NLS_4N_O2_A7_seed,83.3621292075844,81.25,85.1666666666667,3.9166666666667
seed317,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0,4N,32,0.0,2,SUM-159_NLS_4N_O1_A17_seed;SUM-159_NLS_4N_O2_A17_seed,81.0310248227448,81.3,81.65,0.3500000000000085
seed140,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,2N,16,0.0,2,SUM-159_NLS_2N_O1_A7_seed;SUM-159_NLS_2N_O2_A7_seed,48.9052085776419,48.4210526315789,48.4666666666667,0.04561403508779449
seed140,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0,2N,34,0.0,2,SUM-159_NLS_2N_O1_A19_seed;SUM-159_NLS_2N_O2_A19_seed,64.4010166543691,66.85,88.05,21.200000000000003
seed140,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,4N,16,0.0,2,SUM-159_NLS_4N_O1_A7_seed;SUM-159_NLS_4N_O2_A7_seed,83.5631378309186,81.25,85.1666666666667,3.9166666666667
seed140,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0,4N,32,0.0,2,SUM-159_NLS_4N_O1_A17_seed;SUM-159_NLS_4N_O2_A17_seed,81.3795823303768,81.3,81.65,0.3500000000000085
seed285,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,2N,16,0.0,2,SUM-159_NLS_2N_O1_A7_seed;SUM-159_NLS_2N_O2_A7_seed,49.0975594959163,48.4210526315789,48.4666666666667,0.04561403508779449
seed285,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0,2N,34,0.0,2,SUM-159_NLS_2N_O1_A19_seed;SUM-159_NLS_2N_O2_A19_seed,63.9416669668574,66.85,88.05,21.200000000000003
seed285,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,4N,16,0.0,2,SUM-159_NLS_4N_O1_A7_seed;SUM-159_NLS_4N_O2_A7_seed,83.3798632097434,81.25,85.1666666666667,3.9166666666667
seed285,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0,4N,32,0.0,2,SUM-159_NLS_4N_O1_A17_seed;SUM-159_NLS_4N_O2_A17_seed,81.0941072663435,81.3,81.65,0.3500000000000085
seed464,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,2N,16,0.0,2,SUM-159_NLS_2N_O1_A7_seed;SUM-159_NLS_2N_O2_A7_seed,50.5776133185824,48.4210526315789,48.4666666666667,0.04561403508779449
seed464,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0,2N,34,0.0,2,SUM-159_NLS_2N_O1_A19_seed;SUM-159_NLS_2N_O2_A19_seed,63.7798299941126,66.85,88.05,21.200000000000003
seed464,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0,4N,16,0.0,2,SUM-159_NLS_4N_O1_A7_seed;SUM-159_NLS_4N_O2_A7_seed,84.1642315581299,81.25,85.1666666666667,3.9166666666667
seed464,20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0,4N,32,0.0,2,SUM-159_NLS_4N_O1_A17_seed;SUM-159_NLS_4N_O2_A17_seed,81.6891576903148,81.3,81.65,0.3500000000000085
