dataset,tSNE_k,raw_k,ARI,NMI,raw_silhouette
invivo,3,3,0.04929320007879795,0.09141299676513664,0.10290264238883978
invivo,3,3,0.04929320007879795,0.09141299676513664,0.10290264238883978
invivo,3,tSNE_labels,1.0,1.0,0.09379575525935788
invitro,2,2,0.848193033698377,0.7462705160769425,0.443819894509135
invitro,2,2,0.848193033698377,0.7462705160769425,0.443819894509135
invitro,2,tSNE_labels,1.0,1.0,0.42352030810096164
