pair,joint_seed,rank_within_pair,warm_start_invivo_seed,warm_start_invivo_cluster,warm_start_invivo_subcluster,warm_start_invitro_seed,parameter,vivo_natural,vitro_natural,ratio_vivo_to_vitro,abs_delta_over_sigma,welsch_saturation_fraction,penalty_region,penalty_paid,projection_applied,feasible_at_solution
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed485,6,138,C03,Sc01,10,p_wgd,0.0005007237814064,0.0004821764677732,1.03846582086184,0.0252187801922595,0.0039670284353681,near_quadratic,0.0003173622748294,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed485,6,138,C03,Sc01,10,gamma_mu,2.51652771655383,1.2,2.09710643046153,2.02542725623666,0.999999999992675,saturating,0.079999999999414,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed268,7,138,C03,Sc01,10,O2_crit,0.310828023141718,1.58620678578554,0.195956810881871,1.08898405711672,0.999395911126375,saturating,0.07995167289011,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed268,7,138,C03,Sc01,10,mu_hp,0.161400185956118,0.005,32.2800371912236,2.32143696372266,0.999999999999998,saturating,0.0799999999999998,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed268,7,138,C03,Sc01,10,p_misseg,0.5,0.0105535150770604,47.3775795409458,2.57780441448003,1.0,saturating,0.08,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed268,7,138,C03,Sc01,10,k_o_mis,0.0024215018683425,0.0001128986825222,21.4484510735125,2.0483014377518,0.999999999995908,saturating,0.0799999999996727,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed268,7,138,C03,Sc01,10,buffer_smax,0.994780507585621,1.0,0.994780507585621,0.0080299883298138,0.0004029232582188,near_quadratic,3.22338606575112e-05,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed268,7,138,C03,Sc01,10,buffer_beta,0.0443120341210791,1.59113027351929,0.0278494067132975,2.39259084974667,1.0,saturating,0.08,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed268,7,138,C03,Sc01,10,buffer_n_exp,0.233986362749007,3.15756611375965,0.0741033930309076,1.73871062489086,0.999999993773593,saturating,0.0799999995018875,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed268,7,138,C03,Sc01,10,n_O,3.24178176126502,1.86857483366499,1.73489533459393,2.11262604246158,0.999999999999232,saturating,0.0799999999999386,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed268,7,138,C03,Sc01,10,alpha_o2,3.18987617049993,0.5,6.37975234099986,1.23815972298438,0.999931006404232,saturating,0.0799944805123386,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed268,7,138,C03,Sc01,10,gamma_growth,2.24248148487991,1.5,1.49498765658661,1.14227920750755,0.99971270792432,saturating,0.0799770166339456,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed268,7,138,C03,Sc01,10,lam_max,0.133983896023196,1.3485151936293,0.0993566084061693,1.54277421815601,0.999999653697027,saturating,0.0799999722957622,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed268,7,138,C03,Sc01,10,p_mis_base,6.08420119443504e-05,8.54181703118546e-06,7.12284186399935,1.31177431164733,0.99997865512789,saturating,0.0799982924102313,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed268,7,138,C03,Sc01,10,p_wgd,0.0005175411294584,0.0004665082840879,1.10939322432457,0.0693623216543433,0.0296219808207072,near_quadratic,0.0023697584656565,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed268,7,138,C03,Sc01,10,gamma_mu,2.57175341495853,1.2552256984047,2.04883744670543,2.02542725623666,0.999999999992675,saturating,0.079999999999414,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed451,8,138,C03,Sc01,10,O2_crit,0.310828023141718,1.58620678578554,0.195956810881871,1.08898405711672,0.999395911126375,saturating,0.07995167289011,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed451,8,138,C03,Sc01,10,mu_hp,0.161400185956118,0.005,32.2800371912236,2.32143696372266,0.999999999999998,saturating,0.0799999999999998,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed451,8,138,C03,Sc01,10,p_misseg,0.5,0.0105535150770604,47.3775795409458,2.57780441448003,1.0,saturating,0.08,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed451,8,138,C03,Sc01,10,k_o_mis,0.0024215018683425,0.0001128986825222,21.4484510735125,2.0483014377518,0.999999999995908,saturating,0.0799999999996727,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed451,8,138,C03,Sc01,10,buffer_smax,0.994780507585621,1.0,0.994780507585621,0.0080299883298138,0.0004029232582188,near_quadratic,3.22338606575112e-05,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed451,8,138,C03,Sc01,10,buffer_beta,0.0443120341210791,1.59113027351929,0.0278494067132975,2.39259084974667,1.0,saturating,0.08,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed451,8,138,C03,Sc01,10,buffer_n_exp,0.230243490554999,3.1070573308157,0.0741033930309077,1.73871062489086,0.999999993773593,saturating,0.0799999995018875,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed451,8,138,C03,Sc01,10,n_O,3.24178176126502,1.86857483366499,1.73489533459393,2.11262604246158,0.999999999999232,saturating,0.0799999999999386,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed451,8,138,C03,Sc01,10,alpha_o2,3.18987617049993,0.5,6.37975234099986,1.23815972298438,0.999931006404232,saturating,0.0799944805123386,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed451,8,138,C03,Sc01,10,gamma_growth,2.24248148487991,1.5,1.49498765658661,1.14227920750755,0.99971270792432,saturating,0.0799770166339456,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed451,8,138,C03,Sc01,10,lam_max,0.133983896023196,1.3485151936293,0.0993566084061693,1.54277421815601,0.999999653697027,saturating,0.0799999722957622,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed451,8,138,C03,Sc01,10,p_mis_base,5.11132293114368e-05,1.01676481967371e-05,5.02704542116626,1.07894278346599,0.999307868479901,saturating,0.0799446294783921,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed451,8,138,C03,Sc01,10,p_wgd,0.0005213652049346,0.0004630865695743,1.1258482521182,0.0791997814064111,0.0384452599000563,near_quadratic,0.0030756207920045,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed451,8,138,C03,Sc01,10,gamma_mu,2.5628031598439,1.24627544329007,2.05636978056657,2.02542725623666,0.999999999992675,saturating,0.079999999999414,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed355,9,138,C03,Sc01,10,O2_crit,0.310828023141718,1.58620678578554,0.195956810881871,1.08898405711672,0.999395911126375,saturating,0.07995167289011,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed355,9,138,C03,Sc01,10,mu_hp,0.161400185956118,0.005,32.2800371912236,2.32143696372266,0.999999999999998,saturating,0.0799999999999998,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed355,9,138,C03,Sc01,10,p_misseg,0.5,0.0105535150770604,47.3775795409458,2.57780441448003,1.0,saturating,0.08,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed355,9,138,C03,Sc01,10,k_o_mis,0.0024215018683425,0.0001128986825222,21.4484510735125,2.0483014377518,0.999999999995908,saturating,0.0799999999996727,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed355,9,138,C03,Sc01,10,buffer_smax,0.994780507585621,1.0,0.994780507585621,0.0080299883298138,0.0004029232582188,near_quadratic,3.22338606575112e-05,False,True
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed355,9,138,C03,Sc01,10,buffer_beta,0.0443120341210791,1.59113027351929,0.0278494067132975,2.39259084974667,1.0,saturating,0.08,False,True
