pair,seed,optimizer_name,initial,final,movement,abs_movement,scope
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_O2_crit,-0.153560015107474,-0.174725329727572,-0.02116531462009799,0.02116531462009799,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,delta__log10_O2_crit,-0.70783963712587,-0.707839637125871,-9.992007221626409e-16,9.992007221626409e-16,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_mu_hp,-1.54656298245411,-1.54656298245412,-9.992007221626409e-15,9.992007221626409e-15,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,delta__log10_mu_hp,1.50893402641973,1.50893402641973,0.0,0.0,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_p_misseg,-1.13881643036999,-1.13881643036999,0.0,0.0,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,delta__log10_p_misseg,1.67557286941202,1.67557286941202,0.0,0.0,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_k_o_mis,-3.28161315880087,-3.28161315880086,9.769962616701378e-15,9.769962616701378e-15,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,delta__log10_k_o_mis,1.33139593453867,1.33139593453867,0.0,0.0,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,buffer_smax,0.997390253792811,0.997390253792811,0.0,0.0,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,delta__buffer_smax,-0.005219492414379,-0.005219492414379,0.0,0.0,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_buffer_beta,-0.575886287278861,-0.575886287278859,1.9984014443252818e-15,1.9984014443252818e-15,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,delta__log10_buffer_beta,-1.55518405233534,-1.55518405233534,0.0,0.0,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_buffer_n_exp,-0.065728500421021,-0.0657285004210214,-3.885780586188048e-16,3.885780586188048e-16,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,delta__log10_buffer_n_exp,-1.13016190617906,-1.13016190617906,0.0,0.0,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,n_O,2.55517829746501,2.55517829746501,0.0,0.0,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,delta__n_O,1.37320692760003,1.37320692760003,0.0,0.0,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_alpha_o2,0.101371914305943,0.101371914305943,0.0,0.0,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,delta__log10_alpha_o2,0.804803819939848,0.804803819939848,0.0,0.0,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,gamma_growth,1.87124074243996,1.87124074243996,0.0,0.0,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,delta__gamma_growth,0.74248148487991,0.74248148487991,0.0,0.0,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_lam_max,-0.371545776917731,-0.372223704537548,-0.0006779276198169981,0.0006779276198169981,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,delta__log10_lam_max,-1.0028032418014,-1.0028032418014,0.0,0.0,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_p_mis_base,-4.64212308426928,-5.12551633613395,-0.48339325186466997,0.48339325186466997,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,delta__log10_p_mis_base,0.85265330257076,0.802407855714406,-0.050245446856354015,0.050245446856354015,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_p_wgd,-3.30859788526459,-3.50235331386671,-0.19375542860211992,0.19375542860211992,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,delta__log10_p_wgd,0.34260943184046,-0.0174139084602306,-0.3600233403006906,0.3600233403006906,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,gamma_mu,1.85826385827691,2.09518838421971,0.2369245259428001,0.2369245259428001,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,delta__gamma_mu,1.31652771655383,1.54381625125047,0.22728853469664,0.22728853469664,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_o2_S0,0.564668727410313,0.564668727410313,0.0,0.0,invivo_only
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_kappa_O,-0.0994560558308441,-0.0994560558308441,0.0,0.0,invivo_only
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_eta_o2,0.000594668595562,0.0006384603143605,4.3791718798499944e-05,4.3791718798499944e-05,invivo_only
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_rho_2N,5.11230382450554,5.11230382450554,0.0,0.0,invivo_only
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_k_clear,-2.30102999566398,-2.30102999566398,0.0,0.0,invivo_only
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,log10_sigma_burden,-0.823908740944319,-0.823908740944319,0.0,0.0,invivo_only
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,ivt__log10_sigma_growth,-0.690710584018942,-0.690710584018942,0.0,0.0,invitro_only
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,ivt__log10_sigma_kary,-1.63162806236527,-1.63162806236527,0.0,0.0,invitro_only
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,ivt__init_mean_2N,46.3459118478185,46.3459118478185,0.0,0.0,invitro_only
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,ivt__log10_init_sd_2N,0.386332316157948,0.386332316157948,0.0,0.0,invitro_only
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,ivt__init_mean_4N,83.8021620039257,83.8021620039257,0.0,0.0,invitro_only
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed122,ivt__log10_init_sd_4N,0.558371437728813,0.558371437728813,0.0,0.0,invitro_only
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,log10_O2_crit,-0.153560015107474,-0.161726182282671,-0.008166167175196998,0.008166167175196998,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,delta__log10_O2_crit,-0.70783963712587,-0.707839637125871,-9.992007221626409e-16,9.992007221626409e-16,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,log10_mu_hp,-1.54656298245411,-1.54656298245412,-9.992007221626409e-15,9.992007221626409e-15,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,delta__log10_mu_hp,1.50893402641973,1.50893402641973,0.0,0.0,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,log10_p_misseg,-1.13881643036999,-1.13881643036999,0.0,0.0,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,delta__log10_p_misseg,1.67557286941202,1.67557286941202,0.0,0.0,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,log10_k_o_mis,-3.28161315880087,-3.28161315880086,9.769962616701378e-15,9.769962616701378e-15,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,delta__log10_k_o_mis,1.33139593453867,1.33139593453867,0.0,0.0,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,buffer_smax,0.997390253792811,0.997390253792811,0.0,0.0,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,delta__buffer_smax,-0.005219492414379,-0.005219492414379,0.0,0.0,soft_delta
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,log10_buffer_beta,-0.575886287278861,-0.575886287278859,1.9984014443252818e-15,1.9984014443252818e-15,soft_center
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,delta__log10_buffer_beta,-1.55518405233534,-1.55518405233534,0.0,0.0,soft_delta
