O2_pct,feature,auc,auc_separation,direction
5.0,p_mis_base,0.9034585677036358,0.9034585677036358,higher=>high-ploidy
5.0,pmis_N44,0.8030797487659687,0.8030797487659687,higher=>high-ploidy
5.0,pmis_selectivity_88_minus_44,0.2610406861378507,0.7389593138621493,lower=>high-ploidy
5.0,stress_inc_N88,0.30918840912445267,0.6908115908755473,lower=>high-ploidy
5.0,p_misseg,0.31105790518047194,0.6889420948195281,lower=>high-ploidy
5.0,buffer_beta,0.3284573377720199,0.6715426622279801,lower=>high-ploidy
5.0,survival_N44,0.6712310795519769,0.6712310795519769,higher=>high-ploidy
5.0,survival_gradient_88_minus_44,0.3399858967841388,0.6600141032158612,lower=>high-ploidy
5.0,buffer_n_exp,0.6549959822233884,0.6549959822233884,higher=>high-ploidy
5.0,stress_inc_N44,0.36911067744633397,0.630889322553666,lower=>high-ploidy
5.0,o2_S0,0.37893373128454055,0.6210662687154594,lower=>high-ploidy
5.0,lambda_N44,0.6130143164040079,0.6130143164040079,higher=>high-ploidy
5.0,lambda_N88,0.6089473425277554,0.6089473425277554,higher=>high-ploidy
5.0,lam_max,0.6077502090883747,0.6077502090883747,higher=>high-ploidy
5.0,pmis_N88,0.5938765804621263,0.5938765804621263,higher=>high-ploidy
5.0,gamma_mu,0.4181275521081028,0.5818724478918972,lower=>high-ploidy
5.0,mu_ratio_88_44,0.4181275521081028,0.5818724478918972,lower=>high-ploidy
5.0,n_O,0.5683432001180735,0.5683432001180735,higher=>high-ploidy
5.0,O2_crit,0.5587415339707114,0.5587415339707114,higher=>high-ploidy
5.0,mu_selectivity_88_minus_44,0.4532216008789911,0.5467783991210089,lower=>high-ploidy
5.0,k_clear,0.5442775381688778,0.5442775381688778,higher=>high-ploidy
5.0,mu_N88,0.4579445382836714,0.5420554617163287,lower=>high-ploidy
5.0,kappa_O,0.46089637416159657,0.5391036258384034,lower=>high-ploidy
5.0,survival_N88,0.5304449072631561,0.5304449072631561,higher=>high-ploidy
5.0,growth_ratio_88_44,0.5268371078568033,0.5268371078568033,higher=>high-ploidy
