curve_class,monotonicity_reliability,n_seed,fraction_low_decile
complex_nonmonotone,caution_small_gap,12,0.24
complex_nonmonotone,reliable,4,0.08
complex_nonmonotone,unreliable_small_gap,3,0.06
inverted_u_shaped,caution_small_gap,15,0.3
inverted_u_shaped,unreliable_small_gap,9,0.18
monotone_decreasing,caution_small_gap,1,0.02
monotone_increasing,caution_small_gap,1,0.02
u_shaped,caution_small_gap,3,0.06
u_shaped,unreliable_small_gap,2,0.04
