pair,seed,objective,max_abs_soft_move,sum_abs_soft_move,n_moved_gt1e12,n_moved_gt1e8
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,seed295,18.9255722200102,0.33020795123452706,0.33020795123452706,1,1
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed472,18.8522859133708,0.2748151231296178,0.5348974755053071,2,2
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed386,18.8581768528694,0.23476305964388683,0.23476305964388683,1,1
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed494,18.8584608366853,0.2532293954861831,0.2567529746251428,2,2
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed71,18.8597059816659,0.5543622538487201,0.7927267372466679,3,3
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed178,18.8603905272211,0.19176582622028382,0.19176582622028382,1,1
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed251,18.8607948153975,0.20696157064608092,0.20696157064608092,1,1
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed53,18.8639915998995,0.1696285181294898,0.1710603279252231,2,2
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed140,18.8644000810947,0.17623490997698102,0.17623490997698102,1,1
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed276,18.8653472648041,0.16923911964566593,0.17411492902909192,2,2
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed279,18.8666264262352,0.16064085328569094,0.16135532815713524,2,2
