seed,rank,harvest,day,observed_fraction,exported_predicted_fraction,reconstructed_predicted_fraction,residual_logit,objective_term
seed25,1,SUM159-2N-0-O_harvest,56,0.933345255452,,0.7843413204588849,-1.3481016382284048,3.230894270211749
seed25,1,SUM159-2N-0-R_harvest,56,0.829490845049,,0.7843413204588849,-0.2908757700740421,0.1504154908731858
seed25,1,SUM159-2N-0-RL_harvest,56,0.798242457142,,0.7843413204588849,-0.0841983759277849,0.012603318238002821
seed25,1,SUM159-4N-0-0_harvest,91,0.63374217917,,0.7721187736157533,0.6720091333524523,0.8028378227717582
seed25,1,SUM159-4N-0-R_harvest,77,0.569258571022,,0.7504523083535762,0.8221992725321507,1.2017984777820407
seed25,1,SUM159-4N-0-L_harvest,77,0.731419132618,,0.7504523083535762,0.09919144313579897,0.017491453140199894
seed366,2,SUM159-2N-0-O_harvest,56,0.933345255452,,0.7805134323478538,-1.370588036706476,3.3395761179785106
seed366,2,SUM159-2N-0-R_harvest,56,0.829490845049,,0.7805134323478538,-0.3133621685521133,0.17457039765276988
seed366,2,SUM159-2N-0-RL_harvest,56,0.798242457142,,0.7805134323478538,-0.10668477440585611,0.020234028604494952
seed366,2,SUM159-4N-0-0_harvest,91,0.63374217917,,0.7214306388143966,0.40326445743962713,0.2891061735716921
seed366,2,SUM159-4N-0-R_harvest,77,0.569258571022,,0.7251793429957287,0.6914734811248942,0.8500188001759633
seed366,2,SUM159-4N-0-L_harvest,77,0.731419132618,,0.7251793429957287,-0.031534348271457624,0.0017678491038321466
seed292,3,SUM159-2N-0-O_harvest,56,0.933345255452,,0.8016284515658048,-1.2427455073312208,2.745629148430104
seed292,3,SUM159-2N-0-R_harvest,56,0.829490845049,,0.8016284515658048,-0.1855196391768581,0.0611867315916651
seed292,3,SUM159-2N-0-RL_harvest,56,0.798242457142,,0.8016284515658048,0.02115775496939909,0.0007958232806135678
seed292,3,SUM159-4N-0-0_harvest,91,0.63374217917,,0.6952134775178862,0.2763026546762215,0.13572116796644856
seed292,3,SUM159-4N-0-R_harvest,77,0.569258571022,,0.724434782459584,0.687740631320825,0.8408660906125635
seed292,3,SUM159-4N-0-L_harvest,77,0.731419132618,,0.724434782459584,-0.03526719807552681,0.0022111560179527852
seed392,4,SUM159-2N-0-O_harvest,56,0.933345255452,,0.7497788836233351,-1.5418156022380243,4.226125068985958
seed392,4,SUM159-2N-0-R_harvest,56,0.829490845049,,0.7497788836233351,-0.48458973408366157,0.41747059622982013
seed392,4,SUM159-2N-0-RL_harvest,56,0.798242457142,,0.7497788836233351,-0.2779123399374044,0.13730714433685942
seed392,4,SUM159-4N-0-0_harvest,91,0.63374217917,,0.7207870345153607,0.40006421034505724,0.284535773153803
seed392,4,SUM159-4N-0-R_harvest,77,0.569258571022,,0.7239343655997301,0.685235305567157,0.8347509759923821
seed392,4,SUM159-4N-0-L_harvest,77,0.731419132618,,0.7239343655997301,-0.037772523829194826,0.002536468544759273
seed90,5,SUM159-2N-0-O_harvest,56,0.933345255452,,0.7516275028149217,-1.5319377158411196,4.172147849273791
seed90,5,SUM159-2N-0-R_harvest,56,0.829490845049,,0.7516275028149217,-0.4747118476867569,0.40062460148297724
