pair,warm_start_invivo_seed,warm_start_invivo_cluster,warm_start_invivo_subcluster,n_solutions,objective_min,objective_mean,objective_max,invivo_objective_mean,invitro_objective_mean,soft_penalty_mean,local_accepted_n,median_de_iterations,median_saturating_params
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,138,C03,Sc01,10,19.9782357885732,20.01015569490205,20.0192429444527,15.18628782296019,3.858614137247092,0.9652537346947387,0,63.5,12.0
fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,25,C02,Sc01,10,18.9704641759336,18.97257707475384,18.9729603576732,14.117679638740409,3.852574616133875,1.00232281987956,0,26.0,12.0
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,290,C01,Sc02,10,19.7913140832613,19.79833787233403,19.8055233823592,14.98979827416991,3.8607896517105993,0.9477499464534983,0,56.0,12.0
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,311,C03,Sc02,10,19.4144872936097,19.42704805937489,19.4342101786089,14.604479147295852,3.861866733011093,0.960702179067954,0,48.0,12.0
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,322,C02,Sc02,10,18.8900595387654,18.91152352152599,18.9255722200102,14.173973371237249,3.8648799070355677,0.8726702432531661,0,51.0,10.0
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,366,C01,Sc01,10,18.8522859133708,18.86101802992435,18.8666264262352,14.132744576410161,3.8564279800787062,0.8718454734354795,0,49.0,11.0
