pair,seed,objective_start,objective_final,improvement,start_used,deoptim_iterations
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,seed54,18.9527120011133,18.8900595387654,0.06265246234790212,FALSE,51.0
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,seed52,18.9527120011133,18.8981309639056,0.05458103720770069,FALSE,51.0
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,seed80,18.9527120011133,18.9116797792825,0.04103222183080035,FALSE,76.0
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,seed174,18.9527120011133,18.9119696550321,0.04074234608120264,FALSE,31.0
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,seed336,18.9527120011133,18.9136730191388,0.03903898197450317,FALSE,28.0
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,seed132,18.9527120011133,18.9139107099569,0.03880129115639974,FALSE,37.0
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,seed433,18.9527120011133,18.9139863793036,0.03872562180970007,FALSE,54.0
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,seed211,18.9527120011133,18.9163946218076,0.036317379305700115,FALSE,51.0
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,seed438,18.9527120011133,18.9198583280572,0.03285367305610265,FALSE,51.0
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,seed295,18.9527120011133,18.9255722200102,0.027139781103102223,FALSE,50.0
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed472,18.9042510809241,18.8522859133708,0.05196516755330194,FALSE,56.0
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed386,18.9042510809241,18.8581768528694,0.04607422805470307,FALSE,61.0
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed494,18.9042510809241,18.8584608366853,0.04579024423880185,FALSE,72.0
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed71,18.9042510809241,18.8597059816659,0.04454509925820105,FALSE,42.0
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed178,18.9042510809241,18.8603905272211,0.043860553703002125,FALSE,33.0
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed251,18.9042510809241,18.8607948153975,0.043456265526600646,FALSE,30.0
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed53,18.9042510809241,18.8639915998995,0.040259481024602195,FALSE,75.0
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed140,18.9042510809241,18.8644000810947,0.03985099982940099,FALSE,32.0
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed276,18.9042510809241,18.8653472648041,0.03890381612000127,FALSE,38.0
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,seed279,18.9042510809241,18.8666264262352,0.037624654688901416,FALSE,62.0
