lam_max,o2_min_landscape,p_mis_base,p_misseg,k_o_mis,buffer_smax,buffer_beta,buffer_n_exp,p_wgd,o2_S0,kappa_O,eta_o2,rho_2N,alpha_o2,gamma_growth,mu_hp,gamma_mu,O2_crit,n_O,k_clear,sigma_burden,tau_O2,c_vol_2N_eff_mm3,ratio_4N_2N,alpha,gamma,objective_landscape,objective_ploidy_landscape,objective_burden_landscape,deoptim_iter_completed,seed,seed_id,seed_number,n_o2,o2_min_mono,o2_max,curve_class,final_interpretation_class,sign_sequence,n_sign_changes,step_epsilon,slope_epsilon,flat_range_threshold,reverse_fraction_tolerance,ploidy_range,net_ploidy_change,max_positive_step,max_negative_step,positive_step_total,negative_step_total,fraction_positive_steps,fraction_negative_steps,fraction_zero_steps,low_amplitude_curve,terminal_plateau,terminal_plateau_for_class,classification_rule_version,min_ploidy,o2_at_min_ploidy,max_ploidy,o2_at_max_ploidy,dominant_growth_rate_min,dominant_growth_rate_max,min_spectral_gap,median_spectral_gap,fraction_o2_gap_below_0p005,fraction_o2_gap_below_0p01,monotonicity_reliability,n_crossings_ploidy_1p5,first_o2_crossing_ploidy_1p5,all_o2_crossings_ploidy_1p5,crossing_status_ploidy_1p5,n_crossings_ploidy_2,first_o2_crossing_ploidy_2,all_o2_crossings_ploidy_2,crossing_status_ploidy_2,mode_label_o2_0,dominant_mean_ploidy_o2_0,spectral_gap_o2_0,mode_label_o2_0p1,dominant_mean_ploidy_o2_0p1,spectral_gap_o2_0p1,mode_label_o2_0p5,dominant_mean_ploidy_o2_0p5,spectral_gap_o2_0p5,mode_label_o2_1,dominant_mean_ploidy_o2_1,spectral_gap_o2_1,mode_label_o2_2,dominant_mean_ploidy_o2_2,spectral_gap_o2_2,mode_label_o2_5,dominant_mean_ploidy_o2_5,spectral_gap_o2_5,objective_mono,objective_source,objective_total,objective_data,objective_burden_mono,objective_ploidy_mono,runtime,convergence_status,primary_cluster_id,subcluster_id,objective
0.268805614729871,0,0.0498007303836359,0.0156056976313061,0.0163727365596302,1.0,0.167982169989931,4.66545077771137,2.47373071670458e-05,2.24878574157796,0.56242562597586,1.28400226101513,101263.446838077,0.721586007614236,4.44529348619141,0.059991215013113,3.14441227877656,0.188182285378289,0.931827904916413,0.0135625421459435,0.15,0.1,9.87523169736685e-06,1,0,1,14.5915233608081,5.09245078807615,7.82429365291232,188,1,seed1,1,201,0,5,monotone_increasing,monotone_increasing,1,0,9.4672130143269e-05,9.4672130143269e-05,0.05,0.05,0.94672130143269,0.94672130143269,0.0461228139873802,0.0,0.94672130143269,0.0,1.0,0.0,0.0,False,False,False,shape_first_v3,1.96112082886033,0.0,2.90784213029302,5.0,-0.0314802791819197,0.155646925684229,0.0328739932866757,0.0386025226505574,0.0,0.0,reliable,0,,,always_above,1,0.0210737202,0.02107372,crossed,mode2,1.96112082886033,0.0328739932866757,mode1,2.10181265635305,0.0358288383910765,mode1,2.34368095041654,0.0386924232242274,mode1,2.48946985525256,0.039293162927983,mode1,2.65591073644927,0.0391088657535327,mode1,2.90784213029302,0.0375115699638512,72897.4321080883,raw_likelihood,,14.027790002002,7.82429365291232,5.09245078807615,,early_stop_reltol_or_steptol,vi_C02,vi_C02_Sc02,14.5915233608081
0.3,0,0.0729588258804366,0.008357951578891,0.0179467444843395,0.903693386182802,0.0221053650384788,10.0,0.0001156766249777,4.00246583487652,0.910179914762322,1.09133941086408,136361.542917408,0.504624858891286,4.02385329679435,0.0598511639109113,2.06889761217298,0.253828820496498,4.60776860614342,0.0346750160783649,0.15,0.1,7.33344591594773e-06,1,0,1,14.6957673054151,5.22421257853863,7.79359928090741,163,2,seed2,2,201,0,5,single_transition_increase_then_plateau,single_transition_increase_then_plateau,1,0,3.5630626169346e-05,3.5630626169346e-05,0.05,0.05,0.35630626169346,0.35630626169346,0.0301965103764603,0.0,0.35584247063716,0.0,0.3,0.0,0.7,False,True,True,shape_first_v3,1.99234883729686,0.0,2.34865509899032,5.0,-0.0255062504115178,0.0881958651888723,0.0441034161124893,0.0441061750464438,0.0,0.0,reliable,0,,,always_above,1,0.1280351882,0.1280352,crossed,mode2,1.99234883729686,0.0536887537599516,mode2,1.99476712149895,0.0536696277466436,mode1,2.29466091471689,0.0469861412810198,mode1,2.34548902055282,0.0442940606741856,mode1,2.34852441334483,0.0441113360725614,mode1,2.34865509899032,0.0441034161124893,73861.8582898097,raw_likelihood,,14.0870067240692,7.79359928090741,5.22421257853863,,early_stop_reltol_or_steptol,vi_C02,vi_C02_Sc02,14.6957673054151
0.234216545602911,0,0.0318273580737721,0.192933953316727,0.0164484713574926,0.913326533497732,0.135285696884336,10.0,3.78993747313753e-05,3.32882699452019,0.717397002383468,1.16531522240358,116012.999339073,1.12052262350889,1.62901368752858,0.0891550750062429,3.05147196298804,0.495854305497582,2.89868066728617,0.0131342533572604,0.15,0.1,8.61972370076638e-06,1,0,1,14.458109180594,4.86343479960332,7.78905450866755,326,3,seed3,3,201,0,5,monotone_increasing,monotone_increasing,"1,-1,1",2,0.0001639117368933,0.0001639117368933,0.05,0.05,1.63911736893302,1.63911736893302,1.28288221032911,0.0022007802717296,1.65293029802339,0.0147238661374898,0.755,0.055,0.19,False,False,False,shape_first_v3,1.00035437304268,0.0,2.6394717419757,5.0,-0.154930004832989,0.141968823856919,0.0003986126955149,0.0248056082307276,0.0248756218905473,0.144278606965174,caution_small_gap,1,1.0592406792,1.059241,crossed,1,1.0689843641,1.068984,crossed,mode2,1.00035437304268,0.0053511107064857,mode2,1.00036160255869,0.0054269539204748,mode2,1.00085832260452,0.0113172007848096,mode2,1.00245362590309,0.0042442825825161,mode1,2.34826927203136,0.0439072151978328,mode1,2.6394717419757,0.0206453165865442,70361.3254246354,raw_likelihood,,13.7890143371834,7.78905450866755,4.86343479960332,,early_stop_reltol_or_steptol,vi_C02,vi_C02_Sc01,14.458109180594
0.298607447438909,0,0.0243176268563117,0.0581897105337037,0.0076168130948974,0.914070465124421,0.154456064552234,10.0,0.0002078661527662,3.4881959544831,0.784044007549061,1.00036728765398,130039.907650197,0.527075653492053,3.25093702308945,0.0699514282250739,2.94289995940871,0.51413704828956,1.75449330861979,0.0302370449836856,0.15,0.1,7.68994701757225e-06,1,0,1,14.4416037286971,4.92477425651824,7.77375220091955,154,4,seed4,4,201,0,5,complex_nonmonotone,complex_nonmonotone,"1,-1,1",2,2.8816851412787e-05,2.8816851412787e-05,0.05,0.05,0.28816851412787,0.28816851412787,0.00941421080242,0.0004243811212996,0.30380838768493,0.0156138921248798,0.69,0.28,0.03,False,False,False,shape_first_v3,2.18476528706468,0.0,2.47293380119255,5.0,-0.0960777046457632,0.159781577446205,0.0345438829282332,0.0439395267855719,0.0,0.0,reliable,0,,,always_above,0,,,always_above,mode1,2.18476528706468,0.0366920571606818,mode1,2.19951366628111,0.0392633142686585,mode1,2.33822892756775,0.0563065669383973,mode1,2.44041085201582,0.0537102881292336,mode1,2.45793485471019,0.0476200703775795,mode1,2.47293380119255,0.0345438829282332,71381.1539285334,raw_likelihood,,13.8230345492111,7.77375220091955,4.92477425651824,,early_stop_reltol_or_steptol,vi_C02,vi_C02_Sc02,14.4416037286971
0.18846711375634,0,0.0002266959467396,0.308768970926088,0.0039611436150179,0.953219536627353,0.162259015476951,4.51620179385402,4.1661835373092e-05,4.67756635045143,1.01303922704459,1.29060750694681,129757.453158581,0.829235071362251,1.77885264270086,0.207441047933867,1.83070100750689,0.330153432082834,2.51058763933083,0.0055714710163512,0.15,0.1,7.70668640342273e-06,1,0,1,15.3433158545905,4.99508950477214,8.30112719382705,172,5,seed5,5,201,0,5,inverted_u_shaped,inverted_u_shaped,"1,-1",1,0.0001888292979988,0.0001888292979988,0.05,0.05,1.88829297998833,0.0051314243285001,0.55767269645836,1.4496238512137,1.88760202128969,1.88220042356878,0.17,0.215,0.615,False,True,True,shape_first_v3,1.00040680522947,0.0,2.8886997852178,1.125,-0.209939342856731,0.148397308930814,0.0001145414499091,0.0094580480261965,0.18407960199005,0.532338308457711,caution_small_gap,2,0.4970567073,0.4970567;2.0416280,crossed,2,0.5505224093,0.5505224;2.0330051,crossed,mode2,1.00040680522947,0.0026068373180913,mode2,1.00044784072807,0.0024436521622434,mode2,1.56565575830352,0.0001145414499091,mode1,2.86032480820669,0.0365098673120259,mode1,2.47766186781158,0.0014788577356707,mode2,1.00553822955797,0.004671580940577,69557.1283097764,raw_likelihood,,14.4776394984247,8.30112719382705,4.99508950477214,,early_stop_reltol_or_steptol,vi_C02,vi_C02_Sc01,15.3433158545905
0.3,0,0.0044128673894809,0.5,0.0040579656209166,0.918969151899806,0.580821551412704,6.80629558176779,3.91130025164962e-05,4.73630451265832,0.221967462396794,1.19244293758536,74498.9589526493,0.5,3.12562250076809,0.005,2.92316383107718,0.397077157200662,1.39938964829864,0.0071873959775787,0.15,0.1,1.34230063622176e-05,1,0,1,14.195932649505,4.78122124759405,8.21325297060977,120,6,seed6,6,201,0,5,inverted_u_shaped,inverted_u_shaped,"1,-1",1,0.000398124706327,0.000398124706327,0.05,0.05,3.98124706327091,-3.23202572325107,0.0862385828637899,3.98120585216063,0.74917400138964,3.98120585216063,0.06,0.005,0.935,False,True,True,shape_first_v3,1.00003826805419,1.275,4.9812853313251,0.3,-0.0930652547321029,0.217329941562695,2.82521254242607e-06,0.0118262148855069,0.0696517412935323,0.378109452736318,caution_small_gap,1,0.3218607468,0.3218607,crossed,1,0.3187209946,0.318721,crossed,mode1,4.23211132993546,2.88693954374197e-06,mode1,4.41676589867858,2.12430096715871e-05,mode2,1.00005569825779,0.0326564624543857,mode2,1.00003936294518,0.026631527953841,mode2,1.00004211784761,0.0163111565925494,mode2,1.00008560668439,0.007217546711346,67993.7787038248,raw_likelihood,,13.9799717593335,8.21325297060977,4.78122124759405,,early_stop_reltol_or_steptol,vi_C02,vi_C02_Sc01,14.195932649505
0.148693593315001,0,0.0103326461599027,0.485510571490112,0.0021383924921382,0.959073471586514,0.0134981908243893,0.393620836245074,0.0001724828934153,2.38953116692728,0.495643389210669,1.0,176448.972591748,2.49905255020269,1.83248322808451,0.17654887073791,2.0254966890077,0.162769723399035,3.05614840524914,0.0061972672814057,0.15,0.1,5.66736085402839e-06,1,0,1,15.4289548166025,5.14539483188488,8.05318886783875,132,7,seed7,7,201,0,5,complex_nonmonotone,unreliable_small_spectral_gap,"1,-1,1",2,6.789265998037e-05,6.789265998037e-05,0.05,0.05,0.6789265998037,0.0367340006167201,0.0760951195772399,0.0575105027040099,0.71566060042042,0.67892495298017,0.82,0.175,0.005,False,False,False,shape_first_v3,1.27961704467973,1.225,1.95854364448343,0.325,-0.126946040724489,0.142157224388486,0.0024509478942825,0.0046305048986287,0.532338308457711,0.686567164179104,unreliable_small_gap,2,0.1030876257,0.1030876;0.5777508,crossed,0,,,always_below,mode2,1.40891800857309,0.0045831863585477,mode2,1.49225467815627,0.0087181908844952,mode2,1.63660862417537,0.0804378447258379,mode2,1.28797632945235,0.0371731076426021,mode2,1.31827984327509,0.006972928505696,mode2,1.44565200918981,0.0024509478942825,71195.1753358473,raw_likelihood,,14.4553752925985,8.05318886783875,5.14539483188488,,early_stop_reltol_or_steptol,vi_C03,vi_C03_Sc01,15.4289548166025
0.192670264368185,0,1.2122623217852e-06,0.5,0.0118081670837093,0.943299977591167,0.212838131136773,10.0,0.0004384103828913,3.31567294625487,0.629790016997297,1.0,131898.436392908,1.44789274659314,3.64343770205681,0.202637838738838,2.46114682742363,0.580668139389734,3.66801808164768,0.0100541198295634,0.15,0.1,7.58159101311204e-06,1,0,1,14.59910613834,4.72703831716354,7.84826282633531,132,8,seed8,8,201,0,5,inverted_u_shaped,unreliable_small_spectral_gap,"1,-1",1,0.000207669595233,0.000207669595233,0.05,0.05,2.07669595233059,0.0100833383775099,0.69200568533965,2.04168669729259,2.07587974657856,2.07565084762417,0.14,0.045,0.815,False,True,True,shape_first_v3,1.00085302240949,1.85,3.07754897474008,1.125,-0.209454088022548,0.187598005681874,4.21117988394504e-06,0.0028608986189815,0.621890547263682,0.771144278606965,unreliable_small_gap,2,0.6911649023,0.6911649;1.1443167,crossed,2,0.8348827073,0.8348827;1.1381943,crossed,mode2,1.00106849900216,0.0011645472532951,mode2,1.00107196226454,0.001161662778669,mode2,1.00317805590144,0.0005915088189298,mode1,2.70324050162552,0.0052541556452983,mode2,1.00088204662791,0.0152195879220032,mode2,1.01115183737967,0.0008070558909339,67475.7935537499,raw_likelihood,,13.7703506303021,7.84826282633531,4.72703831716354,,early_stop_reltol_or_steptol,vi_C01,vi_C01_Sc01,14.59910613834
0.3,0,0.0173954746093398,0.0758886018597005,0.0016241000383405,0.919456097156817,0.069272754651246,10.0,0.000368372449695,3.08667388702834,0.524592840248595,1.26284904897108,169583.082324157,0.784099135177248,2.80782430820174,0.0641454924063205,1.46476699414599,1.00377612728823,3.51863334901427,0.0079425344649208,0.15,0.1,5.89681462499017e-06,1,0,1,15.0499702430763,5.17893412676645,7.86071568280305,133,9,seed9,9,201,0,5,complex_nonmonotone,complex_nonmonotone,"1,-1,1",2,2.6174853553902e-05,2.6174853553902e-05,0.05,0.05,0.26174853553902,0.12608391221426,0.0080215805276298,0.0029697415396401,0.28537773762139,0.15931203536965,0.52,0.45,0.03,False,False,False,shape_first_v3,2.29104596404601,0.0,2.55279449958503,1.65,-0.0650225961912812,0.209067935909804,0.0223141738395582,0.0429669062279823,0.0,0.0,reliable,0,,,always_above,0,,,always_above,mode1,2.29104596404601,0.0428040622905138,mode1,2.29112952565867,0.0428048031701864,mode1,2.31364932102769,0.0429959638455631,mode1,2.44826345068596,0.0441792775493887,mode1,2.53541445670645,0.04926042255263,mode1,2.41712987626027,0.0223141738395582,74002.7095774867,raw_likelihood,,14.3341613566487,7.86071568280305,5.17893412676645,,early_stop_reltol_or_steptol,vi_C02,vi_C02_Sc02,15.0499702430763
0.226402769753485,0,1.12258819789396e-06,0.241133031682871,0.0011852113979166,0.911127000346316,0.30168486230132,5.75233384931029,0.0005378263339542,4.28108644515876,0.964009057450069,1.66979179443584,141209.831377524,1.86325390013489,3.61702875288985,0.139143546843323,2.89025113459211,0.128938805095998,2.39755136553198,0.0181502725282498,0.14296048298237,0.1,7.08165989750745e-06,1,0,1,15.8443722104055,4.75742205404772,8.98042934443413,131,10,seed10,10,201,0,5,inverted_u_shaped,unreliable_small_spectral_gap,"1,-1",1,0.0003455504343838,0.0003455504343838,0.05,0.05,3.45550434383829,-0.56679187829033,0.17016849792374,3.45277767847271,2.88372115610294,3.45444710041818,0.115,0.015,0.87,False,True,True,shape_first_v3,1.00067072453382,1.225,4.45617506837211,0.575,-0.196542232347649,0.220286458527848,0.0001079404835066,0.0045135545383624,0.522388059701492,0.686567164179104,unreliable_small_gap,1,0.5964043253,0.5964043,crossed,2,0.1319683417,0.1319683;0.5927841,crossed,mode2,1.57245391226917,0.0001079404835066,mode2,1.81498421887584,0.0005406121584634,mode1,4.09286198584237,0.0135914065027635,mode2,1.0007251909301,0.0239401921257753,mode2,1.0009628208145,0.0085308481241917,mode2,1.00566203397884,0.0010962394951228,66789.5632968117,raw_likelihood,,15.0722631563165,8.98042934443413,4.75742205404772,,early_stop_reltol_or_steptol,vi_C01,vi_C01_Sc01,15.8443722104055
