result_group,pair,rank,seed,objective,source_path,exists,archive_relative_dir
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,20.0103420352841,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10/seed354,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10/seed354
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,20.0131631688353,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10/seed148,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10/seed148
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,20.0143642467265,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10/seed485,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10/seed485
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,20.0144739447935,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10/seed268,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10/seed268
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,20.0145391109349,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10/seed451,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10/seed451
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,20.0190768726709,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10/seed355,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10/seed355
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,20.0192429444527,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10/seed187,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10/seed187
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,1,seed497,18.9704641759336,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed497,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed497
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,2,seed389,18.9726945574714,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed389,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed389
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,3,seed298,18.9726969603447,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed298,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed298
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,4,seed26,18.97270458352,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed26,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed26
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,5,seed98,18.9727620578699,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed98,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed98
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,6,seed291,18.9727901150504,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed291,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed291
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,7,seed458,18.9728799471426,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed458,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed458
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,8,seed285,18.9728882956682,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed285,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed285
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,9,seed299,18.9729296968644,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed299,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed299
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,10,seed375,18.9729603576732,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed375,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10/seed375
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,1,seed155,19.7913140832613,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed155,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed155
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,2,seed28,19.7934768653304,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed28,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed28
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,3,seed211,19.7935197992047,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed211,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed211
