pair,rank_within_pair,joint_seed,warm_start_invivo_seed,warm_start_invivo_cluster,warm_start_invivo_subcluster,warm_start_invitro_seed,objective_index,objective_total,objective_invivo,objective_invitro,objective_soft_coupling,objective_constraints,optimizer_iter_completed,optimizer_iter_target,optimizer_local_attempted,optimizer_local_accepted,optimizer_start_used,n_saturating_params,n_near_quadratic_params,n_projection_applied,soft_penalty_fraction_of_total_cap,vivo_lam_max,vitro_lam_max,vivo_p_misseg,vitro_p_misseg,vivo_p_mis_base,vitro_p_mis_base,vivo_44_stress_weight,vivo_44_mu_eff,vivo_44_stress_misseg_increment,vivo_44_p_mis_total,vivo_44_lambda_eff,vivo_44_survival_per_copy,vivo_88_stress_weight,vivo_88_mu_eff,vivo_88_stress_misseg_increment,vivo_88_p_mis_total,vivo_88_lambda_eff,vivo_88_survival_per_copy,vitro_44_stress_weight,vitro_44_mu_eff,vitro_44_stress_misseg_increment,vitro_44_p_mis_total,vitro_44_lambda_eff,vitro_44_survival_per_copy,vitro_88_stress_weight,vitro_88_mu_eff,vitro_88_stress_misseg_increment,vitro_88_p_mis_total,vitro_88_lambda_eff,vitro_88_survival_per_copy,vivo_pmis_o2_0_N44,vivo_stressinc_o2_0_N44,vivo_growth_o2_0_N44,vivo_pmis_o2_0_N88,vivo_stressinc_o2_0_N88,vivo_growth_o2_0_N88,vivo_pmis_o2_0.1_N44,vivo_stressinc_o2_0.1_N44,vivo_growth_o2_0.1_N44,vivo_pmis_o2_0.1_N88,vivo_stressinc_o2_0.1_N88,vivo_growth_o2_0.1_N88,vivo_pmis_o2_0.5_N44,vivo_stressinc_o2_0.5_N44,vivo_growth_o2_0.5_N44,vivo_pmis_o2_0.5_N88,vivo_stressinc_o2_0.5_N88,vivo_growth_o2_0.5_N88,vivo_pmis_o2_1_N44,vivo_stressinc_o2_1_N44,vivo_growth_o2_1_N44,vivo_pmis_o2_1_N88,vivo_stressinc_o2_1_N88,vivo_growth_o2_1_N88,vivo_pmis_o2_2_N44,vivo_stressinc_o2_2_N44,vivo_growth_o2_2_N44,vivo_pmis_o2_2_N88,vivo_stressinc_o2_2_N88,vivo_growth_o2_2_N88,vivo_pmis_o2_5_N44,vivo_stressinc_o2_5_N44,vivo_growth_o2_5_N44,vivo_pmis_o2_5_N88,vivo_stressinc_o2_5_N88,vivo_growth_o2_5_N88,vivo_survival_N44,vivo_survival_N88,vivo_survival_gradient_44_to_88,vivo_survival_ratio_88_over_44,vitro_pmis_o2_0_N44,vitro_stressinc_o2_0_N44,vitro_growth_o2_0_N44,vitro_pmis_o2_0_N88,vitro_stressinc_o2_0_N88,vitro_growth_o2_0_N88,vitro_pmis_o2_0.1_N44,vitro_stressinc_o2_0.1_N44,vitro_growth_o2_0.1_N44,vitro_pmis_o2_0.1_N88,vitro_stressinc_o2_0.1_N88,vitro_growth_o2_0.1_N88,vitro_pmis_o2_0.5_N44,vitro_stressinc_o2_0.5_N44,vitro_growth_o2_0.5_N44,vitro_pmis_o2_0.5_N88,vitro_stressinc_o2_0.5_N88,vitro_growth_o2_0.5_N88,vitro_pmis_o2_1_N44,vitro_stressinc_o2_1_N44,vitro_growth_o2_1_N44,vitro_pmis_o2_1_N88,vitro_stressinc_o2_1_N88,vitro_growth_o2_1_N88,vitro_pmis_o2_2_N44,vitro_stressinc_o2_2_N44,vitro_growth_o2_2_N44,vitro_pmis_o2_2_N88,vitro_stressinc_o2_2_N88,vitro_growth_o2_2_N88,vitro_pmis_o2_5_N44,vitro_stressinc_o2_5_N44,vitro_growth_o2_5_N44,vitro_pmis_o2_5_N88,vitro_stressinc_o2_5_N88,vitro_growth_o2_5_N88,vitro_survival_N44,vitro_survival_N88,vitro_survival_gradient_44_to_88,vitro_survival_ratio_88_over_44
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,1,seed122,138,C03,Sc01,10,19.9782357885732,19.9782357885732,15.1606216594495,3.8573065312922,0.960307597831503,0.0,81.0,500.0,True,False,False,12,2,0,0.8574174980638418,0.133774912185916,1.34641182234245,0.5,0.0105535150770604,1.88663371722364e-05,2.97358074585132e-06,0.9712073009974749,0.1567530389829319,0.4923935641485373,0.49241243048570954,0.032643704094717584,0.9516621461555154,0.9712073009974749,1.1436628637273796,0.49894357608347456,0.4989624424206468,0.008542349081161985,0.9579967482823313,0.9937787655684226,0.004968893827842113,0.010319054904641262,0.010322028485387113,0.8994731593580593,0.203695250225646,0.9937787655684226,0.012433882747606545,0.010458552240988577,0.010461525821734428,0.5597419130666744,0.8366802890104067,0.4926282030480197,0.49260933671084745,0.031928130269767416,0.4989927972960032,0.49897393095883097,0.00831167355953715,0.49241243048570954,0.4923935641485373,0.032643704094717584,0.4989624424206468,0.49894357608347456,0.008542349081161985,0.4557868260672892,0.45576795973011697,0.08959361375424593,0.49345526322944805,0.4934363968922758,0.040129962123974204,0.27917218388448056,0.2791533175473083,0.1261440553684172,0.4511056583346963,0.45108679199752405,0.10400300826214866,0.05984987723398137,0.05983101089680914,0.13291030240035273,0.24897952811039725,0.248960661773225,0.12977985521050917,0.003486719280035832,0.0034678529428635954,0.13373021322368556,0.024261557031213583,0.024242690694041346,0.1335636555344241,0.9516621461555154,0.9579967482823313,0.006334602126815914,1.0066563560948665,0.010323454908819356,0.010320481328073505,0.8976078815616333,0.010462111324554196,0.010459137743808345,0.557702037353717,0.010322028485387113,0.010319054904641262,0.8994731593580593,0.010461525821734428,0.010458552240988577,0.5597419130666744,0.010294669444147446,0.010291695863401595,0.9325558979911984,0.010450277111243342,0.010447303530497491,0.5970205911552111,0.010219110286678356,0.010216136705932506,1.003386261612381,0.01041902540298949,0.010416051822243639,0.6845180998505506,0.009952366794736744,0.009949393213990894,1.1353168050222389,0.010306473871078779,0.010303500290332928,0.8823703362471087,0.008555890028388033,0.008552916447642183,1.2844178494913319,0.009654322173454263,0.009651348592708412,1.1846820621444074,0.203695250225646,0.8366802890104067,0.6329850387847606,4.10751005771398
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,2,seed86,138,C03,Sc01,10,20.0088357367508,20.0088357367508,15.175571434719,3.85684547430816,0.976418827723624,0.0,53.0,500.0,True,False,False,12,2,0,0.8718025247532356,0.133983896023196,1.3485151936293,0.5,0.0105535150770604,4.85202279139004e-05,1.0711024168313e-05,0.9738000870375324,0.1571715151319416,0.4924135093318707,0.49246202955978463,0.03262884854973833,0.9516621461555154,0.9738000870375324,1.0226138103819429,0.49881882026921276,0.49886734049712667,0.008534365076994751,0.9579967482823313,0.994115173314388,0.004970575866571941,0.010319132483684258,0.01032984350785257,0.9007771014610221,0.203695250225646,0.994115173314388,0.012984648209215795,0.010462545526958624,0.010473256551126938,0.5605054857336923,0.8366802890104067,0.49265785693876135,0.49260933671084745,0.031978008554655976,0.498898216106789,0.4988496958788751,0.008324658097566797,0.49246202955978463,0.4924135093318707,0.03262884854973833,0.49886734049712667,0.49881882026921276,0.008534365076994751,0.4589904693008311,0.4589419490729172,0.08728871041624428,0.4932667683572783,0.4932182481293644,0.037940264396103936,0.29085445626005585,0.29080593603214194,0.12562616095126333,0.45027077355594985,0.45022225332803595,0.10190282111655465,0.06517009883170728,0.06512157860379338,0.133030522776175,0.24679482738886355,0.24674630716094964,0.12958914300978927,0.0038669926225717494,0.003818472394657849,0.1339345677008186,0.023890273409351133,0.023841753181437234,0.13375078961550602,0.9516621461555154,0.9579967482823313,0.006334602126815914,1.0066563560948665,0.010331192352241819,0.010320481328073505,0.8990101290862,0.010473787303543678,0.010463076279375365,0.5585732822674364,0.01032984350785257,0.010319132483684258,0.9007771014610221,0.010473256551126938,0.010462545526958624,0.5605054857336923,0.010303968520099027,0.010293257495930713,0.9322495920918212,0.010463058625240914,0.0104523476010726,0.595912467389963,0.01023246918120329,0.010221758157034976,1.0004920491633862,0.010434715447673042,0.010424004423504728,0.6797383312364618,0.00997960163538711,0.009968890611218797,1.1308185882120043,0.010332506942753216,0.010321795918584903,0.8731037968298861,0.008644055458423899,0.008633344434255586,1.2833703397675567,0.00973619174948987,0.009725480725321556,1.1792120513844535,0.203695250225646,0.8366802890104067,0.6329850387847606,4.10751005771398
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,138,C03,Sc01,10,20.0092830999986,20.0092830999986,15.1703831049633,3.85795167637771,0.980948318657537,0.0,81.0,500.0,True,False,False,12,2,0,0.8758467130870865,0.133983896023196,1.3485151936293,0.5,0.0105535150770604,6.04573383347829e-05,8.59616629101321e-06,0.9730928623103224,0.15705736892945715,0.4924080793391976,0.4924685366775324,0.03264678435242361,0.9516621461555154,0.9730928623103224,1.062315754525993,0.4988628641226744,0.49892332146100915,0.008540172329389068,0.9579967482823313,0.9940221838182494,0.0049701109190912465,0.01031911104449668,0.010327707210787693,0.9008050781437771,0.203695250225646,0.9940221838182494,0.013345375154035449,0.01046498381646576,0.010473579982756774,0.5605361248702737,0.8366802890104067,0.4926697940491822,0.49260933671084745,0.031978008554655976,0.4989538508147941,0.49889339347645933,0.008324658097566797,0.4924685366775324,0.4924080793391976,0.03264678435242361,0.49892332146100915,0.4988628641226744,0.008540172329389068,0.4581339555542646,0.45807349821592985,0.08798066182420212,0.493384850557063,0.49332439321872823,0.03856409690914149,0.2875988230499493,0.28753836571161456,0.12583372120848976,0.4508187463306735,0.4507582889923387,0.10255213122096839,0.06365123582641234,0.06359077848807757,0.1330560212709297,0.24824591612339647,0.24818545878506168,0.12970372172827777,0.003776642578664592,0.0037161852403298093,0.13393589849861384,0.02416369045503971,0.024103233116704925,0.13375707005000056,0.9516621461555154,0.9579967482823313,0.006334602126815914,1.0066563560948665,0.010329077494364519,0.010320481328073505,0.8990101290862,0.010474104793128828,0.010465508626837814,0.5585732822674364,0.010327707210787693,0.01031911104449668,0.9008050781437771,0.010473579982756774,0.01046498381646576,0.5605361248702737,0.010301422055625757,0.010292825889334743,0.9327383388167292,0.010463496109723308,0.010454899943432294,0.5964775518952545,0.010228800209402082,0.010220204043111069,1.001736593909609,0.010435468740559428,0.010426872574268414,0.6813650404877337,0.009972091009257803,0.00996349484296679,1.132588716453263,0.010334384663007993,0.010325788496716979,0.876094003043111,0.008619563364359503,0.00861096719806849,1.2842439638238834,0.009744179488407905,0.009735583322116891,1.1813004930108748,0.203695250225646,0.8366802890104067,0.6329850387847606,4.10751005771398
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,138,C03,Sc01,10,20.0103420352841,20.0103420352841,15.1870100901898,3.85738553145801,0.96594641363628,0.0,58.0,500.0,True,False,False,12,2,0,0.8624521550323928,0.133983896023196,1.3485151936293,0.5,0.0105535150770604,4.36697990268037e-05,1.19007035850762e-05,0.9748996093038803,0.15734897823019306,0.4924219359331928,0.4924656057322196,0.03260100286135297,0.9516621461555154,0.9748996093038803,0.9510625806922813,0.49873018233202204,0.49877385213104886,0.008525352209433767,0.9579967482823313,0.9942617042581811,0.004971308521290905,0.010319166259159213,0.010331066962744289,0.9007330199037432,0.203695250225646,0.9942617042581811,0.012064283977120761,0.010455669952988553,0.01046757065657363,0.5604572120066729,0.8366802890104067,0.49265300650987426,0.49260933671084745,0.031978008554655976,0.49880564613177036,0.49876197633274355,0.008324658097566797,0.4924656057322196,0.4924219359331928,0.03260100286135297,0.49877385213104886,0.49873018233202204,0.008525352209433767,0.46033983637323994,0.46029616657421313,0.08617272743069072,0.49300863947758095,0.49296496967855413,0.03695587331224077,0.29606996537883784,0.296026295579811,0.12528227171109577,0.44887735181741967,0.44883368201839285,0.10084033428702796,0.0676923618053747,0.0676486920063479,0.13298805534098915,0.24307088930020457,0.24302721950117775,0.12939866506131778,0.004032519766246832,0.003988849967220028,0.13393234985899874,0.02322074130301273,0.023177071503985926,0.1337403239869535,0.9516621461555154,0.9579967482823313,0.006334602126815914,1.0066563560948665,0.010332382031658581,0.010320481328073505,0.8990101290862,0.010468126944907303,0.010456226241322227,0.5585732822674364,0.010331066962744289,0.010319166259159213,0.9007330199037432,0.01046757065657363,0.010455669952988553,0.5604572120066729,0.010305838225944738,0.010293937522359662,0.9314772852160376,0.01045688261606176,0.010444981912476684,0.595020508516246,0.010236108170619521,0.010224207467034445,0.9985131685156371,0.010427182597931961,0.010415281894346885,0.6771594587628628,0.009989303673545814,0.009977402969960738,1.12797028190752,0.010320146355202012,0.010308245651616936,0.8683154621287692,0.008680735140878876,0.0086688344372938,1.2819447980574028,0.009697692306388955,0.009685791602803879,1.1758139672793164,0.203695250225646,0.8366802890104067,0.6329850387847606,4.10751005771398
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,138,C03,Sc01,10,20.0131631688353,20.0131631688353,15.1896920608129,3.86053393988534,0.962937168137053,0.0,116.0,500.0,True,False,False,12,2,0,0.8597653286937972,0.133983896023196,1.3485151936293,0.5,0.0105535150770604,6.08420119443504e-05,8.54181703118546e-06,0.9753111812784429,0.15741540602342177,0.4924250853564364,0.49248592736838076,0.03259059191461511,0.9521442382230283,0.9753111812784429,0.9431785654225201,0.4987195951268912,0.4987804371388355,0.008521983417232162,0.9584093754752389,0.9943171940128549,0.004971585970064274,0.010319179047041665,0.01032772086407285,0.9007163277996465,0.19998241258441038,0.9943171940128549,0.011959893421494698,0.010454823909523283,0.010463365726554468,0.5604389334155323,0.8349572174044004,0.4926701787227918,0.49260933671084745,0.031978008554655976,0.4988119698647351,0.49875112785279074,0.008324658097566797,0.49248592736838076,0.4924250853564364,0.03259059191461511,0.4987804371388355,0.4987195951268912,0.008521983417232162,0.4608651862856228,0.46080434427367845,0.08574182416028596,0.49306205672150355,0.4930012147095592,0.03658276797952601,0.2980866281713905,0.29802578615944614,0.12514636868441778,0.44925333506630394,0.4491924930543596,0.1004249487758686,0.06870510546503909,0.06864426345309474,0.13297119593412166,0.2441084492190445,0.24404760720710017,0.12932316759057252,0.004117337990262245,0.004056495978317895,0.13393146889396373,0.023419979554741326,0.023359137542796976,0.13373616721703693,0.9521442382230283,0.9584093754752389,0.006265137252210562,1.0065800295802905,0.01032902314510469,0.010320481328073505,0.8990101290862,0.010463921354120278,0.010455379537089093,0.5585732822674364,0.01032772086407285,0.010319179047041665,0.9007163277996465,0.010463365726554468,0.010454823909523283,0.5604389334155323,0.010302736829503197,0.010294195012472012,0.9311841315707844,0.01045269036875384,0.010444148551722656,0.5946822495109528,0.010233676930373681,0.010225135113342497,0.9977580533261332,0.010423025466608008,0.010414483649576823,0.6761778666472843,0.00998917146953356,0.009980629652502375,1.1268723282719668,0.010316114231123852,0.010307572414092667,0.8664772681857817,0.008690889490039783,0.008682347673008598,1.2813886514372657,0.00969433912412357,0.009685797307092386,1.1744915375477607,0.19998241258441038,0.8349572174044004,0.63497480481999,4.17515323779772
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,138,C03,Sc01,10,20.0143642467265,20.0143642467265,15.1977774975182,3.85631402949191,0.960272719716354,0.0,69.0,500.0,True,False,False,12,2,0,0.8573863568896016,0.133983896023196,1.3485151936293,0.5,0.0105535150770604,7.34958042117419e-05,7.07117010844019e-06,0.9753111812784429,0.15741540602342177,0.4924250853564364,0.49249858116064815,0.03259059191461511,0.9516621461555154,0.9753111812784429,0.9007360846568986,0.49865942449885253,0.49873292030306426,0.008521983417232162,0.9578949599391715,0.9943171940128549,0.004971585970064274,0.010319179047041665,0.010326250217150106,0.9007163277996465,0.203695250225646,0.9943171940128549,0.01142170525107834,0.010450219120386283,0.010457290290494723,0.5604389334155323,0.8309213136023947,0.4926828325150592,0.49260933671084745,0.031978008554655976,0.49876593097505856,0.4986924351708468,0.008324658097566797,0.49249858116064815,0.4924250853564364,0.03259059191461511,0.49873292030306426,0.49865942449885253,0.008521983417232162,0.4608778400778902,0.46080434427367845,0.08574182416028596,0.4927497597930597,0.49267626398884795,0.03658276797952601,0.29809928196365787,0.29802578615944614,0.12514636868441778,0.44712546981105883,0.4470519740068471,0.1004249487758686,0.06871775925730648,0.06864426345309474,0.13297119593412166,0.23837311650790297,0.23829962070369123,0.12932316759057252,0.004129991782529637,0.004056495978317895,0.13393146889396373,0.022428482669938275,0.022354986865726532,0.13373616721703693,0.9516621461555154,0.9578949599391715,0.006232813783656144,1.006549397608001,0.010327552498181946,0.010320481328073505,0.8990101290862,0.010457871588149212,0.010450800418040772,0.5585732822674364,0.010326250217150106,0.010319179047041665,0.9007163277996465,0.010457290290494723,0.010450219120386283,0.5604389334155323,0.010301266182580452,0.010294195012472012,0.9311841315707844,0.01044612228910512,0.01043905111899668,0.5946822495109528,0.010232206283450937,0.010225135113342497,0.9977580533261332,0.010415094005031088,0.010408022834922648,0.6761778666472843,0.009987700822610815,0.009980629652502375,1.1268723282719668,0.01030333730528942,0.01029626613518098,0.8664772681857817,0.008689418843117039,0.008682347673008598,1.2813886514372657,0.00965548836252341,0.00964841719241497,1.1744915375477607,0.203695250225646,0.8309213136023947,0.6272260633767488,4.079237550615104
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,138,C03,Sc01,10,20.0144739447935,20.0144739447935,15.1933725579893,3.85877796023452,0.962323426569614,0.0,38.0,500.0,True,False,False,12,2,0,0.859217345151441,0.133983896023196,1.3485151936293,0.5,0.0105535150770604,6.08420119443504e-05,8.54181703118546e-06,0.9753111812784429,0.15741540602342177,0.4924250853564364,0.49248592736838076,0.03259059191461511,0.9516621461555154,0.9753111812784429,0.9358842815706219,0.4987096414031109,0.49877048341505525,0.008521983417232162,0.9579967482823313,0.9943171940128549,0.004971585970064274,0.010319179047041665,0.01032772086407285,0.9007163277996465,0.203695250225646,0.9943171940128549,0.01186739889219446,0.010454061959076685,0.01046260377610787,0.5604389334155323,0.8366802890104067,0.4926701787227918,0.49260933671084745,0.031978008554655976,0.4988022606542059,0.49874141864226157,0.008324658097566797,0.49248592736838076,0.4924250853564364,0.03259059191461511,0.49877048341505525,0.4987096414031109,0.008521983417232162,0.4608651862856228,0.46080434427367845,0.08574182416028596,0.49300827759004384,0.4929474355780995,0.03658276797952601,0.2980866281713905,0.29802578615944614,0.12514636868441778,0.448897861708016,0.44883701969607165,0.1004249487758686,0.06870510546503909,0.06864426345309474,0.13297119593412166,0.2431386206911623,0.24307777867921795,0.12932316759057252,0.004117337990262245,0.004056495978317895,0.13393146889396373,0.023247703963114725,0.023186861951170375,0.13373616721703693,0.9516621461555154,0.9579967482823313,0.006334602126815914,1.0066563560948665,0.01032902314510469,0.010320481328073505,0.8990101290862,0.010463163652848866,0.010454621835817681,0.5585732822674364,0.01032772086407285,0.010319179047041665,0.9007163277996465,0.01046260377610787,0.010454061959076685,0.5604389334155323,0.010302736829503197,0.010294195012472012,0.9311841315707844,0.0104518468674663,0.010443305050435114,0.5946822495109528,0.010233676930373681,0.010225135113342497,0.9977580533261332,0.010421956240620745,0.01041341442358956,0.6761778666472843,0.00998917146953356,0.009980629652502375,1.1268723282719668,0.010314242365099851,0.010305700548068666,0.8664772681857817,0.008690889490039783,0.008682347673008598,1.2813886514372657,0.009688136163559862,0.009679594346528677,1.1744915375477607,0.203695250225646,0.8366802890104067,0.6329850387847606,4.10751005771398
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,138,C03,Sc01,10,20.0145391109349,20.0145391109349,15.1943105613023,3.85725292366844,0.962975625964123,0.0,50.0,500.0,True,False,False,12,2,0,0.8597996660393955,0.133983896023196,1.3485151936293,0.5,0.0105535150770604,5.11132293114368e-05,1.01676481967371e-05,0.9753111812784429,0.15741540602342177,0.4924250853564364,0.49247619858574787,0.03259059191461511,0.9516621461555154,0.9753111812784429,0.9300961742160402,0.49870163218861957,0.498752745417931,0.008521983417232162,0.9579029874415217,0.9943171940128549,0.004971585970064274,0.010319179047041665,0.010329346695238403,0.9007163277996465,0.203695250225646,0.9943171940128549,0.011794003302418778,0.01045344891798013,0.010463616566176868,0.5604389334155323,0.8313814446646579,0.4926604499401589,0.49260933671084745,0.031978008554655976,0.4987847193965272,0.49873360616721574,0.008324658097566797,0.49247619858574787,0.4924250853564364,0.03259059191461511,0.498752745417931,0.49870163218861957,0.008521983417232162,0.4608554575029899,0.46080434427367845,0.08574182416028596,0.4929552826556785,0.49290416942636706,0.03658276797952601,0.2980768993887576,0.29802578615944614,0.12514636868441778,0.44860250099522586,0.4485513877659144,0.1004249487758686,0.06869537668240618,0.06864426345309474,0.13297119593412166,0.24235407497045444,0.242302961741143,0.12932316759057252,0.004107609207629332,0.004056495978317895,0.13393146889396373,0.02310118365734494,0.023050070428033503,0.13373616721703693,0.9516621461555154,0.9579029874415217,0.006240841286006327,1.00655783285194,0.010330648976270243,0.010320481328073505,0.8990101290862,0.01046417986121769,0.010454012213020952,0.5585732822674364,0.010329346695238403,0.010319179047041665,0.9007163277996465,0.010463616566176868,0.01045344891798013,0.5604389334155323,0.01030436266066875,0.010294195012472012,0.9311841315707844,0.010452794053976786,0.010442626405780048,0.5946822495109528,0.010235302761539234,0.010225135113342497,0.9977580533261332,0.010422721852805909,0.01041255420460917,0.6761778666472843,0.009990797300699112,0.009980629652502375,1.1268723282719668,0.010314362447867143,0.010304194799670405,0.8664772681857817,0.008692515321205336,0.008682347673008598,1.2813886514372657,0.009684776399256103,0.009674608751059365,1.1744915375477607,0.203695250225646,0.8313814446646579,0.627686194439012,4.0814964695724845
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,138,C03,Sc01,10,20.0190768726709,20.0190768726709,15.1971463961874,3.86147720510737,0.960453271376092,0.0,38.0,500.0,True,False,False,12,2,0,0.8575475637286535,0.133983896023196,1.3485151936293,0.5,0.0105535150770604,4.47225827401242e-05,1.16205572665099e-05,0.9753111812784429,0.15741540602342177,0.4924250853564364,0.49246980793917655,0.03259059191461511,0.9516621461555154,0.9753111812784429,0.9007360846568986,0.49865942449885253,0.49870414708159266,0.008521983417232162,0.9579967482823313,0.9943171940128549,0.004971585970064274,0.010319179047041665,0.010330799604308175,0.9007163277996465,0.203695250225646,0.9943171940128549,0.01142170525107834,0.010450219120386283,0.010461839677652792,0.5604389334155323,0.8366802890104067,0.4926540592935876,0.49260933671084745,0.031978008554655976,0.49873715775358696,0.4986924351708468,0.008324658097566797,0.49246980793917655,0.4924250853564364,0.03259059191461511,0.49870414708159266,0.49865942449885253,0.008521983417232162,0.4608490668564186,0.46080434427367845,0.08574182416028596,0.4927209865715881,0.49267626398884795,0.03658276797952601,0.29807050874218627,0.29802578615944614,0.12514636868441778,0.44709669658958723,0.4470519740068471,0.1004249487758686,0.06868898603583487,0.06864426345309474,0.13297119593412166,0.23834434328643136,0.23829962070369123,0.12932316759057252,0.004101218561058019,0.004056495978317895,0.13393146889396373,0.022399709448466656,0.022354986865726532,0.13373616721703693,0.9516621461555154,0.9579967482823313,0.006334602126815914,1.0066563560948665,0.010332101885340015,0.010320481328073505,0.8990101290862,0.010462420975307281,0.010450800418040772,0.5585732822674364,0.010330799604308175,0.010319179047041665,0.9007163277996465,0.010461839677652792,0.010450219120386283,0.5604389334155323,0.010305815569738521,0.010294195012472012,0.9311841315707844,0.01045067167626319,0.01043905111899668,0.5946822495109528,0.010236755670609006,0.010225135113342497,0.9977580533261332,0.010419643392189157,0.010408022834922648,0.6761778666472843,0.009992250209768884,0.009980629652502375,1.1268723282719668,0.010307886692447489,0.01029626613518098,0.8664772681857817,0.008693968230275108,0.008682347673008598,1.2813886514372657,0.00966003774968148,0.00964841719241497,1.1744915375477607,0.203695250225646,0.8366802890104067,0.6329850387847606,4.10751005771398
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,10,seed187,138,C03,Sc01,10,20.0192429444527,20.0192429444527,15.1969928664702,3.86229610064726,0.959953977335207,0.0,87.0,500.0,True,False,False,12,2,0,0.8571017654778633,0.133983896023196,1.3485151936293,0.5,0.0105535150770604,3.57267124739146e-05,5.01579470049539e-06,0.9753111812784429,0.15741540602342177,0.4924250853564364,0.49246081206891035,0.03259059191461511,0.9516621461555154,0.9753111812784429,0.9007360846568986,0.49865942449885253,0.49869515121132646,0.008521983417232162,0.9579967482823313,0.9943171940128549,0.004971585970064274,0.010319179047041665,0.01032419484174216,0.9007163277996465,0.203695250225646,0.9943171940128549,0.01142170525107834,0.010450219120386283,0.010455234915086778,0.5604389334155323,0.8366802890104067,0.49264506342332137,0.49260933671084745,0.031978008554655976,0.49872816188332075,0.4986924351708468,0.008324658097566797,0.49246081206891035,0.4924250853564364,0.03259059191461511,0.49869515121132646,0.49865942449885253,0.008521983417232162,0.4608400709861524,0.46080434427367845,0.08574182416028596,0.4927119907013219,0.49267626398884795,0.03658276797952601,0.29806151287192006,0.29802578615944614,0.12514636868441778,0.447087700719321,0.4470519740068471,0.1004249487758686,0.06867999016556865,0.06864426345309474,0.13297119593412166,0.23833534741616516,0.23829962070369123,0.12932316759057252,0.0040922226907918096,0.004056495978317895,0.13393146889396373,0.022390713578200445,0.022354986865726532,0.13373616721703693,0.9516621461555154,0.9579967482823313,0.006334602126815914,1.0066563560948665,0.010325497122774,0.010320481328073505,0.8990101290862,0.010455816212741267,0.010450800418040772,0.5585732822674364,0.01032419484174216,0.010319179047041665,0.9007163277996465,0.010455234915086778,0.010450219120386283,0.5604389334155323,0.010299210807172507,0.010294195012472012,0.9311841315707844,0.010444066913697175,0.01043905111899668,0.5946822495109528,0.010230150908042992,0.010225135113342497,0.9977580533261332,0.010413038629623143,0.010408022834922648,0.6761778666472843,0.00998564544720287,0.009980629652502375,1.1268723282719668,0.010301281929881475,0.01029626613518098,0.8664772681857817,0.008687363467709094,0.008682347673008598,1.2813886514372657,0.009653432987115466,0.00964841719241497,1.1744915375477607,0.203695250225646,0.8366802890104067,0.6329850387847606,4.10751005771398
