curve_class,monotonicity_reliability,n_seed,objective_min,objective_median,objective_mean,objective_max,ploidy_range_median,min_spectral_gap_median
complex_nonmonotone,caution_small_gap,92,14.1723513719332,14.7036214784371,14.969968668791282,17.9988546528712,1.60269941941463,0.0001936172431508
complex_nonmonotone,reliable,71,14.1961790505173,14.7978135424115,14.919911001514063,19.1819266657665,0.43911001945681,0.0234438494950537
complex_nonmonotone,unreliable_small_gap,98,14.2617763056677,15.2960448582106,15.503425209699206,19.9731457731525,1.648262447309265,6.747530845679914e-05
inverted_u_shaped,caution_small_gap,50,14.1193277940156,14.453762314595899,14.608999373645629,16.9420002516286,1.8406476304606598,0.00022198341169004998
inverted_u_shaped,reliable,25,14.365922371485,14.9071284880209,15.021435044096894,16.2236986019864,0.39477614586557,0.0304833419244882
inverted_u_shaped,unreliable_small_gap,74,14.1340195166425,14.8291254437299,14.961590079296917,18.6165258665108,1.9184733932013152,0.0002617012466897
monotone_decreasing,caution_small_gap,2,14.1524469940988,14.563203447892949,14.563203447892949,14.9739599016871,0.0018696666489750001,0.00518478716765765
monotone_decreasing,unreliable_small_gap,1,18.0332502598509,18.0332502598509,18.0332502598509,18.0332502598509,1.02953364305376,0.000298265985164
monotone_increasing,caution_small_gap,17,14.2538482812744,14.7672729922183,14.924795028744912,17.2114271097106,1.54460805672593,0.0011259851513258
monotone_increasing,reliable,35,14.3947628218579,14.7652418527645,14.813528319713276,16.0216567278227,0.594900388965,0.0290427682231153
monotone_increasing,unreliable_small_gap,5,14.3554695425058,14.7702793852123,15.1253917367703,16.105946548055,1.42895160331172,0.0006558204890204
single_transition_increase_then_plateau,reliable,5,14.5580403307664,14.6957673054151,14.80983613323644,15.0760070655418,0.35630626169346,0.0432702988590866
u_shaped,caution_small_gap,7,14.2013422413384,15.6531173008529,15.402053453284484,16.7317270120936,0.23704127460374,0.0047988743824828
u_shaped,reliable,5,15.063444343896,15.1605699017614,15.71413473546676,17.7016481643937,0.32051004303919,0.0174385592613628
u_shaped,unreliable_small_gap,13,14.2709854843277,15.2274042949981,15.493554704373768,18.2012458846135,0.0012981619480201,0.0019236962668547
